Type,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,IoU,Dice,,,,,,,,,,,
Type03,230,PCA_LINEAR,30.69965,27.36822,12.92966,2.61736,13.49424,1.16553,0.87774,0.93489,,,,,,,,,,,
Type03,230,PCA_SVR,30.89326,27.7747,12.74549,2.75563,5.95503,0.33035,0.89025,0.94194,,,,,,,,,,,
Type03,230,PURE_GPR,35.92787,33.05466,12.74244,4.1457,5.30863,1.27511,0.83585,0.91058,,,,,,,,,,,
Type03,230,PURE_KRR,30.10228,26.88925,12.73313,2.52219,11.12369,0.69405,0.89906,0.94685,,,,,,,,,,,
Type03,230,PURE_SVR,29.9555,26.73816,12.45034,2.57383,12.11499,0.81786,0.89687,0.94563,,,,,,,,,,,
Type03,230,RATIO_CTRL,0,0,0,0,0,0,1,1,,,,,,,,,,,
Type03,235,PCA_GPR,42.73085,40.56862,22.55173,8.503,52.28418,5.25752,0.73955,0.85028,,,,,,,,,,,
Type03,235,PCA_KRR,31.33353,27.79437,16.18746,3.0561,9.55578,0.44189,0.86567,0.928,,,,,,,,,,,
Type03,235,PCA_LINEAR,31.45959,28.03815,15.8063,3.12621,9.52014,0.19089,0.86201,0.92589,,,,,,,,,,,
Type03,235,PCA_SVR,30.74516,27.30367,16.76136,3.11067,12.66504,0.54563,0.86485,0.92753,,,,,,,,,,,
Type03,235,PURE_GPR,34.79288,31.60287,15.44962,4.22536,0.21235,1.62791,0.81874,0.90034,,,,,,,,,,,
Type03,235,PURE_KRR,31.21655,27.69539,16.27597,3.05215,10.06731,0.45476,0.86636,0.92839,,,,,,,,,,,
Type03,235,PURE_SVR,31.52849,28.08103,16.58716,3.09617,9.53006,0.49304,0.86413,0.92712,,,,,,,,,,,
Type03,235,RATIO_CTRL,3.61042,3.48441,4.0432,2.55899,5.3439,2.13129,0.88312,0.93793,,,,,,,,,,,
Type03,245,PCA_GPR,38.52958,35.85368,15.75765,5.90981,22.53463,3.17005,0.81101,0.89564,,,,,,,,,,,
Type03,245,PCA_KRR,33.85822,30.38547,15.1052,3.2162,8.905,0.49327,0.88035,0.93637,,,,,,,,,,,
Type03,245,PCA_LINEAR,32.86825,29.48462,14.62325,3.15284,8.87899,0.58419,0.87652,0.9342,,,,,,,,,,,
Type03,245,PCA_SVR,34.70225,31.3127,15.33922,3.54211,4.94397,0.79675,0.87178,0.9315,,,,,,,,,,,
Type03,245,PURE_GPR,33.79359,30.41445,14.10634,3.22462,9.62514,0.72736,0.87097,0.93104,,,,,,,,,,,
Type03,245,PURE_KRR,34.02585,30.56969,15.04816,3.25309,8.10349,0.52887,0.87953,0.9359,,,,,,,,,,,
Type03,245,PURE_SVR,34.30033,30.91673,15.9699,3.36475,7.74456,0.68378,0.87559,0.93367,,,,,,,,,,,
Type03,245,RATIO_CTRL,3.55156,3.44412,4.89802,2.97027,8.61353,4.05941,0.87956,0.93592,,,,,,,,,,,
Type03,250,PCA_GPR,35.95878,32.88103,15.72051,4.19289,8.46747,1.42694,0.85363,0.92104,,,,,,,,,,,
Type03,250,PCA_KRR,34.15723,30.63041,15.17162,2.95018,7.83986,0.15488,0.88702,0.94013,,,,,,,,,,,
Type03,250,PCA_LINEAR,33.19444,29.6914,15.15037,2.79576,7.69854,0.09782,0.88781,0.94057,,,,,,,,,,,
Type03,250,PCA_SVR,35.55892,32.094,14.7799,3.38464,0.58072,0.10317,0.87532,0.93352,,,,,,,,,,,
Type03,250,PURE_GPR,33.37337,29.85538,14.62797,2.69296,9.68798,0.06388,0.89565,0.94495,,,,,,,,,,,
Type03,250,PURE_KRR,34.29982,30.77087,14.92866,2.96269,6.89909,0.18292,0.88724,0.94025,,,,,,,,,,,
Type03,250,PURE_SVR,34.22923,30.83907,15.78014,2.97326,7.41202,0.05765,0.88409,0.93848,,,,,,,,,,,
