type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22
Type03, L, 260, 54.893171, 261.384913, 44.744982, 262.199150, 23.088188, 247.513709, 21.884236, 215.058801, 18.106252, 185.413491, 12.179926, 153.512510, 6.230094, 121.840359, 0.000000, 89.989719, 2.260316, 59.182341, 12.478017, 30.649899, 30.765317, 0.779076, 67.657015, 0.000000, 83.498520, 32.378423, 86.593021, 62.231889, 85.597120, 93.115640, 82.876987, 122.869017, 81.866973, 154.406654, 83.615851, 184.581393, 85.730240, 214.626728, 87.601475, 246.584827, 65.323100, 262.017538, 55.092791, 261.031714
Type03, L, 265, 52.055584, 267.883303, 41.434117, 268.788031, 20.116972, 254.564264, 18.155051, 221.538279, 14.692126, 190.252011, 10.108169, 159.308508, 4.612959, 127.044101, 0.000000, 97.010861, 0.236017, 64.425867, 11.091930, 35.813429, 25.661088, 3.707333, 65.367833, 0.000000, 81.429784, 31.591890, 86.081394, 63.071834, 88.016539, 95.717554, 84.845737, 126.893775, 81.497864, 158.857162, 83.083178, 189.983253, 84.013975, 221.603478, 84.789481, 253.298271, 62.969208, 269.090609, 51.779569, 267.175292
Type03, L, 270, 59.881270, 271.885521, 47.687887, 273.893154, 27.763184, 257.794642, 23.092281, 223.876406, 18.215584, 192.503655, 12.148968, 159.322903, 5.085521, 128.836142, 0.783014, 97.370752, 0.000000, 65.154577, 10.980565, 34.462915, 28.672521, 2.055811, 67.564263, 0.000000, 82.829458, 34.133850, 88.563662, 65.434676, 88.522098, 95.416975, 86.007096, 129.154694, 84.708906, 159.592084, 86.790410, 190.391625, 88.145717, 223.803357, 90.364153, 254.103015, 72.517000, 274.495592, 58.868981, 270.773065
Type03, L, 275, 59.040577, 277.273767, 46.285141, 278.285816, 27.387437, 263.021603, 22.026178, 227.183991, 17.987387, 195.942172, 11.439579, 161.780549, 4.497327, 130.818178, 0.000000, 99.596851, 0.932702, 65.921379, 9.404413, 36.069566, 26.076855, 2.355924, 65.124689, 0.000000, 82.357550, 34.905132, 87.757621, 64.803106, 90.977228, 97.832555, 86.297820, 130.070845, 82.926592, 162.695078, 87.511173, 195.768999, 88.595650, 228.515814, 91.664768, 261.386099, 69.691302, 278.813382, 58.612654, 276.598176
Type03, L, 280, 66.188559, 286.440367, 79.163134, 285.059445, 93.624264, 263.268912, 89.503613, 230.510868, 89.372745, 197.326232, 85.206500, 163.653658, 88.658400, 130.142056, 92.814365, 97.863527, 86.850430, 63.634582, 84.295499, 30.449347, 57.965444, 0.000000, 20.925041, 14.773235, 7.346316, 49.050889, 0.000000, 80.416671, 0.895426, 112.912114, 7.012546, 148.809886, 14.497941, 179.253875, 20.759723, 212.275096, 22.981224, 244.661285, 30.897529, 278.421642, 56.443618, 290.702875, 66.166858, 285.305672
Type04, L, 230, 55.698457, 232.577610, 47.009376, 234.800077, 25.361428, 224.050702, 22.557395, 194.031400, 17.727463, 167.341621, 12.067714, 139.223198, 6.174675, 112.594525, 0.000000, 84.937601, 2.005313, 56.867354, 10.878611, 29.788941, 28.764734, 3.916801, 60.104903, 0.000000, 81.984993, 23.850729, 83.368434, 52.631904, 80.519770, 80.485912, 77.719586, 107.614583, 77.244994, 135.446208, 81.709204, 162.684483, 82.514473, 190.055206, 83.612221, 218.488887, 65.642461, 233.814494, 55.541285, 231.840621
Type04, L, 235, 56.268313, 238.509732, 46.627085, 240.753554, 27.238487, 228.399110, 20.615065, 200.422913, 17.564721, 173.072577, 11.505600, 144.907239, 5.471542, 117.088386, 0.000000, 89.002175, 0.594594, 60.821836, 8.646311, 33.843079, 25.144710, 6.370889, 57.461490, 0.000000, 78.983934, 25.479292, 82.783639, 52.723467, 82.853028, 81.300214, 78.126266, 109.690688, 76.943310, 138.933915, 80.265374, 166.619333, 83.175536, 195.123178, 82.780740, 224.436881, 65.842645, 239.987440, 55.666404, 238.013519
Type04, L, 240, 58.820608, 243.581408, 49.041689, 243.825673, 28.742012, 232.698373, 22.768547, 201.530048, 18.536926, 173.604199, 12.516399, 145.736262, 7.208614, 117.030565, 0.641198, 88.820906, 0.000000, 60.550446, 10.173746, 32.509768, 26.511723, 5.553067, 60.082564, 0.000000, 80.737260, 26.726890, 84.486588, 55.959723, 84.659700, 83.932833, 79.719335, 112.819397, 78.494233, 141.272254, 82.647399, 169.552902, 83.387355, 197.890442, 86.101505, 226.061105, 68.568906, 243.169666, 59.080639, 243.653977
Type04, L, 245, 59.204400, 248.063353, 48.864613, 249.588637, 28.623670, 237.125266, 24.186526, 206.827695, 20.442158, 178.337501, 13.755840, 148.877113, 7.220230, 120.696434, 0.000000, 91.454101, 1.612621, 61.911599, 10.118232, 33.866087, 25.755249, 4.714059, 60.585292, 0.000000, 80.528126, 27.057554, 87.912398, 55.036817, 85.302712, 85.265406, 79.777434, 113.942244, 80.762116, 143.168613, 83.706463, 173.068173, 86.459680, 202.783695, 88.335639, 232.114993, 68.688077, 248.768866, 59.031557, 247.248985
Type04, L, 250, 62.663490, 252.041931, 53.165540, 253.244143, 31.065809, 240.113808, 25.781762, 208.419094, 22.349814, 177.478262, 14.208282, 148.513693, 7.167274, 119.775062, 0.000000, 89.541775, 2.774132, 59.085049, 12.102083, 30.003004, 31.178346, 2.069962, 65.437224, 0.000000, 86.421020, 27.472471, 91.821718, 57.388955, 89.900709, 86.986691, 84.753682, 116.503974, 83.778878, 146.856528, 88.513692, 177.731602, 90.159278, 205.221257, 92.608357, 237.284620, 72.896013, 252.890477, 62.233183, 251.530094
Type04, L, 260, 60.186477, 262.342422, 48.686369, 263.538886, 29.613131, 247.434011, 25.791793, 215.906257, 20.987655, 185.259952, 14.284737, 154.631776, 7.365246, 124.190363, 0.000000, 93.514995, 2.897673, 62.819138, 12.269967, 32.630552, 30.235000, 2.835136, 66.879484, 0.000000, 85.833798, 30.500613, 91.842923, 60.203007, 88.911521, 91.530888, 83.094660, 121.361832, 83.436859, 153.045569, 86.946496, 184.586195, 90.827368, 215.402362, 91.350829, 248.370053, 70.094941, 264.317086, 59.855220, 261.815042
Type04, L, 265, 60.503386, 267.683377, 49.509086, 269.847070, 28.852023, 255.192991, 24.190474, 221.980765, 20.348923, 190.510385, 13.790741, 158.858957, 7.171446, 128.055372, 0.000000, 97.055101, 1.509520, 65.222394, 11.158254, 35.135399, 27.206921, 3.556352, 66.009569, 0.000000, 85.185852, 31.248815, 91.191971, 61.782459, 89.834961, 92.870762, 84.897856, 123.983766, 84.285552, 155.667158, 87.759666, 186.690964, 91.160535, 218.305112, 90.707042, 251.580794, 72.544462, 269.818045, 59.628961, 266.919130
Type04, L, 270, 64.188079, 273.578129, 52.602089, 275.703674, 30.857248, 260.894827, 26.732336, 227.919386, 21.292754, 196.163115, 14.985862, 164.274659, 8.424091, 132.380868, 0.000000, 99.837826, 4.097030, 68.413120, 10.938347, 36.465644, 30.776731, 5.585882, 68.651441, 0.000000, 88.586371, 31.618585, 94.341151, 62.663268, 90.411375, 95.758233, 85.945163, 126.518202, 85.381654, 158.712760, 89.560006, 190.416066, 93.467985, 222.644166, 92.968657, 254.317410, 76.741736, 274.660093, 63.089688, 273.073079
Type04, L, 280, 64.751212, 283.836813, 52.331226, 285.999541, 30.735330, 271.195962, 24.702707, 235.960880, 20.404536, 203.340588, 13.290908, 169.835006, 6.843728, 138.492539, 0.000000, 105.298072, 1.074813, 70.804592, 11.353439, 39.306298, 28.338711, 6.036987, 68.303337, 0.000000, 90.146003, 32.988858, 95.267578, 64.644749, 93.231593, 98.328915, 88.701289, 130.971779, 86.811755, 163.984473, 90.659435, 197.871932, 94.312689, 230.016548, 95.402290, 265.708142, 77.994027, 284.090280, 63.751094, 283.722290
Type05, L, 240, 56.825073, 242.471234, 46.148803, 243.985297, 28.486738, 229.819470, 23.442235, 200.729586, 20.438335, 171.195235, 17.091374, 141.792726, 4.682585, 115.942196, 0.000000, 86.555930, 5.319464, 57.814060, 15.734474, 30.321952, 32.993501, 3.531568, 68.643744, 0.000000, 79.439052, 32.302612, 86.866352, 57.374775, 81.787564, 86.938819, 71.620666, 114.576259, 72.053062, 143.255806, 78.302519, 170.974176, 85.673574, 198.680237, 84.767252, 228.104849, 66.485569, 243.788042, 56.291313, 241.888417
Type05, L, 260, 59.924130, 261.712400, 48.250825, 262.457627, 32.416931, 245.177839, 26.887269, 214.105931, 24.003760, 183.210253, 19.120841, 152.098647, 7.550836, 122.803550, 0.000000, 91.840075, 3.659430, 61.467850, 14.118177, 32.246042, 30.295735, 1.122021, 67.955907, 0.000000, 81.809359, 32.736752, 89.147127, 62.182031, 87.972826, 94.804562, 78.299864, 123.693994, 75.256931, 154.110126, 81.826831, 185.727411, 88.625790, 214.592643, 89.833070, 245.831616, 71.208213, 263.401533, 58.948453, 260.976140
Type05, L, 280, 64.978430, 284.214820, 77.145984, 284.659321, 96.937939, 264.595795, 92.408661, 231.241722, 86.194026, 198.789483, 79.205864, 166.664142, 81.583752, 132.313276, 94.199926, 101.567013, 93.262152, 66.366378, 86.428434, 35.889111, 71.429823, 0.000000, 29.184639, 6.407600, 13.625484, 40.743185, 2.653111, 71.664780, 0.000000, 106.389343, 8.223761, 138.158572, 19.700602, 169.711914, 25.166836, 204.309459, 28.385829, 234.943058, 33.171492, 267.858026, 53.352477, 286.482604, 65.896649, 283.509969
Type05, L, 290, 69.676178, 293.422389, 57.556935, 296.048029, 36.365651, 277.821580, 29.810857, 243.624192, 25.089886, 209.242731, 21.125773, 175.171149, 8.527243, 141.169547, 0.000000, 108.053354, 3.484959, 72.512255, 13.822576, 40.589179, 31.091726, 5.535375, 72.712940, 0.000000, 91.364823, 35.598070, 97.519319, 67.900790, 99.953592, 103.385360, 86.287776, 134.963938, 82.741012, 171.417663, 90.122283, 206.216386, 97.820045, 238.811714, 101.622290, 275.097014, 82.377283, 294.048924, 68.154837, 293.191691
Type06, L, 230, 53.047469, 231.008797, 43.438626, 231.120874, 26.031962, 217.485154, 21.705181, 189.500699, 18.797510, 162.747159, 11.917161, 135.531716, 5.302839, 108.840422, 0.000000, 81.576066, 2.616082, 53.518966, 10.574104, 27.113783, 27.626815, 0.000000, 60.862281, 0.497392, 75.345294, 28.199395, 80.981348, 53.738734, 81.335123, 81.813226, 77.523625, 108.331052, 74.756919, 135.899581, 77.883184, 164.036511, 81.351791, 190.008917, 81.696826, 219.147120, 62.271329, 232.599369, 52.616009, 230.207500
Type06, L, 240, 55.438135, 243.950200, 44.595271, 244.756674, 27.742793, 230.178817, 22.589371, 201.469253, 17.726757, 173.735662, 12.836876, 145.443499, 4.967140, 119.195491, 0.000000, 89.682999, 2.486068, 63.307089, 10.151478, 35.745139, 24.508918, 7.269271, 58.041100, 0.000000, 77.345149, 28.523464, 82.268361, 55.402896, 83.132774, 84.595791, 78.710467, 113.224234, 76.234944, 142.488107, 78.923936, 171.107549, 83.090784, 200.209737, 82.730903, 229.127972, 64.754678, 245.384320, 55.025610, 243.320837
Type06, L, 250, 56.062836, 252.089146, 45.783911, 253.046007, 27.414005, 237.655883, 20.802628, 208.321300, 17.926657, 178.438268, 11.360496, 148.640809, 4.533905, 120.414847, 0.000000, 90.799447, 1.674203, 61.019964, 10.635229, 33.027536, 27.588194, 2.817059, 62.800437, 0.000000, 79.341481, 30.853251, 84.503312, 59.507492, 86.566350, 89.549414, 80.574547, 118.477525, 80.170191, 148.420233, 81.977625, 178.098661, 85.547644, 207.942029, 86.255498, 238.144694, 66.226524, 253.571258, 55.605006, 251.397952
Type06, L, 270, 62.567750, 273.338418, 51.343997, 275.430272, 29.971102, 260.163889, 25.337982, 228.245189, 20.560691, 196.834209, 15.852176, 164.773065, 6.319909, 133.649532, 0.000000, 101.680094, 3.073278, 68.664538, 11.433960, 39.077999, 27.676816, 5.655918, 65.979109, 0.000000, 85.105752, 32.969867, 90.964935, 63.695992, 90.714355, 98.075653, 85.969132, 128.418649, 82.986128, 159.898008, 86.398862, 192.552215, 90.504542, 223.210647, 92.098636, 254.830051, 73.819236, 274.345538, 61.792465, 272.757509
Type06, L, 280, 65.870532, 284.335210, 55.181412, 286.585487, 31.179919, 271.640825, 26.132834, 238.077429, 22.344489, 204.905595, 17.074786, 172.611127, 8.193371, 139.593010, 0.000000, 107.158883, 4.307224, 72.992607, 11.139744, 42.570011, 27.516472, 8.719630, 66.425594, 0.000000, 88.647252, 34.968319, 93.271141, 65.053591, 95.548810, 98.940864, 90.059227, 131.633495, 86.959688, 165.031947, 90.049586, 197.313441, 93.681254, 231.098317, 96.359269, 264.410601, 78.641352, 285.176824, 65.269283, 284.147787
Type07, L, 250, 60.261328, 254.975304, 49.842152, 256.613180, 29.285555, 243.759259, 23.790143, 213.055364, 19.178985, 183.971069, 14.513248, 153.762037, 5.877135, 126.364717, 0.000000, 96.919038, 1.796804, 66.712412, 12.538027, 38.672089, 28.641152, 9.424754, 62.325748, 0.000000, 84.243216, 29.527592, 85.365442, 57.143943, 87.881974, 88.862322, 82.234343, 115.996016, 84.160959, 149.508328, 83.464543, 177.436899, 86.286985, 207.012464, 88.409338, 238.153088, 71.164089, 255.787754, 59.992715, 254.784060
Type07, L, 270, 63.295452, 274.743094, 52.867886, 276.683829, 30.925411, 261.423634, 26.153010, 227.549238, 22.823418, 197.511102, 15.683973, 164.524511, 8.819051, 134.453836, 0.000000, 101.816640, 3.661727, 69.625404, 15.684391, 39.715543, 31.709070, 8.083335, 71.390941, 0.000000, 89.111933, 31.793493, 92.742018, 64.015166, 91.955659, 95.326528, 89.748920, 127.274107, 90.044450, 159.732525, 91.708478, 192.465077, 92.361534, 223.423582, 93.873792, 257.587533, 74.949541, 275.319831, 62.981082, 274.377000
Type07, L, 280, 64.643583, 284.273152, 53.566439, 285.767502, 30.672644, 270.708631, 27.178478, 236.161896, 23.120034, 203.287690, 16.222410, 170.246015, 9.378753, 137.699658, 0.000000, 105.290479, 4.591791, 71.638594, 15.282016, 40.011551, 32.521132, 7.014724, 72.143823, 0.000000, 91.558283, 33.667321, 95.560546, 66.342744, 94.176592, 99.251644, 90.463817, 132.006765, 88.827000, 165.102861, 90.401864, 199.747467, 95.261039, 232.689113, 96.065423, 266.444025, 77.661372, 286.535331, 63.598068, 283.484639
