Type,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,IoU,Dice,,,,,,,,,,
Type02,240,PCA_SVR,7.95784,7.15614,3.26513,1.6985,1.36412,1.72335,0.92602,0.96159,,,,,,,,,,
Type02,240,PURE_GPR,8.7184,7.98167,4.42734,1.52298,2.74596,1.98904,0.93884,0.96845,,,,,,,,,,
Type02,240,PURE_KRR,7.98614,7.23806,4.52183,1.54502,1.25886,1.76108,0.93754,0.96777,,,,,,,,,,
Type02,240,PURE_SVR,8.08016,7.3409,4.78347,1.62183,2.206,1.8635,0.93469,0.96624,,,,,,,,,,
Type02,240,RATIO_CTRL,2.73736,2.40658,4.00393,1.7853,4.5984,3.47013,0.92697,0.9621,,,,,,,,,,
Type02,250,PCA_GPR,10.98297,10.75043,7.74524,3.45593,19.24463,5.89907,0.87901,0.93561,,,,,,,,,,
Type02,250,PCA_KRR,8.59777,7.88395,4.43469,2.28898,3.33751,4.41109,0.91184,0.95389,,,,,,,,,,
Type02,250,PCA_LINEAR,8.63026,8.09904,4.47103,2.40122,3.31198,4.43498,0.91051,0.95316,,,,,,,,,,
Type02,250,PCA_SVR,8.50936,7.78989,4.33899,2.17995,2.31436,4.29397,0.91456,0.95537,,,,,,,,,,
Type02,250,PURE_GPR,8.36356,7.7129,5.58765,2.22481,6.10485,4.03929,0.91211,0.95404,,,,,,,,,,
Type02,250,PURE_KRR,8.39477,7.73775,5.35956,2.23416,6.77274,4.08261,0.91066,0.95324,,,,,,,,,,
Type02,250,PURE_SVR,8.28743,7.63012,5.09325,2.20477,6.36476,4.08027,0.91176,0.95384,,,,,,,,,,
Type02,250,RATIO_CTRL,4.48628,3.97867,7.0078,3.27277,9.35382,6.99638,0.88259,0.93763,,,,,,,,,,
Type02,260,PCA_GPR,7.35105,6.55172,5.37305,1.35451,16.71592,0.48063,0.9372,0.96758,,,,,,,,,,
Type02,260,PCA_KRR,8.94288,8.16968,3.55957,1.3519,0.40592,2.18348,0.94925,0.97397,,,,,,,,,,
Type02,260,PCA_LINEAR,8.75706,8.0871,2.91653,1.21265,1.06927,1.90452,0.94298,0.97065,,,,,,,,,,
Type02,260,PCA_SVR,8.87756,8.12716,3.52841,1.4528,1.81179,2.13141,0.94525,0.97185,,,,,,,,,,
Type02,260,PURE_GPR,8.92598,8.17164,5.0863,2.157,6.28939,1.5496,0.91293,0.95448,,,,,,,,,,
Type02,260,PURE_KRR,8.78948,7.99501,6.02173,2.26718,3.91525,1.56315,0.91057,0.95319,,,,,,,,,,
Type02,260,PURE_SVR,8.53874,7.69918,6.27232,2.22681,2.03254,1.45977,0.91394,0.95503,,,,,,,,,,
Type02,260,RATIO_CTRL,3.48814,2.78701,6.63222,2.26265,6.80026,5.60536,0.92068,0.9587,,,,,,,,,,
Type02,270,PCA_GPR,8.49356,7.41973,14.66586,3.70905,48.72192,2.64701,0.86647,0.92846,,,,,,,,,,
Type02,270,PCA_KRR,10.12882,9.53269,3.42795,1.44699,0.34008,2.06424,0.93849,0.96827,,,,,,,,,,
Type02,270,PCA_LINEAR,9.94734,9.24185,3.53765,1.40073,1.44692,1.67333,0.93961,0.96886,,,,,,,,,,
Type02,270,PCA_SVR,10.59986,10.114,3.80393,1.66986,4.10969,2.46953,0.93294,0.96531,,,,,,,,,,
Type02,270,PURE_GPR,9.37806,8.63996,7.56305,2.23797,6.14583,0.95035,0.91857,0.95756,,,,,,,,,,
Type02,270,PURE_KRR,10.03624,9.33492,7.41274,2.49273,7.35248,1.29375,0.90858,0.9521,,,,,,,,,,
Type02,270,PURE_SVR,9.92999,9.22604,7.32153,2.50033,6.98272,1.26973,0.9096,0.95266,,,,,,,,,,
Type02,270,RATIO_CTRL,5.01989,4.64894,6.57888,2.80145,8.2009,6.4999,0.90515,0.95021,,,,,,,,,,
Type03,230,PCA_GPR,21.56005,20.99001,25.66871,5.90685,76.03429,6.4097,0.79579,0.88629,,,,,,,,,,
Type03,230,PCA_KRR,7.72125,7.14059,0.85132,0.30675,0.32429,0.09474,0.97725,0.98849,,,,,,,,,,
Type03,230,PCA_LINEAR,7.85916,7.24579,1.24043,0.57918,3.08829,0.58033,0.9727,0.98616,,,,,,,,,,
