type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40
Type02, R, 230, 27.210594, 231.191614, 22.527038, 231.054367, 12.474447, 229.701045, 1.289432, 217.977018, 0.734329, 202.735712, 2.791718, 188.562243, 6.531025, 174.546437, 11.079217, 160.693854, 14.815963, 146.959425, 17.366051, 132.885923, 16.945635, 118.255249, 14.182381, 103.961252, 7.041924, 90.610031, 0.000000, 77.529890, 1.570298, 62.098471, 4.226621, 47.846223, 9.325969, 34.709054, 12.464492, 20.656748, 21.373357, 7.474989, 35.072560, 0.000000, 49.660666, 1.581745, 62.781556, 8.742474, 73.557491, 20.381209, 79.759220, 34.010638, 84.319407, 47.712916, 87.081424, 61.997975, 87.788535, 76.263030, 85.814229, 90.135576, 81.774593, 104.255986, 77.395847, 117.735351, 72.351431, 131.099015, 67.668136, 144.582054, 63.538627, 158.679678, 60.388511, 172.483485, 57.655805, 186.791868, 54.456650, 200.396782, 50.655004, 214.354516, 41.912168, 227.736857, 31.555421, 230.309024, 27.552147, 231.295430
Type02, R, 240, 30.181899, 240.892742, 25.424789, 241.127051, 14.851713, 239.455200, 3.482976, 227.228351, 0.238995, 211.839608, 1.741083, 197.871440, 5.696012, 182.594223, 9.182906, 168.394681, 13.029232, 153.610377, 16.156163, 139.524584, 16.864212, 124.324106, 11.609814, 109.823674, 4.224565, 96.079974, 3.933431, 81.114668, 0.000000, 65.989807, 2.823164, 50.772879, 6.084561, 36.501143, 10.083133, 21.555551, 18.228145, 7.915035, 32.640207, 0.000000, 46.936657, 1.402418, 60.756955, 8.984701, 71.773860, 20.893577, 78.931625, 34.650329, 84.198532, 48.887140, 87.292342, 63.849555, 88.146780, 78.610786, 86.267602, 93.595129, 82.603391, 108.229202, 78.692080, 122.215344, 74.419098, 136.647463, 70.196246, 151.049887, 66.707624, 165.062438, 63.442680, 179.915150, 60.826233, 194.272477, 57.344065, 209.233067, 54.708628, 223.017295, 45.574048, 236.848065, 35.013697, 240.285599, 30.610119, 240.678439
Type02, R, 250, 30.147819, 251.404722, 25.054572, 251.500174, 14.448702, 249.336096, 2.203820, 237.136398, 0.000000, 221.080155, 1.069242, 205.353468, 4.404912, 190.395357, 8.525317, 175.724676, 12.696605, 161.121614, 15.489468, 145.555736, 16.061598, 130.175443, 11.180355, 115.006176, 4.505693, 100.511338, 0.398009, 85.184007, 0.234239, 69.440986, 2.367147, 54.597601, 5.768366, 38.801067, 10.809149, 25.060359, 18.497659, 10.243105, 32.212115, 0.000000, 47.674872, 1.986619, 61.951517, 10.275425, 72.777588, 22.634935, 79.944960, 37.231090, 84.876079, 51.560972, 87.598448, 67.122530, 88.429524, 82.679748, 86.251699, 98.072907, 82.487403, 112.673630, 77.626441, 127.458830, 73.278823, 141.666887, 68.782165, 156.692227, 65.161584, 171.120320, 62.551406, 186.451313, 60.128924, 201.536490, 57.149498, 216.594698, 53.565706, 231.276859, 46.387988, 246.042660, 35.295473, 250.987224, 30.362289, 250.802622
Type02, R, 260, 31.078064, 261.081605, 25.847006, 261.050534, 14.963445, 259.015083, 2.667600, 245.739596, 0.000000, 228.963824, 3.106495, 212.949512, 7.926878, 197.843459, 11.747726, 181.703169, 15.250124, 166.615059, 18.342729, 151.145962, 18.123351, 134.729186, 13.860554, 118.527983, 6.264688, 103.473881, 1.605688, 87.605767, 0.425411, 70.432612, 2.465157, 55.206465, 7.155212, 39.014814, 11.194999, 24.257677, 19.045394, 8.920146, 34.806904, 0.000000, 50.629784, 1.708963, 64.990961, 10.461176, 76.924643, 23.241132, 84.116051, 38.551609, 88.417207, 53.802831, 91.937878, 70.351268, 93.211393, 86.206512, 92.144797, 102.531928, 87.984715, 117.929769, 83.574193, 133.289238, 78.873280, 148.460487, 74.549849, 163.656213, 70.229889, 178.774420, 66.140968, 194.857130, 63.243526, 210.749715, 60.998346, 226.852209, 57.548451, 242.337938, 48.519906, 257.648834, 36.123657, 261.151594, 31.495303, 260.610290
Type02, R, 270, 34.611659, 270.733105, 29.303547, 270.462925, 17.723668, 269.922691, 3.874709, 257.086880, 0.082415, 239.382990, 1.506293, 223.227840, 6.262539, 207.044370, 10.064179, 191.154433, 13.961151, 174.863163, 17.097453, 158.572895, 17.990798, 142.102613, 13.229640, 125.557044, 6.653041, 109.803092, 1.734697, 93.745966, 0.000000, 76.229556, 3.146935, 60.205105, 6.521424, 43.397668, 11.218596, 27.682674, 19.495894, 12.608565, 33.703428, 0.000000, 51.224613, 0.535112, 66.609415, 8.713527, 78.767378, 22.470648, 86.426240, 38.381849, 92.188376, 54.342728, 95.532667, 71.230115, 96.694862, 88.060206, 94.280888, 104.835721, 90.057470, 120.770072, 85.172035, 136.589661, 80.270006, 151.844974, 75.799781, 167.906208, 71.817770, 184.043365, 68.956224, 200.448887, 66.688522, 217.151416, 63.524985, 233.873536, 60.647183, 250.025393, 51.969892, 265.922798, 39.682371, 270.274172, 34.663148, 270.178927
Type03, R, 230, 32.764325, 230.649174, 28.003730, 230.589218, 19.475310, 229.330802, 5.805759, 221.001891, 0.566410, 206.421390, 0.231436, 192.251534, 0.994099, 178.299082, 2.609184, 164.439997, 4.539735, 150.180763, 6.111571, 135.955581, 5.854475, 122.030472, 4.569299, 107.458148, 2.414744, 93.552541, 1.012237, 79.470565, 0.000000, 65.076267, 1.125099, 51.122897, 3.551256, 36.743246, 8.616356, 23.628220, 14.904447, 9.758408, 27.259438, 0.000000, 41.701437, 0.343181, 54.968888, 6.560163, 64.557880, 18.617500, 70.541372, 32.290209, 74.648759, 45.669868, 77.086510, 60.276032, 77.996497, 74.078129, 77.849127, 88.145950, 76.441650, 103.092062, 74.371271, 116.974832, 71.699296, 131.101769, 68.982309, 145.047606, 66.478581, 158.594676, 64.256315, 172.965558, 62.088187, 186.213099, 59.394932, 200.745244, 55.683526, 214.268818, 47.486342, 227.598060, 36.910974, 230.795372, 33.211060, 230.065200
Type03, R, 235, 31.847008, 235.949404, 27.289024, 235.815757, 17.158533, 235.004809, 4.939653, 224.735331, 0.728322, 209.394851, 0.000000, 195.719864, 1.054934, 179.659588, 3.117471, 165.564376, 4.642942, 151.033061, 5.359838, 136.110279, 4.575433, 122.012021, 3.105985, 107.815972, 1.255343, 92.953462, 0.117715, 78.879424, 0.319526, 64.602345, 2.516290, 50.193377, 5.039759, 35.654785, 8.874769, 22.100971, 17.001519, 8.531088, 30.605738, 0.000000, 45.579295, 1.406614, 58.409215, 9.720439, 67.595863, 22.382009, 73.498667, 36.431802, 77.400906, 49.691895, 79.711384, 64.507770, 80.549259, 78.248305, 80.157611, 93.322983, 78.612727, 107.064283, 76.131750, 121.568356, 73.386102, 135.471119, 70.238357, 150.028384, 67.681025, 163.567475, 65.579993, 178.040105, 63.292105, 192.183252, 60.316842, 206.391436, 56.300919, 220.410631, 47.045420, 233.482359, 36.291413, 235.744659, 32.030800, 235.498668
Type03, R, 245, 33.630913, 245.503343, 28.513031, 245.730367, 18.703563, 244.383931, 5.302368, 233.551078, 0.187082, 218.504456, 0.000000, 204.005835, 1.665818, 189.342672, 2.710309, 174.536692, 3.494630, 159.443061, 3.946428, 144.446507, 3.993542, 128.852252, 3.277517, 114.474534, 1.603133, 99.001053, 0.470851, 84.238349, 0.012492, 69.626532, 1.446146, 54.844744, 4.441990, 39.780279, 9.740202, 26.002606, 16.349434, 12.324609, 27.832767, 0.000000, 43.727223, 0.356638, 57.883488, 7.045891, 67.661740, 20.247318, 73.388149, 34.333951, 77.790115, 49.366952, 80.538368, 64.855399, 81.515915, 78.881979, 80.967844, 93.975387, 78.576871, 109.320709, 76.089867, 124.059924, 73.658317, 138.864771, 70.915697, 153.961093, 68.382499, 168.942674, 65.787952, 182.891692, 63.116221, 198.724801, 60.426026, 212.907078, 58.120926, 227.566894, 48.658999, 240.884066, 38.614216, 245.114233, 33.984150, 245.132829
Type03, R, 250, 29.737820, 251.844987, 24.502490, 251.696887, 13.862221, 249.615503, 2.450017, 236.377280, 0.000000, 221.470672, 0.465389, 205.657142, 1.752707, 190.502558, 3.059022, 174.985652, 4.197738, 159.603970, 4.298203, 144.769749, 3.569146, 129.011031, 2.602192, 114.283616, 1.377097, 98.871717, 0.457462, 83.211387, 0.133003, 67.906581, 1.083591, 53.090738, 3.616790, 38.299861, 8.948374, 24.054356, 16.542553, 9.011769, 31.071249, 0.000000, 46.930583, 3.142923, 60.743398, 11.868872, 70.354168, 25.846304, 75.885400, 39.863849, 80.139420, 55.206720, 81.914843, 70.398603, 82.519523, 85.827171, 81.456811, 100.362218, 79.669289, 115.942298, 77.012319, 131.073338, 74.299065, 146.006265, 71.156178, 161.306520, 68.487464, 175.952840, 65.668527, 191.015536, 63.444625, 206.498832, 60.927323, 220.491158, 56.065095, 234.814763, 45.618357, 248.577432, 34.722976, 251.587764, 29.862593, 251.694024
Type03, R, 255, 35.357629, 255.705374, 29.991727, 255.646575, 20.209813, 254.820950, 5.435534, 245.635059, 0.659272, 229.269386, 0.000000, 213.825752, 1.199635, 197.702081, 2.692776, 181.956019, 3.577046, 166.849011, 3.934165, 150.732906, 3.693460, 134.256619, 2.756726, 119.798121, 1.496415, 103.870414, 0.323985, 88.716334, 0.114418, 73.279901, 1.148468, 57.454473, 3.881137, 42.039966, 9.066454, 27.147907, 16.570000, 12.559537, 28.916839, 0.690990, 45.554985, 0.000000, 60.306637, 7.619509, 70.691207, 20.992623, 76.444655, 35.679678, 80.842275, 51.350545, 83.684536, 67.373319, 84.456294, 82.385025, 83.891164, 98.404858, 81.530049, 113.466018, 78.527529, 129.240520, 76.057415, 144.317177, 73.414771, 159.579434, 71.213319, 175.116486, 69.042395, 190.940048, 66.961571, 205.924591, 63.665909, 222.262410, 59.576868, 236.928252, 52.285474, 252.203795, 40.041605, 255.408573, 35.487310, 255.178977
