Type,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,IoU,Dice
Type03,235,PCA_GPR,15.92826,15.18558,20.37161,4.40868,58.49257,3.6756,0.83347,0.90917
Type03,235,PCA_KRR,4.74189,4.32731,2.08036,0.81794,2.44005,2.01334,0.96608,0.98275
Type03,235,PCA_LINEAR,5.54231,4.81944,2.11011,0.93338,4.01672,1.86699,0.94603,0.97227
Type03,235,PCA_SVR,4.83249,4.26688,2.18987,0.95878,5.256,1.85684,0.95267,0.97576
Type03,235,PURE_GPR,10.12699,9.87745,5.91907,1.47561,14.64694,0.3799,0.93352,0.96562
Type03,235,PURE_KRR,4.74334,4.30295,2.12223,0.83765,2.87985,1.95583,0.96383,0.98158
Type03,235,PURE_SVR,4.70717,4.22972,2.11109,0.85417,4.01434,1.71629,0.96277,0.98103
Type03,235,RATIO_CTRL,2.40496,2.27737,1.11437,0.45168,0.32618,1.01558,0.97905,0.98941
Type03,245,PCA_GPR,10.36987,10.23501,10.65037,2.71201,31.49506,2.70339,0.88859,0.94101
Type03,245,PCA_KRR,5.39095,5.06352,1.8687,0.73688,0.80802,0.82433,0.95952,0.97934
Type03,245,PCA_LINEAR,5.09607,4.77612,1.65375,0.56018,0.25244,0.1295,0.96648,0.98296
Type03,245,PCA_SVR,5.68395,5.3156,2.36716,0.79286,2.66315,0.8804,0.95826,0.97869
Type03,245,PURE_GPR,6.55276,6.21017,2.06752,0.81702,5.05325,0.15987,0.95843,0.97878
Type03,245,PURE_KRR,5.56595,5.22338,2.00833,0.78955,2.33325,0.75382,0.95712,0.97809
Type03,245,PURE_SVR,5.1946,4.96013,2.18745,0.8533,0.43063,0.58215,0.95913,0.97914
Type03,245,RATIO_CTRL,1.56904,1.41384,2.74798,1.20999,5.66378,1.54931,0.94839,0.97351
Type03,250,PCA_GPR,7.92251,7.23364,5.91569,1.53765,13.53938,1.76114,0.92403,0.96051
Type03,250,PCA_KRR,6.08395,4.99725,2.27557,0.75284,3.50794,0.23603,0.94849,0.97356
Type03,250,PCA_LINEAR,5.80838,4.74624,1.94386,0.62633,2.79273,0.30207,0.95455,0.97675
Type03,250,PCA_SVR,6.11796,5.45545,3.38425,0.72269,2.28684,0.25807,0.95848,0.9788
Type03,250,PURE_GPR,5.84559,4.87567,2.49191,0.74043,2.39293,0.28833,0.95363,0.97627
Type03,250,PURE_KRR,6.07634,5.11605,2.47366,0.84335,1.51202,0.19498,0.95029,0.97451
Type03,250,PURE_SVR,6.08052,4.86198,2.56951,0.85197,3.72381,0.23086,0.93567,0.96677
