type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33
Type03, L, 260, 54.286792, 262.342790, 47.806445, 261.968515, 34.193747, 257.605177, 22.315782, 238.962272, 21.195063, 219.208237, 19.327895, 200.125870, 16.366041, 180.584347, 12.698305, 160.599995, 9.030626, 140.578692, 5.046132, 120.374068, 1.342730, 100.205901, 0.000000, 80.417055, 2.020586, 61.215683, 7.928873, 42.567812, 15.772778, 24.278123, 28.665767, 6.955062, 48.377040, 0.000000, 68.350743, 6.442969, 79.330833, 25.780463, 83.858501, 44.457065, 85.803417, 64.357189, 85.269025, 83.571516, 84.063583, 102.585243, 82.591839, 121.672541, 81.539403, 141.613279, 81.716023, 161.029069, 82.551981, 180.114050, 84.108844, 199.550374, 85.109647, 218.482309, 86.331587, 238.527773, 74.865120, 256.578494, 60.878127, 262.169262, 54.405922, 261.999429
Type03, L, 265, 52.033993, 266.997558, 46.062348, 266.911139, 31.257196, 262.310744, 20.202151, 244.403065, 18.451665, 223.460334, 16.339550, 204.428738, 14.179226, 183.393524, 11.171796, 164.739498, 7.822051, 144.005584, 4.557616, 124.393606, 1.612108, 104.515413, 0.000000, 85.217531, 1.440268, 65.088302, 6.625101, 45.355044, 14.517593, 27.805429, 25.308053, 7.815978, 45.039132, 0.000000, 66.935776, 4.482048, 78.442933, 23.337798, 82.574158, 42.723866, 86.745860, 63.178599, 87.382427, 84.110691, 87.165883, 103.556081, 85.262008, 123.911986, 83.052447, 143.987471, 82.170873, 164.013223, 82.702341, 183.365688, 83.996985, 204.150119, 84.098827, 223.366648, 84.365715, 243.592784, 73.724865, 261.761938, 58.299037, 267.046922, 52.604080, 266.444012
Type03, L, 270, 58.906612, 272.310293, 52.648228, 272.747628, 36.734222, 268.215198, 26.704443, 248.310902, 22.847657, 227.644060, 19.684023, 207.506736, 16.937524, 186.861798, 12.441086, 166.336130, 8.689882, 146.204728, 4.354023, 126.873889, 1.356773, 107.063450, 0.000000, 86.478445, 0.284602, 67.225106, 5.903708, 46.017545, 14.291120, 27.503854, 27.096047, 7.920991, 46.784156, 0.000000, 68.632520, 6.287441, 78.687513, 26.721877, 84.342446, 46.145192, 87.683397, 66.754215, 88.063426, 85.880501, 87.070839, 105.561520, 85.594588, 126.342859, 84.808703, 147.680255, 84.625236, 165.084829, 85.479453, 185.608659, 87.273213, 206.463448, 87.782296, 226.874111, 88.303494, 245.403393, 81.877678, 267.630225, 65.127267, 271.845411, 60.068608, 272.549001
Type03, L, 275, 58.354914, 277.762515, 51.891648, 278.195908, 35.950466, 272.688012, 26.544753, 253.494620, 22.234157, 231.476221, 19.415683, 210.962290, 16.805303, 190.474243, 12.428472, 169.246071, 8.109821, 148.529366, 4.135381, 129.473370, 1.104361, 108.976546, 0.000000, 89.012989, 1.117147, 67.843965, 5.914515, 48.108646, 12.690429, 28.556751, 24.838589, 8.990282, 44.998612, 0.000000, 66.374122, 7.406106, 78.482562, 26.395866, 83.705406, 47.526243, 87.896004, 66.767713, 89.511263, 86.610051, 89.237860, 108.644293, 86.672266, 127.761338, 83.773018, 149.370302, 83.885415, 169.491745, 86.510769, 190.769184, 87.453123, 211.392420, 89.172399, 232.413296, 89.804207, 252.527282, 80.392015, 272.541316, 64.452178, 278.064172, 59.166322, 277.436693
Type03, L, 280, 65.942941, 280.314916, 73.009705, 279.930553, 86.509129, 269.597273, 91.269129, 248.447586, 89.553098, 227.803558, 89.191619, 206.751923, 87.580038, 185.714718, 86.037039, 164.383586, 85.695477, 143.113820, 88.750680, 121.973104, 90.806493, 101.655230, 90.048870, 80.379421, 87.610003, 58.701441, 83.515072, 38.071385, 78.470955, 16.641375, 60.252984, 0.500969, 38.474668, 0.000000, 19.645317, 14.592117, 10.103626, 34.851415, 3.401965, 55.549382, 0.314032, 75.452224, 0.000000, 96.426295, 2.040410, 117.186443, 6.209739, 140.597350, 10.683043, 159.481474, 15.187381, 180.779652, 18.979469, 199.442059, 21.328467, 222.693139, 23.385221, 241.413720, 28.468153, 262.906275, 44.172830, 281.100782, 59.711203, 281.189578, 65.462349, 280.967045
Type04, L, 230, 55.083133, 231.518630, 50.096212, 231.631204, 36.358413, 230.093236, 24.397641, 213.896775, 22.309888, 195.806052, 19.353755, 178.654293, 16.360818, 160.878241, 12.701582, 143.597006, 8.972950, 126.222183, 5.215910, 109.298145, 1.498587, 91.729682, 0.000000, 74.213572, 1.895344, 56.494953, 6.975748, 39.031602, 14.336154, 22.436936, 26.511242, 6.707569, 43.971775, 0.000000, 61.816929, 3.077818, 76.821878, 16.354605, 81.543476, 34.425136, 82.812044, 51.747100, 80.975726, 69.871806, 78.942568, 87.217148, 77.890613, 104.394058, 76.535316, 121.950630, 77.989135, 139.492948, 80.287658, 156.681907, 81.516990, 173.972058, 82.393258, 191.831473, 82.168893, 208.693034, 74.245237, 227.114779, 60.558432, 230.625250, 55.842251, 231.505047
Type04, L, 235, 56.073929, 236.526888, 50.570552, 236.788805, 37.260661, 234.537384, 25.796293, 217.664751, 21.321402, 201.522207, 18.916584, 183.200833, 16.462377, 166.205009, 12.673426, 148.240462, 8.836550, 130.477557, 5.056794, 112.975549, 1.698320, 95.094178, 0.000000, 77.259659, 1.108613, 59.675517, 5.385021, 42.185716, 12.279790, 25.075927, 23.745769, 8.783161, 41.018101, 0.000000, 59.801080, 2.651180, 74.195732, 16.935071, 80.087640, 34.198381, 82.678669, 51.359629, 82.913674, 69.585242, 81.119300, 87.413316, 78.832161, 105.600502, 77.179436, 123.957459, 77.804431, 142.095408, 79.472470, 159.849354, 81.721694, 177.379780, 83.044601, 196.165005, 82.214811, 213.659401, 74.592217, 231.964145, 60.957174, 236.408863, 56.678594, 236.310134
Type04, L, 240, 58.696791, 241.274921, 52.875274, 240.714058, 39.425239, 237.358271, 27.418155, 221.376138, 23.317074, 202.337622, 20.527831, 184.283887, 17.350386, 166.251807, 13.803573, 148.906068, 10.154286, 130.765112, 6.429146, 112.654481, 3.020852, 94.822928, 0.000000, 76.839883, 0.611222, 59.038037, 6.549672, 41.192177, 13.419662, 23.731954, 25.010675, 7.322053, 43.525783, 0.000000, 61.832449, 1.981727, 76.251128, 18.255838, 81.895336, 35.582748, 84.405460, 54.571663, 84.526159, 71.906101, 83.059857, 90.236640, 80.336363, 108.253050, 78.788258, 126.589805, 79.471039, 144.118194, 81.778408, 162.848432, 83.012406, 179.666633, 83.548416, 198.688375, 85.435900, 215.702140, 76.165615, 233.406055, 65.609714, 241.225784, 58.436637, 240.781213
Type04, L, 245, 58.735078, 246.589987, 53.052467, 246.702013, 38.654853, 243.587940, 27.706598, 226.616557, 24.306064, 208.539986, 21.913669, 189.833389, 18.989742, 171.592506, 14.968412, 153.298650, 10.554914, 134.740010, 6.354956, 117.004344, 2.234322, 98.686739, 0.000000, 79.677587, 1.629032, 61.368540, 6.978258, 43.446213, 12.892557, 25.144571, 24.433659, 7.937974, 43.051051, 0.000000, 61.621906, 3.291132, 76.976652, 18.670539, 81.854367, 36.778844, 87.720330, 54.412729, 85.812867, 73.335985, 83.212019, 92.430730, 80.307173, 110.009639, 80.151749, 129.090666, 81.049642, 147.311436, 82.835174, 166.251254, 84.979940, 185.429990, 86.221219, 204.004576, 87.253727, 222.077231, 77.931792, 240.876427, 64.249406, 245.761407, 59.355755, 246.362316
Type04, L, 250, 62.032719, 251.615380, 56.171328, 251.863440, 42.355660, 247.896941, 29.352179, 230.423263, 25.533929, 211.491482, 23.673529, 191.002321, 19.964284, 172.341695, 15.420170, 153.649798, 10.540108, 135.588046, 5.812154, 116.883058, 1.978485, 98.415166, 0.000000, 78.502938, 2.254462, 59.696104, 8.472379, 41.235647, 15.147990, 22.658452, 29.049075, 6.279816, 47.570609, 0.000000, 67.013598, 4.177222, 81.013623, 20.397080, 87.900351, 39.002845, 90.655838, 57.570889, 90.035245, 76.791696, 87.585423, 95.147649, 84.862550, 113.916147, 83.438797, 133.460672, 84.144797, 151.997976, 87.288873, 172.500672, 88.267537, 189.384353, 90.332828, 208.651308, 90.491518, 227.501190, 82.322647, 246.346893, 67.373726, 251.591589, 62.500021, 251.224097
