Type,size,GPR_RMSE,GPR_Hausdorff_max,GPR_Length_Error,GPR_Chamfer_mean,GPR_A_to_B_mean,GPR_A_to_B_median,GPR_A_to_B_p90,GPR_A_to_B_p95,GPR_A_to_B_max,GPR_B_to_A_mean,GPR_B_to_A_median,GPR_B_to_A_p90,GPR_B_to_A_p95,GPR_B_to_A_max,PCA_RMSE,PCA_Hausdorff_max,PCA_Length_Error,PCA_Chamfer_mean,PCA_A_to_B_mean,PCA_A_to_B_median,PCA_A_to_B_p90,PCA_A_to_B_p95,PCA_A_to_B_max,PCA_B_to_A_mean,PCA_B_to_A_median,PCA_B_to_A_p90,PCA_B_to_A_p95,PCA_B_to_A_max,RATIO_RMSE,RATIO_Hausdorff_max,RATIO_Length_Error,RATIO_Chamfer_mean,RATIO_A_to_B_mean,RATIO_A_to_B_median,RATIO_A_to_B_p90,RATIO_A_to_B_p95,RATIO_A_to_B_max,RATIO_B_to_A_mean,RATIO_B_to_A_median,RATIO_B_to_A_p90,RATIO_B_to_A_p95,RATIO_B_to_A_max
Type03,275,14.773490,8.661173,15.573420,1.996576,2.036500,1.523855,4.853469,7.037552,8.661173,1.956652,1.494478,4.742825,6.943657,8.661173,15.264890,7.817090,12.822454,1.936354,1.992821,1.287234,4.468246,6.320191,7.817090,1.879888,1.244344,4.422892,6.314976,7.817090,15.264890,7.817090,12.822454,1.936354,1.992821,1.287234,4.468246,6.320191,7.817090,1.879888,1.244344,4.422892,6.314976,7.817090
Type03,280,71.894611,7.868348,22.225672,2.454321,2.457787,2.305317,4.624220,6.968902,7.868348,2.450854,2.286264,4.833502,7.029746,7.868348,71.973784,7.111490,19.448390,2.333562,2.363381,2.048260,5.018909,6.299945,7.111490,2.303744,1.981380,4.915187,6.384651,7.111490,71.973784,7.111490,19.448390,2.333562,2.363381,2.048260,5.018909,6.299945,7.111490,2.303744,1.981380,4.915187,6.384651,7.111490
Type04,230,12.301232,4.196790,12.911074,1.148976,1.195215,1.002296,2.478368,3.132279,4.196790,1.102737,0.922663,2.351651,2.496726,4.191480,13.526432,4.383189,11.178917,0.918063,0.977157,0.733435,2.122468,2.807934,4.383189,0.858970,0.676435,1.549145,2.299407,4.381686,13.526432,4.383189,11.178917,0.918063,0.977157,0.733435,2.122468,2.807934,4.383189,0.858970,0.676435,1.549145,2.299407,4.381686
Type04,235,13.748780,3.742426,10.956707,1.032299,1.064162,0.810987,2.414137,2.773316,3.742426,1.000435,0.715566,2.166412,2.661803,3.731145,14.018511,4.443552,9.961738,0.832335,0.888944,0.524122,2.109327,2.646436,4.443552,0.775725,0.488297,1.880916,2.173711,4.442816,14.018511,4.443552,9.961738,0.832335,0.888944,0.524122,2.109327,2.646436,4.443552,0.775725,0.488297,1.880916,2.173711,4.442816
Type04,240,13.323750,4.116653,10.993264,1.583166,1.606140,1.444581,2.849007,2.957679,4.116653,1.560193,1.394033,2.770829,2.930835,4.114012,13.180877,4.543560,9.423023,1.463999,1.511371,1.302180,2.879767,3.495515,4.543560,1.416627,1.197059,2.794794,2.942498,4.541102,13.180877,4.543560,9.423023,1.463999,1.511371,1.302180,2.879767,3.495515,4.543560,1.416627,1.197059,2.794794,2.942498,4.541102
Type04,245,13.563526,4.086368,9.750729,1.289831,1.338763,1.061738,2.500421,3.035238,4.086368,1.240899,0.965644,2.394727,2.539248,4.074180,14.198527,4.821803,9.605078,1.313474,1.374058,1.090103,2.605290,3.808550,4.821803,1.252891,0.967188,2.440318,2.725514,4.821003,14.198527,4.821803,9.605078,1.313474,1.374058,1.090103,2.605290,3.808550,4.821803,1.252891,0.967188,2.440318,2.725514,4.821003
Type04,250,13.626020,6.691014,14.155495,2.183173,2.244691,1.804538,4.041828,5.961453,6.691014,2.121655,1.718798,3.799375,5.103827,6.685427,14.373117,6.827566,12.733742,1.992898,2.068330,1.631555,3.815428,5.761017,6.827566,1.917466,1.489831,3.682937,4.495755,6.822022,14.373117,6.827566,12.733742,1.992898,2.068330,1.631555,3.815428,5.761017,6.827566,1.917466,1.489831,3.682937,4.495755,6.822022
Type04,260,13.674866,4.837082,8.193252,1.648440,1.692948,1.445242,3.827404,4.287767,4.837082,1.603932,1.383899,3.639785,4.287767,4.837082,14.993893,4.893541,9.303294,1.524970,1.578425,1.194134,3.894003,4.388012,4.893541,1.471515,1.113798,3.645331,4.282293,4.892211,14.993893,4.893541,9.303294,1.524970,1.578425,1.194134,3.894003,4.388012,4.893541,1.471515,1.113798,3.645331,4.282293,4.892211
Type04,265,14.768712,6.127394,11.236256,1.939005,2.000926,1.896398,4.007729,4.445516,6.127394,1.877084,1.828070,3.835119,4.341673,6.125831,15.215505,5.273358,10.577026,1.294687,1.357300,1.023776,3.106953,3.459512,5.273358,1.232075,0.990019,2.899097,3.364910,5.260077,15.215505,5.273358,10.577026,1.294687,1.357300,1.023776,3.106953,3.459512,5.273358,1.232075,0.990019,2.899097,3.364910,5.260077
Type04,270,13.784368,7.671047,10.552948,2.588309,2.627294,2.201131,5.948967,7.126549,7.671047,2.549323,2.032621,5.887075,7.128877,7.671047,15.363329,6.262162,12.023323,1.924477,1.952147,1.482451,4.857598,5.870496,6.262162,1.896808,1.415037,4.895199,5.884114,6.262162,15.363329,6.262162,12.023323,1.924477,1.952147,1.482451,4.857598,5.870496,6.262162,1.896808,1.415037,4.895199,5.884114,6.262162
Type04,280,15.652682,6.034045,14.229688,2.331906,2.369946,2.254540,4.532788,4.815285,6.034045,2.293866,2.228748,4.444036,4.694456,6.032112,15.716148,5.678776,13.999486,1.542833,1.595441,1.152102,3.935636,4.407398,5.678776,1.490226,1.061258,3.623607,4.294965,5.669800,15.716148,5.678776,13.999486,1.542833,1.595441,1.152102,3.935636,4.407398,5.678776,1.490226,1.061258,3.623607,4.294965,5.669800
