Type,size,GPR_RMSE,GPR_Hausdorff_max,GPR_Length_Error,GPR_Chamfer_mean,GPR_A_to_B_mean,GPR_A_to_B_median,GPR_A_to_B_p90,GPR_A_to_B_p95,GPR_A_to_B_max,GPR_B_to_A_mean,GPR_B_to_A_median,GPR_B_to_A_p90,GPR_B_to_A_p95,GPR_B_to_A_max,PCA_RMSE,PCA_Hausdorff_max,PCA_Length_Error,PCA_Chamfer_mean,PCA_A_to_B_mean,PCA_A_to_B_median,PCA_A_to_B_p90,PCA_A_to_B_p95,PCA_A_to_B_max,PCA_B_to_A_mean,PCA_B_to_A_median,PCA_B_to_A_p90,PCA_B_to_A_p95,PCA_B_to_A_max,RATIO_RMSE,RATIO_Hausdorff_max,RATIO_Length_Error,RATIO_Chamfer_mean,RATIO_A_to_B_mean,RATIO_A_to_B_median,RATIO_A_to_B_p90,RATIO_A_to_B_p95,RATIO_A_to_B_max,RATIO_B_to_A_mean,RATIO_B_to_A_median,RATIO_B_to_A_p90,RATIO_B_to_A_p95,RATIO_B_to_A_max
Type01,280,8.837837,8.649356,9.860579,3.308242,3.275327,2.855905,7.450562,8.121722,8.649356,3.341157,2.985817,7.468642,8.174578,8.649356,7.363615,5.424480,6.913000,2.335441,2.313665,2.184957,4.579652,4.944192,5.424480,2.357217,2.273913,4.590963,4.946027,5.424480,7.363615,5.424480,6.913000,2.335441,2.313665,2.184957,4.579652,4.944192,5.424480,2.357217,2.273913,4.590963,4.946027,5.424480
Type02,230,6.324241,1.654971,3.679505,0.497578,0.495713,0.286989,1.304597,1.390652,1.654971,0.499443,0.276525,1.306713,1.396444,1.654971,6.136131,1.887441,3.484705,0.574621,0.576818,0.478388,1.424551,1.741849,1.887441,0.572424,0.478388,1.417372,1.741849,1.887441,6.136131,1.887441,3.484705,0.574621,0.576818,0.478388,1.424551,1.741849,1.887441,0.572424,0.478388,1.417372,1.741849,1.887441
Type02,250,63.209392,8.413866,0.453097,2.556601,2.525772,1.738840,6.319588,7.635412,8.413866,2.587429,1.771031,6.421699,7.689812,8.413866,63.256206,5.507083,0.946966,1.935502,1.932937,1.120520,4.970696,5.222924,5.507083,1.938067,1.106401,4.961802,5.221368,5.507083,63.256206,5.507083,0.946966,1.935502,1.932937,1.120520,4.970696,5.222924,5.507083,1.938067,1.106401,4.961802,5.221368,5.507083
Type02,260,7.512668,8.477500,1.757481,2.295168,2.255743,1.838154,5.257935,7.389751,8.477500,2.334594,2.001148,5.518270,7.530688,8.477500,6.700455,3.485738,1.423993,1.320786,1.319969,1.052304,2.899520,3.199792,3.485738,1.321602,1.003456,2.922184,3.208121,3.485738,6.700455,3.485738,1.423993,1.320786,1.319969,1.052304,2.899520,3.199792,3.485738,1.321602,1.003456,2.922184,3.208121,3.485738
Type02,270,8.659207,8.196004,0.927891,2.406476,2.367686,1.982382,4.814566,7.178291,8.196004,2.445267,2.147163,5.024396,7.269515,8.196004,7.831647,3.460619,3.517351,1.364356,1.354568,1.275071,2.710486,3.051956,3.460619,1.374144,1.304197,2.751437,3.059970,3.460619,7.831647,3.460619,3.517351,1.364356,1.354568,1.275071,2.710486,3.051956,3.460619,1.374144,1.304197,2.751437,3.059970,3.460619
Type03,230,5.700892,1.093173,1.598699,0.272923,0.273824,0.231614,0.514512,0.624436,1.093173,0.272023,0.226102,0.523261,0.629999,1.093173,5.895847,1.242590,2.375004,0.458800,0.458354,0.418219,0.836936,0.903527,1.242590,0.459246,0.419314,0.841321,0.905555,1.242590,5.895847,1.242590,2.375004,0.458800,0.458354,0.418219,0.836936,0.903527,1.242590,0.459246,0.419314,0.841321,0.905555,1.242590
Type03,235,6.725520,2.478797,2.748207,0.701707,0.696927,0.564603,1.183717,2.016692,2.478013,0.706488,0.581302,1.213412,2.067014,2.478797,7.082526,2.597106,2.038804,0.709521,0.705122,0.551556,1.472900,2.160918,2.596993,0.713920,0.569570,1.513533,2.212923,2.597106,7.082526,2.597106,2.038804,0.709521,0.705122,0.551556,1.472900,2.160918,2.596993,0.713920,0.569570,1.513533,2.212923,2.597106
Type03,245,6.483279,2.216444,4.967185,0.923232,0.921266,0.718779,1.893978,2.061802,2.216444,0.925199,0.728152,1.905023,2.061864,2.216444,6.920326,1.933058,2.499215,0.767574,0.768015,0.598477,1.537692,1.701353,1.933058,0.767134,0.606814,1.536329,1.691037,1.933058,6.920326,1.933058,2.499215,0.767574,0.768015,0.598477,1.537692,1.701353,1.933058,0.767134,0.606814,1.536329,1.691037,1.933058
Type03,250,6.898643,3.233104,3.236120,1.097636,1.090946,0.911617,2.283097,2.690008,3.233104,1.104326,0.923437,2.296562,2.716553,3.233104,7.302869,3.217856,0.552537,1.045433,1.036888,0.876128,1.951232,2.571410,3.217856,1.053977,0.895178,1.954757,2.573268,3.217856,7.302869,3.217856,0.552537,1.045433,1.036888,0.876128,1.951232,2.571410,3.217856,1.053977,0.895178,1.954757,2.573268,3.217856
Type03,255,7.002173,2.854130,6.094879,0.959913,0.954735,0.705038,2.258661,2.442192,2.854130,0.965091,0.714922,2.274494,2.453871,2.854130,7.314526,2.846160,3.520367,0.975108,0.969749,0.733050,1.971027,2.188173,2.846160,0.980468,0.746152,1.977139,2.188173,2.846160,7.314526,2.846160,3.520367,0.975108,0.969749,0.733050,1.971027,2.188173,2.846160,0.980468,0.746152,1.977139,2.188173,2.846160
Type03,260,7.404021,3.022394,3.802878,1.092442,1.086750,0.831863,2.128483,2.300101,3.022394,1.098135,0.818355,2.147862,2.321147,3.022394,7.628426,2.922185,1.434467,0.755760,0.755802,0.527257,1.936588,2.471454,2.921324,0.755718,0.521972,1.972932,2.485427,2.922185,7.628426,2.922185,1.434467,0.755760,0.755802,0.527257,1.936588,2.471454,2.921324,0.755718,0.521972,1.972932,2.485427,2.922185
Type03,265,7.854335,4.913404,2.775636,1.576443,1.587483,1.173937,3.671657,4.118458,4.913404,1.565402,1.129492,3.675718,4.114622,4.913404,8.107218,5.271195,0.617304,1.522956,1.531325,1.301563,3.413463,4.031904,5.271195,1.514587,1.272779,3.394449,3.952492,5.271195,8.107218,5.271195,0.617304,1.522956,1.531325,1.301563,3.413463,4.031904,5.271195,1.514587,1.272779,3.394449,3.952492,5.271195
Type03,270,7.112690,4.122686,3.276694,1.332706,1.316195,1.348654,2.505203,3.146585,4.121524,1.349217,1.390705,2.548001,3.260052,4.122686,7.449465,4.183057,1.241687,1.173855,1.166906,0.951055,2.347837,3.463839,4.183057,1.180803,0.992747,2.338851,3.484406,4.183057,7.449465,4.183057,1.241687,1.173855,1.166906,0.951055,2.347837,3.463839,4.183057,1.180803,0.992747,2.338851,3.484406,4.183057
Type03,275,7.346448,4.502029,1.772269,1.259533,1.252576,0.848308,2.796347,3.393925,4.502029,1.266490,0.851456,2.842681,3.399648,4.502029,7.813958,3.957466,0.310462,1.176027,1.161456,0.767515,2.881555,3.437749,3.957325,1.190598,0.761540,2.960599,3.480426,3.957466,7.813958,3.957466,0.310462,1.176027,1.161456,0.767515,2.881555,3.437749,3.957325,1.190598,0.761540,2.960599,3.480426,3.957466
Type03,280,70.871973,4.098149,5.404670,1.288782,1.280282,1.000895,2.552538,3.018100,4.098149,1.297282,1.025675,2.570413,3.042222,4.098149,70.954467,3.230745,3.029376,1.204244,1.191734,0.984917,2.737657,2.964265,3.230745,1.216755,1.031025,2.777038,2.971157,3.230745,70.954467,3.230745,3.029376,1.204244,1.191734,0.984917,2.737657,2.964265,3.230745,1.216755,1.031025,2.777038,2.971157,3.230745
Type04,230,5.899930,1.076340,2.539748,0.339412,0.338302,0.316843,0.655528,0.785505,1.076340,0.340522,0.310828,0.661565,0.790647,1.076340,6.246292,1.174139,2.566484,0.464020,0.464429,0.480901,0.834473,0.891954,1.174139,0.463611,0.482065,0.836773,0.891954,1.174139,6.246292,1.174139,2.566484,0.464020,0.464429,0.480901,0.834473,0.891954,1.174139,0.463611,0.482065,0.836773,0.891954,1.174139
Type04,235,6.019480,2.092650,1.010201,0.675212,0.665983,0.431728,1.592520,1.744511,2.091957,0.684441,0.465081,1.627884,1.752081,2.092650,6.571795,2.322382,0.349788,0.636156,0.626256,0.444339,1.224160,1.927682,2.319508,0.646056,0.460616,1.242273,2.013407,2.322382,6.571795,2.322382,0.349788,0.636156,0.626256,0.444339,1.224160,1.927682,2.319508,0.646056,0.460616,1.242273,2.013407,2.322382
Type04,240,5.513391,2.223728,0.185823,1.152136,1.139339,1.085343,1.999953,2.027309,2.221861,1.164932,1.154393,2.005756,2.033490,2.223728,6.121964,2.570384,1.760139,1.083112,1.073215,0.955657,1.933223,2.011208,2.568509,1.093010,1.046144,1.937746,2.013766,2.570384,6.121964,2.570384,1.760139,1.083112,1.073215,0.955657,1.933223,2.011208,2.568509,1.093010,1.046144,1.937746,2.013766,2.570384
Type04,245,5.976055,3.006461,1.996495,1.286158,1.269902,1.245545,2.544183,2.849998,3.006461,1.302413,1.282405,2.559538,2.852828,3.006461,6.533786,2.724829,0.136801,1.132695,1.115620,1.113169,2.278082,2.495247,2.724829,1.149769,1.181666,2.321093,2.501091,2.724829,6.533786,2.724829,0.136801,1.132695,1.115620,1.113169,2.278082,2.495247,2.724829,1.149769,1.181666,2.321093,2.501091,2.724829
Type04,250,6.987706,4.781900,5.085808,2.299467,2.279119,2.262341,4.142170,4.328487,4.781900,2.319816,2.316105,4.152322,4.341841,4.781900,7.385853,4.260087,3.078824,2.068379,2.061645,2.098284,3.842681,3.957175,4.260087,2.075113,2.132256,3.844860,3.955312,4.260087,7.385853,4.260087,3.078824,2.068379,2.061645,2.098284,3.842681,3.957175,4.260087,2.075113,2.132256,3.844860,3.955312,4.260087
Type04,260,7.555593,2.994069,0.776233,1.376405,1.368995,1.328716,2.447772,2.682955,2.994069,1.383814,1.346546,2.463679,2.696418,2.994069,7.840332,2.816535,1.959692,1.100918,1.087248,1.003802,2.042838,2.266741,2.816535,1.114589,1.034404,2.072405,2.279147,2.816535,7.840332,2.816535,1.959692,1.100918,1.087248,1.003802,2.042838,2.266741,2.816535,1.114589,1.034404,2.072405,2.279147,2.816535
Type04,265,7.210985,3.880352,0.599998,1.436164,1.437865,1.256038,2.661669,3.230606,3.880352,1.434463,1.252104,2.712893,3.233174,3.880352,7.525916,3.693691,1.278793,0.987218,0.969110,0.776664,2.331368,2.792861,3.693691,1.005325,0.794327,2.447423,2.928970,3.693691,7.525916,3.693691,1.278793,0.987218,0.969110,0.776664,2.331368,2.792861,3.693691,1.005325,0.794327,2.447423,2.928970,3.693691
Type04,270,7.047213,3.106709,1.418222,1.383875,1.390180,1.270255,2.554470,2.685527,3.106709,1.377570,1.241350,2.555603,2.690793,3.106709,7.523269,2.657429,1.656985,0.871734,0.861477,0.760163,1.746377,1.873461,2.657429,0.881991,0.812449,1.767765,1.883799,2.657429,7.523269,2.657429,1.656985,0.871734,0.861477,0.760163,1.746377,1.873461,2.657429,0.881991,0.812449,1.767765,1.883799,2.657429
Type04,280,6.794161,3.574614,0.749066,1.264432,1.276931,1.106474,2.814217,2.991293,3.574614,1.251932,1.083289,2.794344,2.982746,3.574614,7.639914,2.522624,0.641817,0.795456,0.785835,0.632626,1.607000,2.168171,2.521056,0.805078,0.644919,1.709848,2.204016,2.522624,7.639914,2.522624,0.641817,0.795456,0.785835,0.632626,1.607000,2.168171,2.521056,0.805078,0.644919,1.709848,2.204016,2.522624
Type05,240,6.560508,1.156981,1.735441,0.270594,0.270694,0.252579,0.411135,0.731194,1.156981,0.270494,0.246370,0.396714,0.744756,1.156981,6.514836,1.527049,1.585953,0.651453,0.648777,0.638504,1.150211,1.310946,1.527049,0.654128,0.642226,1.154260,1.314240,1.527049,6.514836,1.527049,1.585953,0.651453,0.648777,0.638504,1.150211,1.310946,1.527049,0.654128,0.642226,1.154260,1.314240,1.527049
Type05,260,7.680592,5.083123,2.287572,1.982365,1.958884,1.706625,4.176799,4.705236,5.083123,2.005846,1.739740,4.194918,4.730736,5.083123,6.988082,3.248268,1.209823,1.403965,1.385094,1.280900,2.572579,2.704168,3.248268,1.422836,1.346882,2.580774,2.704767,3.248268,6.988082,3.248268,1.209823,1.403965,1.385094,1.280900,2.572579,2.704168,3.248268,1.422836,1.346882,2.580774,2.704767,3.248268
Type05,280,68.368102,10.146593,2.211983,2.411272,2.390620,1.591360,5.677213,8.004943,10.146593,2.431925,1.600601,5.978831,8.308654,10.146593,67.508314,3.187380,0.730119,1.023096,1.011083,0.843625,2.093775,2.663838,3.187380,1.035109,0.917505,2.158804,2.684805,3.187380,67.508314,3.187380,0.730119,1.023096,1.011083,0.843625,2.093775,2.663838,3.187380,1.035109,0.917505,2.158804,2.684805,3.187380
Type06,230,5.730875,0.774538,0.813864,0.260217,0.262321,0.200115,0.527282,0.608247,0.774538,0.258114,0.198539,0.513209,0.594575,0.774538,6.033023,1.129231,0.087773,0.422800,0.423492,0.287069,0.932610,0.975472,1.129231,0.422108,0.282726,0.936440,0.982376,1.129231,6.033023,1.129231,0.087773,0.422800,0.423492,0.287069,0.932610,0.975472,1.129231,0.422108,0.282726,0.936440,0.982376,1.129231
Type06,240,5.502592,3.121507,0.716495,0.952354,0.941214,0.690762,1.994961,2.770744,3.121507,0.963493,0.743900,2.040844,2.776439,3.121507,5.578209,2.848391,0.115387,0.844758,0.834403,0.692944,1.742488,2.497547,2.848391,0.855113,0.712581,1.789041,2.503473,2.848391,5.578209,2.848391,0.115387,0.844758,0.834403,0.692944,1.742488,2.497547,2.848391,0.855113,0.712581,1.789041,2.503473,2.848391
Type06,250,6.393899,2.512054,2.108092,0.833932,0.826974,0.670329,1.597844,2.139327,2.512054,0.840891,0.697755,1.598864,2.137249,2.512054,6.291459,2.041834,2.672761,0.703366,0.697300,0.562765,1.293861,1.760859,2.041834,0.709432,0.594427,1.301114,1.760859,2.041834,6.291459,2.041834,2.672761,0.703366,0.697300,0.562765,1.293861,1.760859,2.041834,0.709432,0.594427,1.301114,1.760859,2.041834
Type06,270,7.132103,4.573759,4.990831,1.232644,1.227310,0.850592,2.701844,3.751639,4.573759,1.237977,0.866688,2.696776,3.720159,4.573759,7.448502,4.087758,6.786861,1.184070,1.177341,0.792834,2.887128,3.478435,4.087758,1.190799,0.820782,2.890245,3.477468,4.087758,7.448502,4.087758,6.786861,1.184070,1.177341,0.792834,2.887128,3.478435,4.087758,1.190799,0.820782,2.890245,3.477468,4.087758
Type06,280,10.043267,4.453388,13.183228,1.205558,1.216928,0.980619,2.994189,3.258628,4.453388,1.194187,0.950236,2.990180,3.203764,3.824806,8.372275,3.957624,9.077895,1.263730,1.259369,0.926050,2.871797,3.253062,3.957624,1.268091,0.943163,2.860982,3.252419,3.957624,8.372275,3.957624,9.077895,1.263730,1.259369,0.926050,2.871797,3.253062,3.957624,1.268091,0.943163,2.860982,3.252419,3.957624
Type07,250,8.539852,14.158609,14.825066,1.190358,1.188655,0.761018,2.280211,3.429264,14.158609,1.192060,0.737883,2.307302,3.578081,14.158609,6.540936,10.074230,12.080548,0.905570,0.903018,0.622921,1.898774,2.200099,10.074230,0.908122,0.610691,1.911464,2.286871,10.074230,6.540936,10.074230,12.080548,0.905570,0.903018,0.622921,1.898774,2.200099,10.074230,0.908122,0.610691,1.911464,2.286871,10.074230
Type07,270,6.948901,10.659210,10.665573,1.609700,1.597588,1.336782,3.320629,4.394787,10.659210,1.621812,1.350295,3.348316,4.468786,10.659210,7.088197,10.462787,12.098307,1.251170,1.247098,1.087993,2.286856,2.715612,10.462787,1.255241,1.084872,2.340176,2.867215,10.462787,7.088197,10.462787,12.098307,1.251170,1.247098,1.087993,2.286856,2.715612,10.462787,1.255241,1.084872,2.340176,2.867215,10.462787
Type07,280,9.386297,10.863521,10.282057,1.793878,1.758152,0.927362,4.591829,5.665346,10.863521,1.829603,0.952641,4.715073,6.060505,10.863521,7.568928,10.179895,10.054814,1.441107,1.435770,1.199294,3.234876,3.705855,10.179895,1.446443,1.204408,3.248709,3.715523,10.179895,7.568928,10.179895,10.054814,1.441107,1.435770,1.199294,3.234876,3.705855,10.179895,1.446443,1.204408,3.248709,3.715523,10.179895
