sample_index,distance_mm
751,1.058735
752,1.096147
753,1.124523
754,1.128894
755,1.088298
756,1.030934
757,0.993902
758,0.965578
759,1.058612
760,1.030707
761,1.007375
762,1.075601
763,0.987337
764,0.947274
765,0.958444
766,0.942187
767,0.925699
768,0.924252
769,0.928318
770,0.808587
771,0.819413
772,0.964640
773,0.977221
774,0.875148
775,0.877888
776,0.788741
777,0.793231
778,0.832315
779,0.739748
780,0.768871
781,0.689729
782,0.720177
783,0.655931
784,0.697950
785,0.751180
786,0.685170
787,0.637815
788,0.666283
789,0.608947
790,0.571991
791,0.631466
792,0.568368
793,0.541835
794,0.478046
795,0.420758
796,0.548164
797,0.497041
798,0.452336
799,0.457337
800,0.415864
801,0.380604
802,0.492976
803,0.510013
804,0.487733
805,0.528241
806,0.387437
807,0.371260
808,0.361123
809,0.441294
810,0.435991
811,0.436662
812,0.443413
813,0.338159
814,0.428727
815,0.458882
816,0.397111
817,0.387338
818,0.429895
819,0.510557
820,0.424264
821,0.445511
822,0.399370
823,0.334793
824,0.474636
825,0.545090
826,0.510751
827,0.486777
828,0.438643
829,0.440054
830,0.397625
831,0.488031
832,0.471903
833,0.482452
834,0.459065
835,0.438313
836,0.537416
837,0.495899
838,0.452048
839,0.481101
840,0.505372
841,0.495916
842,0.479292
843,0.448814
844,0.457042
845,0.408244
846,0.350656
847,0.382490
848,0.335036
849,0.375579
850,0.361161
851,0.305901
852,0.344048
853,0.310401
854,0.375678
855,0.381856
856,0.222777
857,0.301989
858,0.292556
859,0.233119
860,0.203108
861,0.235448
862,0.154138
863,0.187497
864,0.126615
865,0.244107
866,0.129596
867,0.074791
868,0.160354
869,0.063275
870,0.206486
871,0.206970
872,0.126669
873,0.155244
874,0.071282
875,0.098596
876,0.090313
877,0.052876
878,0.051777
879,0.074468
880,0.030587
881,0.020851
882,0.067595
883,0.079727
884,0.055008
885,0.051723
886,0.054435
887,0.035504
888,0.080608
889,0.067899
890,0.005923
891,0.058963
892,0.085258
893,0.032127
894,0.063016
895,0.063792
896,0.050066
897,0.064514
898,0.092463
899,0.064382
900,0.040226
901,0.084317
902,0.072660
903,0.117092
904,0.079045
905,0.149733
906,0.090449
907,0.178829
908,0.107316
909,0.200995
910,0.181035
911,0.208359
912,0.137588
913,0.213252
914,0.289597
915,0.248987
916,0.293409
917,0.255191
918,0.292313
919,0.257340
920,0.288248
921,0.342833
922,0.411413
923,0.370514
924,0.405159
925,0.455613
926,0.451409
927,0.288552
928,0.345986
929,0.406776
930,0.416343
931,0.383264
932,0.428609
933,0.487063
934,0.391653
935,0.449356
936,0.496740
937,0.540314
938,0.452579
939,0.507266
940,0.550561
941,0.458843
942,0.499358
943,0.407173
944,0.444708
945,0.605275
946,0.678003
947,0.580588
948,0.616594
949,0.660414
950,0.697560
951,0.596917
952,0.629611
953,0.642353
954,0.558475
955,0.597704
956,0.629869
957,0.667279
958,0.698188
959,0.733904
960,0.636778
961,0.654333
962,0.680149
963,0.713263
964,0.739580
965,0.661429
966,0.665717
967,0.711167
968,0.704266
969,0.733685
970,0.769149
971,0.783071
972,0.803696
973,0.714048
974,0.703764
975,0.728591
976,0.762707
977,0.770064
978,0.700032
979,0.666842
980,0.698769
981,0.726679
982,0.734346
983,0.738602
984,0.759171
985,0.766423
986,0.789231
987,0.796031
988,0.712884
989,0.684759
990,0.835110
991,0.848662
992,0.757750
993,0.734187
994,0.743601
995,0.755799
996,0.795242
997,0.775411
998,0.799190
999,0.793074
1000,0.792834
1001,0.798464
1002,0.830950
1003,0.811757
1004,0.820172
1005,0.834881
1006,0.831141
1007,0.832973
1008,0.865305
1009,0.840998
1010,0.847108
1011,0.847369
1012,0.852261
1013,0.852137
1014,0.855845
1015,0.855355
1016,0.857911
1017,0.857075
1018,0.858512
1019,0.857353
1020,0.857699
1021,0.856243
1022,0.874602
1023,0.853799
1024,0.852044
1025,0.869085
1026,0.847309
1027,0.845132
1028,0.841373
1029,0.733318
1030,0.699328
1031,0.831797
1032,0.826114
1033,0.823517
1034,0.816899
1035,0.814239
1036,0.806701
1037,0.804018
1038,0.795574
1039,0.819009
1040,0.783572
1041,0.780358
1042,0.821997
1043,0.766763
1044,0.757168
1045,0.784803
1046,0.742878
1047,0.737384
1048,0.791316
1049,0.867094
1050,0.722279
1051,0.705449
1052,0.765894
1053,0.834126
1054,0.688144
1055,0.717029
1056,0.814498
1057,0.799240
1058,0.790865
1059,0.824083
1060,0.777842
1061,0.762822
1062,0.755061
1063,0.792532
1064,0.739881
1065,0.725244
1066,0.720524
1067,0.706138
1068,0.699675
1069,0.744615
1070,0.681283
1071,0.728710
1072,0.806517
1073,0.793809
1074,0.788220
1075,0.759712
1076,0.621794
1077,0.681992
1078,0.750614
1079,0.735711
1080,0.727506
1081,0.716549
1082,0.782719
1083,0.697569
1084,0.695385
1085,0.824353
1086,0.744305
1087,0.660354
1088,0.766339
1089,0.787621
1090,0.777685
1091,0.769780
1092,0.759553
1093,0.752352
1094,0.741836
1095,0.735384
1096,0.724575
1097,0.718912
1098,0.723940
1099,0.702958
1100,0.706377
1101,0.717382
1102,0.675768
1103,0.672689
1104,0.796646
1105,0.801179
1106,0.703128
1107,0.644756
1108,0.778621
1109,0.772200
1110,0.764064
1111,0.781300
1112,0.751227
1113,0.745610
1114,0.759648
1115,0.754806
1116,0.734423
1117,0.742479
1118,0.739884
1119,0.730794
1120,0.711618
1121,0.749912
1122,0.842486
1123,0.836352
1124,0.833757
1125,0.699795
1126,0.709144
1127,0.819492
1128,0.818596
1129,0.812225
1130,0.812127
1131,0.805760
1132,0.690814
1133,0.668726
1134,0.690912
1135,0.795317
1136,0.678484
1137,0.665914
1138,0.791175
1139,0.653842
1140,0.685840
1141,0.785999
1142,0.665954
1143,0.662756
1144,0.784223
1145,0.783946
1146,0.783545
1147,0.784140
1148,0.783674
1149,0.645365
1150,0.693060
1151,0.786927
1152,0.785114
1153,0.647580
1154,0.701103
1155,0.792848
1156,0.664180
1157,0.682751
1158,0.796155
1159,0.801732
1160,0.670617
1161,0.661372
1162,0.725453
1163,0.666731
1164,0.667144
1165,0.770480
1166,0.793597
1167,0.679691
1168,0.681962
1169,0.687276
1170,0.690452
1171,0.695586
1172,0.699650
1173,0.704611
1174,0.781318
1175,0.714344
1176,0.720125
1177,0.724769
1178,0.731371
1179,0.735861
1180,0.743249
1181,0.747586
1182,0.755729
1183,0.759914
1184,0.626076
1185,0.688233
1186,0.782369
1187,0.786254
1188,0.796466
1189,0.800203
1190,0.810235
1191,0.795277
1192,0.679243
1193,0.683831
1194,0.693764
1195,0.699134
1196,0.708712
1197,0.714825
1198,0.724055
1199,0.730871
1200,0.739761
1201,0.755296
1202,0.755797
1203,0.763906
1204,0.772131
1205,0.780831
1206,0.788730
1207,0.797986
1208,0.805563
1209,0.771713
1210,0.676961
1211,0.768160
1212,0.694143
1213,0.785856
1214,0.840173
1215,0.724607
1216,0.728911
1217,0.740993
1218,0.801363
1219,0.758507
1220,0.764006
1221,0.775563
1222,0.781599
1223,0.792646
1224,0.799182
1225,0.809726
1226,0.816723
1227,0.760955
1228,0.688580
1229,0.698324
1230,0.774721
1231,0.715141
1232,0.723248
1233,0.731839
1234,0.740360
1235,0.748387
1236,0.757285
1237,0.764752
1238,0.773993
1239,0.780904
1240,0.748744
1241,0.651164
1242,0.745871
1243,0.812443
1244,0.822518
1245,0.827770
1246,0.838063
1247,0.842760
1248,0.792964
1249,0.711697
1250,0.803590
1251,0.725931
1252,0.822820
1253,0.885414
1254,0.824051
1255,0.753106
1256,0.764981
1257,0.765987
1258,0.777987
1259,0.778364
1260,0.790472
1261,0.790217
1262,0.860786
1263,0.801526
1264,0.813803
1265,0.812274
1266,0.816707
1267,0.822441
1268,0.834832
1269,0.832008
1270,0.834987
1271,0.840957
1272,0.843207
1273,0.849271
1274,0.861751
1275,0.856929
1276,0.857709
1277,0.863915
1278,0.875888
1279,0.869528
1280,0.869499
1281,0.808454
1282,0.728659
1283,0.822794
1284,0.878428
1285,0.881629
1286,0.881772
1287,0.884173
1288,0.884346
1289,0.885939
1290,0.886130
1291,0.892497
1292,0.887107
1293,0.887063
1294,0.905865
1295,0.886382
1296,0.886567
1297,0.892913
1298,0.888493
1299,0.882471
1300,0.903800
1301,0.893510
1302,0.881381
1303,0.886054
1304,0.876753
1305,0.882388
1306,0.895195
1307,0.877629
1308,0.865657
1309,0.873373
1310,0.882165
1311,0.864238
1312,0.881754
1313,0.856882
1314,0.866865
1315,0.856594
1316,0.983317
1317,0.978766
1318,0.975590
1319,0.971303
1320,0.967660
1321,0.963675
1322,0.959590
1323,0.955945
1324,0.951442
1325,0.948174
1326,0.943279
1327,0.940427
1328,0.935164
1329,0.932766
1330,0.927159
1331,0.946287
1332,0.919328
1333,0.917952
1334,0.956254
1335,0.910925
1336,0.904436
1337,0.928140
1338,0.897498
1339,0.896338
1340,0.941163
1341,1.016358
1342,0.893730
1343,0.882957
1344,0.932686
1345,0.938746
1346,0.872741
1347,0.870399
1348,0.904240
1349,0.864281
1350,0.861328
1351,0.895688
1352,0.860804
1353,0.852066
1354,0.854262
1355,0.887126
1356,0.847595
1357,0.839483
1358,0.838032
1359,0.878020
1360,0.833653
1361,0.826050
1362,0.825185
1363,0.867911
1364,0.818498
