type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35
Type03, L, 255, 56.226876, 256.460047, 50.498834, 256.312796, 37.801895, 254.666359, 23.702650, 239.580530, 20.393043, 221.453427, 17.021708, 203.019479, 14.915100, 185.750708, 12.009282, 167.426585, 9.581488, 150.302627, 6.559541, 131.634574, 3.688595, 114.943049, 0.976906, 96.166054, 0.000000, 78.073359, 1.588983, 60.638373, 5.902015, 42.366897, 13.306686, 25.740675, 23.422060, 8.885730, 41.040217, 0.000000, 59.583099, 2.287815, 74.214552, 16.304751, 79.577578, 34.323335, 83.407162, 52.464310, 84.232672, 71.239271, 83.756296, 89.120554, 82.041639, 107.556534, 80.279627, 125.827637, 79.472929, 144.357038, 79.737670, 161.605150, 81.158405, 180.933277, 82.635066, 198.254108, 84.450508, 215.673967, 83.521276, 233.976360, 74.914443, 251.733906, 61.588551, 255.988332, 56.080411, 256.422704
Type03, L, 260, 54.051277, 261.945648, 47.825843, 261.584743, 35.384809, 257.764819, 22.934822, 241.156761, 21.000060, 222.357052, 19.674749, 204.597589, 17.058566, 186.275721, 13.890585, 167.758008, 10.296029, 148.923534, 6.895500, 130.113029, 2.954184, 111.114284, 0.329458, 92.352089, 0.000000, 73.956472, 2.998567, 56.120231, 9.040970, 38.741468, 16.818747, 21.591620, 29.633523, 5.891842, 48.118919, 0.000000, 66.818808, 5.322090, 78.089828, 22.945010, 82.844367, 40.486421, 85.327839, 59.006116, 85.230933, 77.203425, 84.327962, 95.064802, 82.934554, 112.901865, 81.724637, 131.114392, 81.213760, 149.927323, 81.716590, 167.634455, 82.747357, 185.901796, 84.094028, 203.821037, 85.214078, 221.818490, 85.333632, 240.554590, 73.054964, 256.901764, 60.379269, 261.728762, 53.993423, 261.631196
Type03, L, 265, 51.919819, 266.575774, 46.172931, 266.471615, 32.703189, 262.464619, 20.761124, 246.492833, 18.665783, 226.842560, 16.633066, 208.829340, 14.838476, 189.528527, 12.173131, 171.191529, 9.157403, 152.866373, 6.034801, 133.594292, 3.044435, 115.289553, 0.654307, 96.884649, 0.000000, 78.492277, 2.285059, 59.714285, 7.900704, 41.468720, 15.495705, 25.042325, 26.288416, 6.491056, 45.036963, 0.000000, 65.259716, 3.520323, 77.507096, 20.325032, 81.468486, 38.770843, 85.922277, 57.413831, 87.091840, 77.340836, 87.288902, 95.821548, 86.032311, 114.485830, 83.990564, 133.624346, 82.288424, 152.292712, 82.169604, 170.892390, 82.900586, 189.293779, 84.019018, 208.723062, 83.994881, 226.570931, 83.643705, 245.692676, 71.891789, 261.978107, 57.956816, 266.591729, 52.306439, 266.015746
Type03, L, 270, 59.135858, 271.922396, 53.254447, 272.171404, 38.459037, 268.597105, 27.672336, 250.436738, 23.816880, 231.168288, 20.511218, 211.967721, 18.245952, 193.149868, 14.291929, 173.304721, 10.580379, 154.837779, 6.740774, 135.720768, 3.024399, 118.302051, 1.001248, 98.477289, 0.000000, 80.391677, 1.498385, 61.300585, 7.650461, 42.149434, 15.802274, 24.562429, 28.566511, 6.734800, 47.018341, 0.000000, 67.506741, 5.163947, 78.054083, 23.654258, 83.484654, 42.152103, 87.418360, 61.008706, 88.239669, 79.915416, 87.850303, 97.149226, 86.350098, 117.237631, 85.409748, 136.302420, 84.826451, 155.513541, 85.082161, 171.593469, 86.204229, 192.082870, 87.799531, 211.053076, 88.004463, 230.033725, 88.364380, 247.618303, 80.517959, 268.173476, 65.012013, 271.157031, 60.267198, 272.361437
Type03, L, 275, 58.215092, 277.281375, 52.148201, 277.535855, 37.276507, 273.028619, 27.102934, 255.470929, 22.915283, 235.172778, 19.762954, 215.429007, 17.683506, 196.369286, 13.982056, 176.987018, 9.793805, 156.441653, 5.947999, 139.074702, 2.496238, 119.450617, 0.324455, 101.556587, 0.000000, 81.451137, 1.835733, 62.628976, 7.023684, 43.712694, 13.681882, 25.694007, 25.955630, 7.535440, 44.909945, 0.000000, 64.787565, 6.087869, 77.359795, 23.455176, 82.521361, 42.932140, 86.973416, 61.746582, 88.971086, 79.452273, 89.431074, 100.092690, 87.838138, 118.975088, 84.910537, 137.707850, 83.268372, 158.073421, 84.694618, 176.533173, 86.827060, 197.037624, 87.555745, 215.905463, 89.437940, 235.870845, 88.976659, 254.449801, 78.809340, 272.996461, 63.874693, 277.306978, 59.078652, 277.086176
Type03, L, 280, 66.043025, 280.041311, 72.618273, 279.569922, 85.464658, 270.626404, 91.223627, 250.632105, 89.963495, 231.566834, 89.339679, 211.518613, 88.318603, 192.222186, 86.590577, 171.888115, 85.722181, 152.310853, 86.998444, 132.006164, 90.164151, 112.906497, 90.733660, 93.408289, 89.602542, 73.317178, 86.670274, 53.165277, 82.953619, 33.820560, 76.849197, 13.886334, 58.774651, 0.000000, 38.761976, 0.061960, 20.740515, 13.149174, 11.257360, 32.080594, 4.563057, 51.282595, 0.933951, 70.245983, 0.000000, 89.561192, 1.084883, 108.764873, 4.429269, 130.471448, 8.429696, 149.545289, 12.921517, 168.867040, 16.621701, 187.069192, 20.138492, 206.483915, 21.674082, 227.295727, 24.280995, 244.861663, 29.881175, 265.348710, 46.018497, 280.979705, 59.973415, 280.812956, 65.722132, 280.705532
Type04, L, 230, 54.838430, 231.329564, 50.010039, 231.353726, 37.613799, 230.236992, 24.972744, 215.991210, 22.399629, 198.870025, 19.832455, 182.818796, 17.052254, 166.189901, 13.858789, 149.847050, 10.278292, 133.675297, 6.881961, 117.402337, 3.192190, 101.686975, 0.368885, 84.705436, 0.000000, 68.700603, 2.691952, 51.731215, 7.932363, 35.765074, 15.355541, 20.125778, 27.287685, 5.942614, 43.781787, 0.000000, 60.259039, 2.625301, 75.131614, 14.114020, 80.617252, 30.891381, 82.540446, 47.163219, 81.331729, 63.997506, 79.425812, 80.615485, 77.932716, 96.610913, 77.013862, 112.982925, 76.374334, 129.370217, 78.848670, 145.904142, 80.310545, 161.649586, 81.583665, 178.432553, 82.137256, 194.643470, 81.423835, 210.921818, 72.630208, 227.504895, 60.003426, 230.358946, 55.526563, 231.384805
Type04, L, 235, 56.014082, 236.300264, 50.801754, 236.333304, 38.516115, 234.911503, 26.731724, 219.456557, 21.965208, 204.482677, 19.292420, 187.394424, 17.351730, 171.331130, 14.015845, 154.714466, 10.478238, 137.969631, 6.826715, 121.453051, 3.446130, 104.931892, 0.749845, 88.117947, 0.000000, 71.479271, 1.888729, 55.036930, 6.447926, 38.682419, 13.423906, 22.701542, 24.713460, 7.806742, 41.018262, 0.000000, 58.462604, 2.093532, 72.691145, 14.574005, 79.180590, 30.797570, 82.132817, 46.639588, 82.985083, 63.691105, 81.822572, 80.447984, 79.775745, 97.292742, 77.748319, 114.636066, 77.156575, 131.499384, 78.331514, 148.709901, 80.038709, 164.875016, 82.159223, 181.857226, 82.917351, 199.208208, 81.655360, 215.700425, 73.225938, 232.470105, 60.597432, 235.981533, 56.595220, 236.170345
Type04, L, 240, 58.959550, 240.962259, 53.350625, 240.399089, 41.115792, 237.523993, 28.591234, 223.263973, 24.303782, 205.653943, 21.259684, 188.302194, 18.835484, 171.740709, 15.170911, 154.842781, 12.180135, 138.732247, 8.347670, 121.112764, 5.275333, 104.695147, 1.900174, 87.687998, 0.000000, 70.984662, 1.996899, 54.237223, 8.106782, 37.599836, 14.753874, 21.243504, 26.411122, 6.358517, 43.790520, 0.000000, 60.808239, 1.248777, 75.091931, 15.805229, 81.268407, 31.884390, 84.280430, 49.585984, 84.789173, 66.189210, 84.074847, 83.006960, 81.735176, 100.026908, 79.568423, 117.197073, 79.130477, 133.865641, 80.411340, 150.859054, 82.736247, 167.881013, 83.068365, 183.896916, 84.456645, 201.830360, 84.889097, 217.408171, 75.432502, 234.218495, 65.401493, 240.733010, 58.676395, 240.595099
Type04, L, 245, 58.512980, 246.351525, 53.083279, 246.355718, 39.888241, 243.882288, 28.288217, 228.626531, 24.652498, 211.682838, 22.162517, 194.277656, 19.853906, 176.980214, 16.206479, 159.950396, 12.334793, 142.585471, 8.088844, 125.509501, 4.361549, 108.939291, 0.731764, 91.205599, 0.000000, 73.703895, 2.421420, 56.573139, 7.920878, 39.830731, 13.657789, 22.568051, 25.390840, 7.039412, 42.867794, 0.000000, 59.991527, 2.689408, 75.468175, 16.186583, 80.482277, 33.246351, 86.633892, 49.575760, 86.304540, 67.243481, 84.164692, 84.870862, 81.013830, 102.437268, 79.839609, 118.751938, 80.175503, 137.345101, 81.418711, 153.658480, 83.256468, 172.294462, 85.122427, 189.709291, 86.230924, 207.213519, 86.503255, 224.151473, 76.208008, 241.453649, 63.812966, 245.351427, 58.997469, 246.255101
