type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28
Type03, L, 255, 55.963525, 257.800051, 49.407973, 258.192292, 30.955772, 253.730613, 20.716227, 230.823064, 17.780627, 207.463572, 14.237008, 184.796983, 11.024189, 162.142499, 7.491788, 138.992217, 3.615683, 116.976339, 0.272324, 93.111982, 0.000000, 70.503460, 4.554754, 47.460001, 13.262949, 25.510375, 28.237915, 4.963845, 53.513459, 0.000000, 73.939160, 15.810185, 80.684949, 39.473127, 84.245423, 62.812583, 83.948525, 86.499838, 81.902050, 109.404177, 79.656133, 133.577099, 79.263347, 155.894265, 80.786302, 179.996100, 82.845485, 202.663424, 84.969289, 224.642979, 79.624446, 249.445514, 63.511522, 257.867601, 55.728865, 257.521915
Type03, L, 260, 54.244877, 261.509728, 46.922234, 261.362663, 29.547456, 254.334218, 20.981537, 229.924634, 20.726226, 207.081230, 16.987338, 183.758537, 12.827652, 159.838717, 8.348167, 135.789565, 3.397545, 111.455527, 0.000000, 87.511752, 1.046264, 64.052689, 7.851123, 42.000430, 17.437494, 19.354479, 35.415783, 1.056552, 61.697381, 0.000000, 78.596601, 20.613956, 84.018322, 43.938491, 86.104101, 67.350047, 84.880773, 90.530407, 83.234474, 113.045964, 81.695947, 136.880987, 81.562341, 160.243099, 83.124043, 183.252876, 84.205079, 206.311461, 86.993138, 229.536428, 79.993466, 253.280497, 61.661906, 261.427858, 54.867494, 261.208642
Type03, L, 265, 51.749674, 267.058695, 44.738658, 266.923672, 26.327150, 260.337711, 18.673888, 235.715414, 17.167833, 212.221961, 14.387222, 187.689474, 11.018241, 164.556388, 6.897316, 140.221897, 3.038543, 116.328604, 0.000000, 93.157981, 0.243299, 69.043729, 6.328773, 45.631143, 15.687140, 23.542646, 31.067643, 1.994855, 59.288353, 0.000000, 77.604045, 18.580484, 82.311404, 43.110723, 87.141591, 67.300732, 87.178978, 92.196552, 86.111983, 115.532538, 83.095677, 140.267144, 81.732893, 163.878333, 82.879272, 187.610695, 83.722693, 212.069261, 84.714939, 235.281590, 78.525039, 259.379601, 59.030704, 267.193505, 52.558240, 266.508734
Type03, L, 270, 59.420778, 271.685334, 51.552325, 272.627368, 33.011840, 264.810240, 25.350331, 239.194433, 21.242566, 215.114528, 18.156964, 190.464491, 12.958091, 165.778282, 8.329606, 141.610045, 3.186806, 118.771320, 0.882599, 93.929002, 0.000000, 70.568649, 6.053261, 45.760593, 16.647259, 22.533402, 33.774363, 1.537464, 61.869212, 0.000000, 78.685120, 21.475947, 84.632539, 45.934547, 88.812398, 70.098566, 88.227906, 92.984274, 86.630968, 117.266390, 85.318743, 143.210967, 84.990800, 164.714327, 86.289148, 188.890307, 88.176397, 214.773246, 88.622647, 236.862295, 86.475029, 263.121356, 67.284128, 272.395584, 60.211105, 271.246784
Type03, L, 275, 58.326383, 276.249087, 50.082505, 276.950588, 31.945037, 268.493927, 24.485727, 243.280376, 20.114406, 217.274277, 17.557127, 193.504902, 12.312006, 167.432876, 7.186562, 143.439191, 2.503473, 119.727275, 0.000000, 95.763228, 0.234286, 70.470844, 5.700499, 46.654034, 13.914997, 22.965640, 31.404857, 0.860460, 58.866685, 0.000000, 77.571886, 20.364141, 83.552676, 46.444600, 88.588739, 68.670522, 89.622871, 94.254605, 88.054268, 118.722627, 83.804977, 143.281479, 83.648642, 168.327918, 86.895721, 193.263522, 87.647902, 218.493079, 90.507094, 242.963978, 84.685153, 267.718411, 65.843795, 277.191736, 58.850793, 275.656824
Type03, L, 280, 66.160453, 283.533961, 74.841709, 283.091231, 90.087721, 268.646913, 90.900841, 243.445728, 89.457445, 218.434378, 88.442715, 193.177898, 86.002136, 167.668225, 86.181829, 141.999195, 90.345162, 117.044915, 91.095761, 92.429367, 88.402457, 66.027691, 84.197559, 41.479290, 76.882669, 15.278666, 51.847633, 0.000000, 25.850793, 9.949428, 11.313766, 34.111753, 3.630100, 58.585610, 0.000000, 83.066413, 0.628190, 107.431305, 4.537854, 134.764793, 10.081749, 159.387423, 15.445661, 183.382957, 19.941695, 207.415861, 22.309044, 233.982905, 25.341269, 256.620487, 39.191729, 283.232450, 58.992007, 284.813956, 65.531599, 284.044390
Type04, L, 230, 55.031746, 231.499001, 49.356062, 232.080754, 31.595116, 228.458231, 22.915733, 206.355269, 20.922287, 185.675654, 16.910273, 164.479260, 12.811168, 143.605071, 8.261849, 122.880049, 3.618696, 102.459018, 0.000000, 81.231188, 0.972827, 60.099917, 6.941933, 39.128326, 15.741758, 18.878623, 33.018148, 1.963937, 54.776511, 0.000000, 75.253691, 12.527011, 82.050683, 34.622206, 82.778706, 55.289471, 79.978274, 77.095842, 78.369659, 97.493832, 76.598215, 118.420546, 77.836693, 139.705613, 80.827987, 159.919010, 81.816715, 181.487782, 82.978489, 201.637044, 77.989360, 224.170728, 61.874281, 231.386480, 55.713240, 231.029809
Type04, L, 235, 55.854836, 237.348032, 49.174225, 238.566086, 33.115667, 232.796552, 22.985763, 212.233992, 19.527592, 191.687459, 16.939757, 170.426537, 12.473226, 149.372698, 7.848253, 127.879041, 3.331905, 106.918997, 0.000000, 85.315623, 0.133844, 64.131463, 5.035277, 43.244251, 13.435994, 22.427502, 29.537252, 4.349689, 52.353669, 0.000000, 72.471448, 14.152794, 80.147666, 35.280812, 82.852992, 55.851982, 82.258895, 77.788925, 79.503016, 99.208195, 76.993033, 121.268107, 77.451784, 143.218793, 79.682209, 164.125644, 82.323972, 185.978367, 82.948416, 207.606666, 77.907813, 229.751776, 62.075753, 238.118028, 56.219895, 236.849847
Type04, L, 240, 59.190663, 242.807654, 52.327614, 242.294663, 35.746397, 237.136686, 25.494433, 215.229269, 22.253066, 192.947980, 18.583056, 171.382504, 14.364220, 150.449775, 9.900076, 128.686401, 5.595573, 107.019041, 1.461284, 85.683733, 0.000000, 63.958608, 7.151243, 43.062087, 15.074040, 21.153772, 32.190682, 4.378649, 55.515983, 0.000000, 75.119450, 15.473577, 82.860128, 37.549766, 85.135779, 59.510886, 84.898839, 80.714554, 81.896774, 102.652551, 79.354237, 124.415530, 79.718879, 145.881556, 83.144883, 167.691660, 83.091148, 188.666495, 86.258104, 210.864354, 80.675146, 231.156342, 66.845383, 243.168142, 59.412108, 242.098722
Type04, L, 245, 58.447335, 247.071543, 51.555481, 247.707122, 34.149413, 241.800581, 25.421393, 219.900024, 22.643533, 197.989093, 19.472456, 175.698170, 14.709489, 153.933105, 9.418045, 131.617668, 4.342079, 110.512933, 0.000000, 87.825083, 0.279178, 65.403553, 6.797290, 44.239369, 13.545147, 21.636755, 30.928672, 3.284092, 54.201972, 0.000000, 74.939769, 15.165437, 82.138257, 37.593488, 87.781527, 58.389562, 84.573665, 81.874653, 80.877458, 103.528621, 79.577234, 125.680403, 80.707121, 148.045529, 83.098919, 170.499704, 85.114039, 193.786126, 87.315817, 215.086248, 82.152642, 238.392185, 64.802500, 246.799841, 59.233163, 246.569064
