type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27
Type03, L, 270, 59.174673, 274.610252, 50.780990, 275.693765, 31.885571, 266.914356, 24.640039, 240.015963, 20.603121, 215.064376, 17.122858, 189.282372, 11.691765, 163.542176, 6.694644, 138.918798, 1.920852, 114.496603, 0.000000, 89.138034, 0.838979, 64.090992, 9.975974, 39.146402, 22.456113, 14.543579, 47.085561, 0.000000, 73.579601, 12.619290, 81.832456, 39.224682, 87.765203, 63.773397, 88.351166, 88.594714, 86.884377, 112.591388, 85.226757, 140.062919, 84.690595, 163.343453, 85.607148, 187.316417, 87.821971, 214.840995, 88.240954, 237.839736, 86.978269, 264.994454, 67.562772, 275.575447, 59.774192, 274.061535
Type03, L, 275, 58.743376, 279.615727, 49.943946, 280.341894, 31.538662, 271.141204, 24.398758, 244.354009, 20.149397, 217.624255, 17.290740, 192.737926, 11.526162, 165.413392, 6.321459, 141.087996, 1.840133, 116.044935, 0.000000, 90.920261, 1.995567, 64.459573, 9.130817, 40.611491, 20.327478, 14.745143, 45.136057, 0.000000, 71.941216, 12.543490, 81.824799, 39.274050, 87.452849, 63.867060, 90.045739, 88.548158, 89.286383, 115.490009, 85.165962, 140.081800, 83.393502, 166.740429, 86.982934, 192.280890, 87.826985, 218.847823, 90.758906, 244.221340, 86.128219, 270.233034, 66.598417, 280.639461, 59.184301, 279.004514
Type03, L, 280, 66.089527, 281.901136, 75.248874, 281.376430, 90.695622, 265.962639, 90.616689, 239.707660, 89.349924, 213.684401, 88.083774, 187.255082, 85.461366, 160.753969, 87.100173, 133.895758, 90.967818, 108.440921, 90.716076, 81.985507, 86.388171, 55.033943, 82.942387, 29.075509, 67.263174, 3.541514, 37.550667, 0.000000, 16.321143, 20.885974, 6.412848, 46.809319, 0.588055, 72.317508, 0.000000, 97.396337, 2.974913, 125.093408, 8.662313, 151.910421, 14.309223, 176.790091, 19.302132, 201.425746, 22.071599, 229.347752, 24.666996, 252.863080, 37.914167, 280.878097, 58.623538, 283.502111, 65.492648, 282.222628
Type04, L, 230, 55.459708, 232.589123, 49.528733, 233.356154, 30.927712, 228.978387, 23.163206, 205.617168, 20.931048, 184.219900, 16.695612, 162.083242, 12.294518, 140.360792, 7.573953, 118.965060, 2.709738, 97.375036, 0.000000, 75.429065, 3.244930, 53.083630, 10.353388, 32.029915, 22.899995, 10.733080, 43.998828, 0.000000, 67.532374, 5.818669, 81.355561, 26.433998, 83.266473, 48.656487, 81.579048, 70.975194, 79.025172, 92.771951, 77.515556, 114.165941, 77.483982, 136.511494, 81.036947, 157.620935, 82.077548, 179.919834, 83.447380, 201.066328, 79.231176, 224.389703, 62.697105, 232.718920, 56.069644, 232.017569
Type04, L, 235, 56.413220, 237.714350, 49.378753, 239.147223, 32.769866, 232.458515, 23.011470, 210.988421, 19.806416, 189.384816, 16.881478, 167.405407, 12.023131, 145.228201, 7.251437, 123.089648, 2.675112, 101.025270, 0.000000, 78.631568, 1.999756, 56.612670, 8.467221, 35.068910, 20.067796, 13.482489, 40.986939, 0.000000, 65.254001, 5.894903, 78.864782, 27.092948, 82.625174, 48.260637, 83.494064, 70.970810, 80.900075, 93.290151, 77.952652, 116.146300, 77.612954, 139.110608, 79.807058, 161.080105, 82.608030, 183.556548, 83.626526, 206.257668, 79.192322, 229.275958, 63.041644, 238.682502, 56.663177, 237.171592
Type04, L, 240, 59.156527, 242.902538, 51.964091, 242.442194, 34.747878, 236.688195, 24.989560, 213.371358, 21.876895, 190.366750, 17.808219, 167.920315, 13.490592, 146.187791, 8.648708, 123.248472, 4.485579, 100.959843, 0.000000, 78.536295, 1.910209, 56.150869, 10.254182, 34.167683, 21.075778, 12.189834, 43.796297, 0.000000, 67.357947, 6.043554, 81.060651, 28.709717, 84.433912, 51.285202, 85.394338, 73.866738, 82.851446, 96.202862, 79.724554, 119.248886, 79.173256, 141.373496, 82.718020, 164.330693, 83.049573, 186.005010, 85.945658, 209.236927, 81.677194, 230.410242, 66.942356, 243.243190, 59.499601, 242.239792
Type04, L, 245, 59.325554, 247.891370, 52.052611, 248.682593, 34.071182, 241.938899, 25.926019, 218.926617, 23.200937, 196.013033, 19.663792, 172.963003, 14.477384, 150.074314, 8.979621, 127.158299, 3.790524, 104.948335, 0.000000, 81.022885, 3.278085, 58.235478, 10.036133, 35.967486, 20.662309, 12.537421, 43.102538, 0.000000, 67.975276, 6.770573, 80.863955, 29.430857, 87.158225, 51.160234, 87.320743, 74.831063, 82.426534, 98.337376, 80.518959, 120.693550, 81.158752, 144.457778, 83.546175, 167.353771, 85.754147, 191.934862, 88.081769, 214.055889, 84.003516, 238.389544, 65.974962, 247.752818, 60.069644, 247.348412
Type04, L, 250, 62.644603, 252.925352, 55.344399, 253.764936, 37.602628, 245.967966, 26.747637, 222.552111, 25.185597, 197.572226, 20.631791, 173.438318, 14.916618, 150.694951, 8.617203, 127.600421, 3.445234, 104.592448, 0.000000, 79.963915, 4.233540, 56.348517, 11.731591, 33.496939, 24.641886, 10.406596, 48.326025, 0.000000, 72.470947, 7.963362, 86.360754, 31.291957, 91.171845, 54.144638, 90.919927, 78.299883, 87.411615, 101.014065, 84.424956, 125.213915, 84.051534, 148.683042, 87.971264, 173.814841, 89.234682, 195.351410, 91.964501, 219.560871, 87.677160, 243.537219, 69.942601, 253.808842, 62.763044, 252.153554
Type04, L, 260, 59.860282, 263.381235, 51.952866, 263.744748, 33.913686, 254.788484, 27.315006, 229.300535, 23.836865, 205.737872, 19.966390, 180.717709, 14.557154, 156.912925, 8.887822, 132.679854, 3.432795, 108.380165, 0.000000, 84.240019, 4.324210, 59.795435, 11.795779, 36.213253, 23.988679, 11.928311, 48.346970, 0.000000, 73.628137, 9.007295, 85.626711, 34.184972, 91.088478, 57.099132, 90.331800, 82.204808, 85.891271, 105.900352, 83.040987, 130.238927, 83.645313, 155.076938, 86.337683, 180.417164, 89.238459, 204.445955, 91.875286, 230.154034, 85.863057, 254.892098, 67.104988, 264.999744, 60.376056, 262.494766
Type04, L, 265, 60.658334, 268.492469, 53.159217, 269.487211, 34.232438, 262.028530, 26.349990, 235.840749, 23.096281, 211.211005, 19.812524, 185.527188, 14.568153, 160.953443, 9.052135, 136.368511, 3.928565, 111.784084, 0.000000, 87.233327, 3.490185, 61.863999, 11.033731, 38.458852, 22.087741, 12.920144, 46.531520, 0.000000, 73.620135, 8.907613, 85.393263, 34.763822, 90.730945, 58.318287, 91.537709, 83.335932, 87.417386, 107.509581, 85.382239, 132.638011, 84.910404, 157.558620, 87.497218, 181.957079, 90.598441, 207.317864, 91.726868, 232.262273, 87.133850, 259.202855, 69.292810, 269.654753, 60.840635, 267.744491
