type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26
Type03, L, 255, 56.494582, 258.270482, 49.314837, 258.956844, 29.174331, 252.964286, 20.618925, 227.109893, 17.405517, 202.040647, 13.647672, 177.489408, 10.094961, 152.583115, 6.036779, 127.962676, 1.859125, 103.225422, 0.000000, 77.646984, 3.547727, 53.076724, 12.339971, 28.800450, 27.434297, 5.845247, 55.473709, 0.000000, 76.324201, 19.282254, 82.199168, 44.994882, 85.224666, 70.696121, 83.801793, 95.844960, 81.246934, 121.547865, 79.579361, 146.849440, 80.676621, 171.822316, 82.750915, 197.807461, 85.451173, 220.843380, 81.875743, 248.230696, 64.908591, 258.534517, 56.166346, 257.968007
Type03, L, 260, 54.338471, 261.536767, 46.443241, 261.620106, 27.391898, 252.750354, 20.975021, 225.766121, 20.270006, 201.261126, 15.610984, 175.524987, 11.100521, 149.503031, 5.880517, 123.171900, 0.973256, 96.881760, 0.000000, 71.127256, 6.102223, 46.792600, 15.865397, 22.424799, 34.083970, 1.009661, 63.307371, 0.000000, 80.108204, 23.851781, 84.946604, 48.981034, 86.163573, 74.657660, 84.332537, 99.349691, 82.550816, 124.332450, 81.386632, 150.408068, 82.696687, 175.192395, 83.931538, 200.501987, 86.802193, 225.337679, 82.489399, 251.759712, 62.367255, 261.582187, 55.039268, 261.247141
Type03, L, 265, 52.334268, 267.410942, 44.541089, 267.487469, 24.789657, 259.139090, 18.950187, 231.800094, 17.115492, 206.385461, 13.912622, 179.796457, 9.815839, 154.676225, 5.393128, 127.872077, 1.489649, 102.678853, 0.000000, 76.919530, 4.978100, 50.768189, 14.882785, 27.026851, 30.050347, 2.554967, 61.574367, 0.000000, 79.383520, 22.278110, 84.051635, 48.493312, 88.260988, 75.555441, 87.482922, 101.625187, 85.397671, 127.695805, 82.354670, 154.244986, 82.932812, 179.473196, 84.155233, 206.312538, 85.180684, 231.481866, 81.260302, 258.075223, 60.413989, 267.779247, 53.011420, 266.819625
Type03, L, 270, 59.769988, 271.848713, 50.767502, 273.092927, 31.589361, 263.205107, 24.742835, 234.991718, 20.793838, 209.056919, 16.767306, 182.048589, 11.218752, 155.235168, 5.719186, 130.060702, 1.743648, 103.861162, 0.000000, 77.921606, 4.119684, 51.308022, 15.338743, 25.763798, 32.479710, 1.826259, 63.772690, 0.000000, 80.184914, 25.066994, 86.167680, 51.317392, 89.411997, 77.562123, 87.862637, 102.092128, 86.149923, 130.246710, 85.237355, 156.040004, 85.787757, 179.761088, 88.228555, 208.872062, 88.694576, 233.023905, 88.256920, 261.032624, 68.781425, 273.088759, 60.126274, 271.192762
Type03, L, 275, 58.844065, 276.488921, 49.407017, 277.219809, 30.808016, 267.215609, 23.959255, 238.682377, 19.878058, 211.322394, 16.525441, 184.924474, 10.353598, 156.702754, 5.032367, 131.559048, 1.019544, 105.391458, 0.000000, 78.507606, 4.467446, 51.775555, 12.877131, 26.543475, 30.212455, 1.111015, 60.969584, 0.000000, 79.408949, 24.052473, 85.216400, 51.824435, 89.856568, 76.035771, 89.880077, 104.693840, 86.533703, 130.201009, 83.021232, 157.985855, 86.557925, 184.571375, 87.762319, 212.348378, 90.553616, 238.848980, 87.308096, 266.102199, 67.066610, 277.613004, 59.188025, 275.842308
Type03, L, 280, 66.399845, 284.382995, 76.108211, 283.755570, 91.673383, 267.281560, 90.678982, 239.911898, 89.657574, 212.749238, 87.983294, 185.102151, 85.505714, 157.421994, 88.645973, 129.487974, 91.780403, 103.256812, 89.903488, 74.722582, 85.247353, 47.713309, 79.572635, 19.284093, 53.617246, 0.000000, 24.722546, 11.374300, 10.283291, 38.169939, 2.562967, 64.821282, 0.000000, 91.061615, 1.981006, 118.783445, 7.435331, 147.836077, 13.467644, 173.904111, 18.905489, 199.301950, 22.226100, 228.415869, 24.422669, 253.148486, 36.954272, 282.406800, 58.587765, 286.405997, 65.860392, 284.458745
Type04, L, 230, 55.162705, 231.821395, 48.903646, 232.808132, 29.499722, 227.529811, 22.704657, 202.882214, 20.147342, 180.687329, 15.661075, 157.516131, 10.971460, 134.944154, 6.016157, 112.684979, 1.079008, 89.978686, 0.000000, 66.925117, 5.460374, 43.999361, 14.198641, 21.810489, 31.897260, 2.498312, 56.172271, 0.000000, 77.382254, 15.471746, 82.829041, 39.622368, 82.309251, 62.242026, 79.201018, 85.690335, 77.725388, 107.647318, 76.611950, 131.035721, 80.293938, 153.201792, 81.679328, 176.259434, 83.077979, 198.504681, 79.794608, 222.651153, 62.816531, 232.204297, 55.692416, 231.159452
Type04, L, 235, 56.456219, 237.700005, 49.018450, 239.334192, 31.859217, 231.673200, 22.531745, 209.173292, 19.560730, 186.502134, 16.177001, 163.650486, 10.972595, 140.346791, 6.042060, 117.435033, 1.516379, 94.204522, 0.000000, 70.931006, 4.124334, 48.198918, 12.436263, 25.521684, 28.870973, 4.983031, 54.180561, 0.000000, 75.066665, 17.222614, 81.613185, 40.097998, 83.727922, 62.902976, 81.924962, 86.609785, 78.580447, 110.085097, 77.362000, 134.231780, 79.359031, 157.326064, 82.329920, 180.547497, 83.738462, 204.339519, 79.974221, 228.344177, 63.542578, 238.841653, 56.572707, 237.129713
Type04, L, 240, 59.973476, 243.042243, 52.410465, 242.668129, 34.534463, 236.173671, 25.378905, 211.414895, 22.274004, 187.584804, 17.848649, 164.268765, 13.308968, 141.491352, 8.262590, 117.448068, 3.970829, 94.424358, 0.000000, 70.735205, 6.009635, 47.926063, 14.459628, 24.184009, 31.553730, 4.681945, 57.618181, 0.000000, 77.864054, 18.380045, 84.466516, 42.704416, 86.236334, 66.267533, 84.754001, 89.410804, 81.179250, 113.524743, 79.610966, 136.632777, 82.984186, 160.610321, 83.914820, 183.247342, 86.387345, 207.434182, 83.565115, 229.696804, 67.931756, 243.306992, 60.419835, 242.472256
Type04, L, 245, 59.342497, 247.378217, 51.628786, 248.332919, 33.088593, 240.653247, 25.590982, 216.448161, 22.848128, 192.475773, 18.883213, 168.573328, 13.243935, 144.477339, 7.617678, 120.969539, 2.239977, 97.329879, 0.000000, 72.286506, 6.104287, 49.332193, 13.088873, 24.898624, 30.227655, 3.739017, 56.665847, 0.000000, 77.395554, 18.354467, 84.676637, 42.482891, 88.705908, 65.622175, 83.586124, 91.168176, 80.721583, 114.050623, 80.786692, 139.016388, 83.079319, 162.656651, 85.503647, 188.415232, 87.919280, 211.594833, 84.994261, 236.906735, 66.354473, 247.403791, 60.007829, 246.781648
