type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20
Type03, L, 265, 53.831703, 268.176379, 40.843198, 269.260742, 19.843943, 251.337498, 19.520080, 214.119241, 14.650594, 179.989090, 9.092632, 144.141667, 3.234550, 109.962130, 0.000000, 73.949201, 10.389563, 41.637209, 24.906562, 4.485006, 69.460456, 0.000000, 84.449472, 38.045862, 88.657035, 72.814925, 89.096221, 108.992758, 83.727428, 144.153685, 83.903855, 179.328141, 85.123314, 214.449077, 87.802673, 250.027998, 67.056438, 269.458380, 52.644728, 267.557738
Type03, L, 270, 61.261924, 271.979267, 46.771357, 274.373101, 27.141163, 253.738102, 23.472348, 216.702645, 17.507082, 180.948529, 9.788784, 144.669666, 3.426077, 111.072835, 0.000000, 74.208511, 9.289819, 40.751681, 27.716424, 2.308074, 71.073754, 0.000000, 85.756106, 40.907128, 90.525812, 73.983855, 88.733732, 109.010317, 85.967107, 146.544250, 87.075736, 178.453948, 88.911494, 216.890704, 92.289115, 250.128999, 76.347682, 274.588439, 59.444073, 271.089320
Type03, L, 275, 59.769383, 277.346801, 44.887562, 278.799113, 26.053061, 258.890371, 21.932996, 219.747475, 16.651739, 184.409028, 8.484068, 146.468463, 1.911140, 113.575602, 0.000000, 75.177979, 7.942271, 42.268900, 24.109208, 2.748763, 68.394388, 0.000000, 84.526506, 41.550985, 89.760128, 73.663322, 91.097888, 111.895226, 83.149057, 147.045867, 86.787527, 184.425716, 88.595740, 220.906799, 93.405497, 257.779401, 72.971460, 278.871417, 58.450439, 276.905498
Type03, L, 280, 67.099537, 287.474957, 82.650964, 285.308621, 94.916472, 260.175917, 90.386082, 223.660384, 89.473226, 186.552950, 85.879225, 148.357609, 94.461754, 112.462559, 89.304875, 74.318744, 87.419764, 37.741110, 62.278189, 0.000000, 19.412496, 16.423287, 6.935998, 56.419892, 0.000000, 89.871827, 4.171687, 129.016924, 12.068000, 166.356000, 20.230894, 200.848988, 23.947017, 238.379512, 28.655854, 275.116705, 55.772365, 292.740544, 67.648598, 285.851177
Type04, L, 230, 55.944878, 232.923052, 45.103656, 235.886504, 23.326416, 221.030212, 22.302004, 188.072799, 15.416758, 157.976718, 9.727604, 126.938278, 1.830118, 97.182329, 0.000000, 65.272575, 8.798997, 35.305702, 26.423777, 4.635607, 62.584490, 0.000000, 84.237510, 29.567997, 82.347340, 61.361617, 79.610397, 92.163806, 76.256718, 122.738457, 80.466351, 153.666832, 82.308010, 183.951317, 84.656792, 215.580174, 67.892195, 234.277992, 54.979915, 232.391845
Type04, L, 235, 57.294127, 238.922384, 46.068803, 241.385695, 25.637454, 225.723297, 21.167324, 194.340889, 16.624426, 163.710098, 9.549579, 132.048834, 2.784683, 101.266415, 0.000000, 69.111122, 7.614608, 39.488545, 23.730569, 7.112805, 60.938824, 0.000000, 81.999651, 31.070048, 84.183270, 61.246678, 82.313611, 93.438419, 77.188312, 125.590367, 79.964819, 157.470732, 83.464308, 188.532496, 85.229731, 221.596696, 68.628618, 240.257547, 56.233657, 238.608323
Type04, L, 240, 60.805197, 243.968766, 49.235655, 244.594501, 28.191102, 229.925970, 24.100669, 194.907379, 18.251384, 164.535402, 11.847687, 132.616519, 5.328268, 100.968471, 0.000000, 69.154103, 9.862289, 38.268181, 26.063863, 6.291674, 64.434524, 0.000000, 84.650523, 32.898530, 86.718342, 64.484737, 85.229673, 96.307911, 79.187552, 128.400629, 83.586273, 160.087279, 84.691522, 191.647890, 88.913645, 223.303067, 72.546248, 243.119041, 60.419719, 244.378323
Type04, L, 245, 59.961598, 248.300985, 47.698434, 250.136343, 26.981436, 234.065512, 24.591024, 200.220400, 18.750641, 168.393491, 11.470319, 135.539058, 3.063542, 104.372945, 0.000000, 70.219869, 9.078856, 39.779715, 23.885121, 5.170412, 63.682650, 0.000000, 83.482103, 32.681238, 89.345550, 63.779154, 82.892912, 97.765640, 79.991861, 129.391759, 83.489185, 162.770200, 86.019328, 196.214855, 90.465972, 228.851685, 71.434304, 248.948403, 59.099218, 247.628779
Type04, L, 250, 62.480911, 252.277433, 51.339545, 253.529752, 27.881470, 237.167498, 25.664404, 200.964774, 19.256514, 167.354887, 10.703729, 135.218315, 1.935325, 102.674549, 0.000000, 67.736690, 9.781185, 35.819605, 28.331902, 2.312291, 67.688730, 0.000000, 88.555200, 33.365425, 91.711585, 66.154364, 87.736708, 99.492051, 82.377562, 132.357948, 86.924481, 167.652265, 89.247555, 198.748053, 93.484629, 233.478416, 75.015646, 253.345616, 61.341701, 251.695930
Type04, L, 260, 60.044880, 262.422754, 46.427493, 263.690742, 27.485801, 243.776460, 25.008754, 208.776916, 18.252414, 174.486642, 11.049875, 140.371596, 1.923091, 106.396220, 0.000000, 71.594981, 10.062985, 38.606656, 27.294739, 2.928345, 69.157163, 0.000000, 87.656830, 36.402223, 91.986905, 69.154550, 85.713160, 104.197588, 81.851934, 137.684940, 85.461067, 174.009106, 89.324544, 207.844516, 93.073674, 244.794763, 71.849761, 264.419845, 59.090186, 262.033121
