type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21
Type03, L, 260, 56.056122, 267.963595, 44.932537, 268.972954, 23.102633, 252.304849, 23.092083, 218.343215, 18.144385, 186.885371, 12.022254, 153.022168, 5.473908, 119.693598, 0.000000, 85.930963, 7.302713, 54.855599, 18.514944, 23.278421, 50.251997, 0.000000, 81.591978, 23.499251, 86.580962, 57.652520, 87.753930, 89.398627, 84.491420, 121.129212, 82.876520, 154.018643, 84.371423, 186.293328, 86.340961, 217.775186, 89.606800, 251.498105, 67.479892, 268.683086, 55.901499, 267.641746
Type03, L, 265, 53.877251, 273.327502, 42.136239, 274.354942, 20.924163, 258.357332, 19.732315, 223.371413, 15.779986, 190.668483, 10.449612, 157.556776, 5.234092, 124.117595, 0.000000, 91.703083, 6.148381, 58.471348, 16.367981, 26.965245, 46.094772, 0.000000, 81.093259, 21.547569, 85.068722, 56.519045, 90.433285, 90.351282, 87.465631, 123.654052, 83.604618, 157.318067, 84.338918, 190.202768, 85.595676, 223.583149, 87.229532, 257.047492, 65.898207, 274.625738, 53.146967, 272.644492
Type03, L, 270, 60.907020, 278.423838, 47.609564, 280.644319, 27.811319, 262.395053, 23.583980, 226.982666, 18.361256, 193.560041, 11.277408, 158.851360, 4.818195, 126.956184, 0.000000, 93.068131, 4.587487, 59.833668, 16.876537, 26.131802, 48.687652, 0.000000, 81.346031, 24.225519, 86.807942, 60.658525, 90.822926, 91.644954, 87.174160, 126.079547, 85.833704, 160.136929, 87.143202, 191.033789, 88.977534, 227.209981, 91.627872, 258.581936, 74.755158, 281.172074, 59.460332, 277.348773
Type03, L, 275, 60.262136, 283.940038, 46.461981, 285.149279, 27.625864, 267.766398, 22.759875, 230.236668, 18.379069, 197.203572, 10.750780, 161.048842, 4.300261, 129.373670, 0.000000, 94.804180, 5.328662, 61.027650, 14.549186, 27.495440, 46.208278, 0.000000, 80.342694, 24.868851, 86.224368, 60.753061, 92.277162, 92.697980, 89.264004, 128.349746, 83.688377, 161.780150, 88.109042, 197.122957, 89.418510, 231.504634, 93.489653, 266.363657, 72.059092, 285.466017, 59.417718, 283.377673
Type03, L, 280, 66.616181, 285.927451, 80.782869, 284.161796, 94.328270, 260.850519, 89.848389, 226.209790, 89.525539, 191.343843, 85.229269, 155.243770, 91.443263, 121.034320, 91.918833, 85.372627, 86.317911, 51.170263, 78.558119, 12.771218, 37.048929, 0.000000, 11.838229, 33.770285, 2.756749, 67.686008, 0.000000, 100.959482, 5.616325, 138.545992, 13.363333, 172.225841, 20.580192, 205.766133, 23.380471, 240.776964, 29.747175, 275.800173, 56.155365, 290.751663, 66.845203, 284.497191
Type04, L, 230, 56.553612, 235.314376, 46.886690, 237.904824, 25.055548, 225.236921, 23.194817, 193.774068, 17.416533, 165.519584, 11.679542, 135.945807, 4.949180, 107.981686, 0.000000, 78.175841, 5.675652, 49.295780, 17.427418, 19.988112, 44.226712, 0.000000, 76.465398, 13.671786, 85.101502, 44.692539, 82.129072, 73.923202, 79.304574, 102.961485, 77.330603, 131.985255, 81.973827, 161.030770, 83.119717, 189.728662, 84.966987, 219.714504, 67.411019, 236.628658, 56.035943, 234.669939
Type04, L, 235, 57.373668, 240.866657, 46.991309, 243.229090, 27.064270, 229.329214, 21.441348, 199.706921, 17.835194, 170.833535, 11.140254, 140.990290, 4.892850, 111.785508, 0.000000, 81.809271, 4.196201, 52.724306, 14.820271, 23.580265, 41.180629, 0.000000, 74.149298, 14.390138, 83.123823, 44.972342, 84.616328, 73.788160, 80.531306, 104.252508, 77.565221, 134.781811, 80.741434, 164.488475, 83.968375, 194.145526, 84.613799, 225.298179, 67.775442, 242.284225, 56.550081, 240.461309
Type04, L, 240, 60.478244, 246.048401, 49.845157, 246.476710, 29.178598, 233.717943, 24.035718, 200.665633, 19.266346, 171.598186, 12.693552, 141.860682, 7.455226, 111.696108, 0.000000, 81.834511, 5.291073, 52.282889, 16.567807, 22.207420, 43.992303, 0.000000, 76.788756, 14.816930, 85.370121, 47.984188, 86.828192, 76.734681, 82.906954, 107.451300, 79.330222, 137.407360, 83.917889, 167.421855, 84.652113, 197.185484, 88.286506, 227.091027, 71.103485, 245.414458, 60.459228, 246.297295
Type04, L, 245, 60.721426, 251.451858, 49.462537, 253.113269, 28.977339, 239.017733, 25.463611, 206.929252, 20.951616, 176.988071, 13.657327, 145.726955, 6.727661, 116.448547, 0.000000, 84.526653, 6.628959, 54.817991, 15.481534, 23.453622, 43.911707, 0.000000, 76.568593, 16.433579, 87.048975, 48.058201, 89.303012, 78.164861, 81.725081, 109.749820, 81.711125, 139.819996, 84.641894, 171.523546, 87.485593, 202.943786, 90.529650, 233.861917, 71.155214, 252.147646, 60.199909, 250.692710
Type04, L, 250, 63.688104, 256.438162, 53.439245, 257.651835, 30.614683, 243.066624, 26.792938, 209.144070, 22.151385, 176.996353, 13.509783, 146.429962, 6.036106, 116.200557, 0.000000, 83.291883, 7.384906, 52.574685, 18.563563, 20.520010, 49.083179, 0.000000, 81.182829, 17.596743, 91.907969, 50.680615, 92.277269, 81.296053, 87.081103, 112.794052, 84.041196, 144.219998, 88.965984, 177.355797, 90.798927, 206.365852, 94.266682, 239.840918, 74.965811, 257.371248, 62.943744, 255.901328
