type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23
Type03, L, 255, 57.059889, 260.246881, 48.223034, 261.535177, 26.018293, 252.162168, 20.265244, 221.200239, 16.114887, 193.232450, 12.059558, 164.590151, 7.569038, 136.159301, 2.702985, 107.891972, 0.000000, 78.397533, 5.495189, 50.373733, 16.045239, 22.127530, 40.642992, 0.000000, 72.802413, 12.021197, 82.129539, 42.209393, 85.758535, 71.414881, 84.184475, 100.412301, 80.948275, 130.262170, 80.113537, 158.482297, 82.189993, 188.755976, 85.222586, 215.715173, 85.066093, 246.129067, 67.152947, 261.209007, 56.401247, 259.737485
Type03, L, 260, 54.733603, 266.454375, 45.360426, 267.057818, 24.133656, 254.148248, 21.626091, 223.098292, 18.872340, 195.062343, 13.196501, 164.864481, 7.697043, 134.865126, 1.544014, 104.486131, 0.000000, 74.797152, 8.285684, 47.104535, 20.005823, 18.703229, 49.028393, 0.000000, 77.832688, 18.782370, 84.699629, 49.486004, 86.791129, 78.198786, 84.488640, 106.877878, 82.379131, 135.861965, 81.974109, 165.446310, 83.770730, 194.172743, 86.071353, 222.704832, 86.440090, 253.175400, 64.348525, 266.929583, 55.184519, 266.108775
Type03, L, 265, 53.140790, 271.750430, 43.441346, 272.449433, 22.278908, 259.942242, 19.401714, 228.522987, 16.437313, 198.826986, 12.355280, 169.290358, 7.013149, 138.974480, 2.617468, 109.716205, 0.000000, 79.837194, 7.824521, 50.713773, 18.232667, 22.002165, 45.511664, 0.000000, 78.014328, 16.956448, 83.506038, 47.990557, 89.192178, 78.536820, 88.089448, 108.693301, 85.217693, 138.930197, 82.562975, 168.725148, 84.594818, 198.706989, 85.316921, 228.448716, 85.108367, 258.737759, 63.110273, 272.754222, 53.233887, 271.059088
Type03, L, 270, 60.636244, 276.969718, 49.387029, 278.755205, 29.534154, 264.565725, 24.288768, 232.076106, 19.802540, 202.470347, 14.366893, 170.797145, 7.485565, 141.541426, 2.855934, 111.861232, 0.000000, 81.618948, 6.889617, 51.539568, 19.496433, 21.515420, 48.422685, 0.000000, 78.903177, 19.674768, 85.369937, 51.856564, 90.675220, 81.305353, 88.090189, 109.763612, 86.698342, 142.876163, 85.504953, 169.888129, 88.134006, 201.039419, 89.047776, 231.470769, 90.783041, 261.236159, 72.166500, 279.248203, 60.032001, 275.938549
Type03, L, 275, 59.486958, 282.065606, 47.685089, 282.923526, 28.785173, 269.433739, 22.986604, 235.328715, 19.094950, 205.517832, 13.551987, 173.305768, 6.455164, 143.141716, 1.806376, 113.997738, 0.000000, 82.343017, 6.499254, 52.732429, 16.533225, 22.010435, 45.606915, 0.000000, 76.974090, 19.320841, 84.569634, 52.476302, 90.330278, 80.319552, 90.555351, 112.823271, 85.332960, 142.636452, 84.242611, 174.220115, 88.269030, 205.409347, 89.564381, 236.577578, 91.259413, 267.714213, 69.261426, 283.563102, 59.368479, 281.325732
Type03, L, 280, 66.657802, 284.128101, 78.597484, 283.039381, 93.698228, 262.683619, 90.123257, 231.562989, 89.991706, 199.969804, 86.244525, 168.321444, 87.534250, 135.868318, 92.739850, 105.755888, 89.754136, 72.838333, 85.634035, 42.292715, 74.497366, 8.523106, 37.329005, 0.000000, 13.825652, 28.303527, 4.103178, 59.261555, 0.000000, 89.344552, 2.739064, 121.264920, 9.340739, 154.756157, 16.227999, 182.992536, 21.714688, 215.337612, 23.566751, 245.341927, 32.934870, 277.984996, 57.494915, 287.790642, 66.449381, 283.313648
Type04, L, 230, 55.397798, 234.120818, 47.523060, 235.987350, 26.231657, 226.923882, 22.452675, 198.288809, 18.372940, 172.968706, 12.967395, 146.204340, 7.507525, 120.751575, 1.355970, 94.835410, 0.000000, 68.041741, 6.735442, 42.231754, 18.833693, 16.041762, 43.483339, 0.000000, 72.326240, 10.166823, 83.503101, 37.284295, 82.237256, 63.683692, 79.416394, 90.284835, 76.962871, 115.908782, 77.866542, 142.478915, 81.744250, 168.225433, 82.505657, 194.321877, 82.639364, 221.401357, 64.593883, 235.217602, 55.515217, 233.333710
Type04, L, 235, 56.790489, 239.484346, 47.803211, 241.598849, 28.970428, 230.602179, 21.489465, 204.173159, 18.712082, 178.148668, 13.380219, 151.539442, 7.482071, 124.957883, 2.027266, 98.468263, 0.000000, 71.537957, 5.511518, 45.617187, 16.629875, 19.287835, 40.889671, 0.000000, 70.534798, 10.672335, 81.639343, 37.715130, 83.985214, 63.402016, 82.047760, 90.873447, 77.970546, 117.889972, 77.980843, 145.582172, 81.375259, 171.724696, 83.895328, 199.054286, 82.570443, 226.761370, 65.620868, 240.955792, 56.399358, 238.929421
Type04, L, 240, 60.387297, 244.703916, 51.339625, 244.774928, 31.494170, 235.056640, 24.741800, 205.662763, 20.835082, 178.800432, 15.497713, 152.474539, 9.875094, 125.248129, 4.692160, 98.407579, 0.000000, 71.414406, 7.880334, 44.982595, 18.593296, 17.939782, 44.461680, 0.000000, 73.559503, 10.999529, 84.623437, 40.151178, 86.553322, 66.588383, 85.104426, 93.761931, 80.330946, 120.967758, 80.993555, 148.104981, 84.396763, 174.781207, 85.410043, 201.899443, 86.939342, 228.424470, 69.463059, 244.498486, 60.825890, 244.599902
Type04, L, 245, 59.671337, 249.837196, 50.150166, 251.241316, 30.205642, 240.162648, 24.962042, 211.609711, 21.638524, 184.313299, 15.806032, 156.635973, 9.243617, 129.254100, 2.732656, 102.421082, 0.000000, 73.496787, 7.567451, 47.335067, 16.878298, 18.634150, 43.090474, 0.000000, 72.936614, 12.086414, 84.142938, 40.571514, 89.178909, 66.872398, 83.303337, 96.016300, 80.474030, 122.793369, 81.667107, 150.887531, 84.766357, 179.381156, 87.305695, 207.373587, 88.072446, 235.430693, 68.329520, 250.456819, 59.811651, 249.028663
