CTRL_Count,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
40,PCA-KRR,8.23793,7.56452,2.39349,0.6922,4.81856,0.59484,1.29719,229.00444,0.96761,0.98348,0
41,PCA-KRR,8.02086,7.36224,2.37044,0.68157,4.68457,0.54998,1.19233,229.90911,0.96846,0.98392,0
42,PCA-KRR,7.9601,7.22493,2.4613,0.67243,10.44934,0.56062,1.32529,266.72596,0.96692,0.98306,0
43,PCA-KRR,7.78091,7.05505,2.45613,0.67772,10.38213,0.54967,1.18116,276.31308,0.96743,0.98333,0
44,PCA-KRR,7.65417,6.9407,2.42447,0.66727,10.39601,0.52737,1.33125,259.82852,0.96767,0.98345,0
45,PCA-KRR,7.49567,6.87513,2.41324,0.66197,4.80114,0.53048,1.19431,266.99366,0.96854,0.98391,0
46,PCA-KRR,7.37827,6.7707,2.39757,0.66137,4.9008,0.52268,1.33056,255.38856,0.96801,0.98363,0
47,PCA-KRR,7.22108,6.62451,2.39218,0.65583,4.73878,0.5125,1.20025,260.89333,0.96852,0.9839,0
48,PCA-KRR,7.11852,6.53692,2.36672,0.64909,4.81418,0.51122,1.33691,249.77826,0.96908,0.98419,0
49,PCA-KRR,6.97816,6.4037,2.40137,0.66105,4.73873,0.50607,1.22989,259.61555,0.96895,0.98413,0
50,PCA-KRR,6.87814,6.316,2.34708,0.64341,4.76529,0.50193,1.33743,245.05527,0.96914,0.98423,0
20,Proposed Method,15.95885,14.83583,4.91174,1.21352,9.81843,1.67231,1.06282,531.35978,0.95102,0.97482,0
21,Proposed Method,15.01983,13.95147,4.42791,1.11118,8.9415,1.5807,0.54103,502.00706,0.95553,0.97721,0
22,Proposed Method,14.42243,13.38513,4.13979,1.03731,8.72535,1.34189,0.92878,488.78133,0.95732,0.97814,0
23,Proposed Method,13.67359,12.65758,3.69885,1.00251,7.90119,1.30676,0.50157,443.55626,0.95836,0.97868,0
24,Proposed Method,13.17735,12.19264,3.4624,0.939,7.61744,1.21349,0.90357,433.53404,0.9596,0.97932,0
25,Proposed Method,12.63611,11.66511,3.19658,0.87871,6.86479,1.13545,0.45183,403.65225,0.96134,0.98023,0
26,Proposed Method,12.20168,11.26149,3.00762,0.86417,6.48265,1.03827,0.84547,380.72407,0.96194,0.98053,0
27,Proposed Method,11.77843,10.85053,2.83741,0.81645,6.04679,1.0367,0.40136,364.89771,0.96271,0.98093,0
28,Proposed Method,11.39927,10.50099,2.67887,0.80016,5.62032,0.95903,0.7736,345.73786,0.96336,0.98128,0
29,Proposed Method,11.05698,10.16688,2.54992,0.76286,5.30517,0.87303,0.37663,332.79506,0.96461,0.98191,0
30,Proposed Method,10.70138,9.83999,2.44522,0.74833,4.91417,0.89942,0.67115,315.39491,0.96512,0.98218,0
31,Proposed Method,10.42868,9.57536,2.36928,0.7241,4.60235,0.82229,0.37613,302.77461,0.96604,0.98266,0
32,Proposed Method,10.09752,9.27294,2.22478,0.69844,4.31489,0.79744,0.56128,302.08698,0.96707,0.98319,0
33,Proposed Method,9.85272,9.0342,2.1915,0.68554,4.11999,0.78553,0.36423,287.44927,0.96762,0.98347,0
34,Proposed Method,9.57019,8.77894,2.13346,0.66992,3.72908,0.74496,0.49457,277.74649,0.96842,0.98389,0
35,Proposed Method,9.31221,8.52704,2.03085,0.6553,3.68276,0.72398,0.3464,274.39684,0.96911,0.98424,0
36,Proposed Method,9.10978,8.34938,2.0371,0.65047,3.30204,0.71478,0.44935,259.76382,0.96957,0.98448,0
37,Proposed Method,8.85327,8.09909,1.95026,0.63524,3.20931,0.66671,0.35461,253.42086,0.97036,0.98489,0
38,Proposed Method,8.66311,7.9325,1.93506,0.62793,3.01549,0.65549,0.40445,249.72339,0.9708,0.98512,0
39,Proposed Method,8.43594,7.71316,1.88871,0.61666,2.93592,0.65502,0.3554,240.96497,0.97151,0.98548,0
40,Proposed Method,8.28192,7.58014,1.895,0.61907,2.68303,0.61688,0.36748,235.25832,0.97138,0.98542,0
41,Proposed Method,8.06242,7.36669,1.8332,0.60535,2.68586,0.6119,0.3633,234.65029,0.97222,0.98585,0
42,Proposed Method,8.05605,7.35277,1.95108,0.6046,2.90551,0.61023,0.35613,278.57669,0.96958,0.9844,0
43,Proposed Method,7.85135,7.14638,1.93521,0.60279,2.8632,0.59153,0.32811,272.97615,0.96991,0.98458,0
44,Proposed Method,7.7326,7.05599,1.9289,0.59321,2.76946,0.58841,0.35344,270.42365,0.97038,0.98483,0
45,Proposed Method,7.54456,6.86978,1.86845,0.58558,2.67906,0.57724,0.28665,266.99528,0.97111,0.98521,0
46,Proposed Method,7.41664,6.76474,1.90543,0.59206,2.58321,0.56421,0.36318,261.05953,0.97049,0.9849,0
47,Proposed Method,7.25487,6.60477,1.85201,0.57668,2.54652,0.55842,0.26376,262.04837,0.97119,0.98525,0
48,Proposed Method,7.12944,6.50128,1.85637,0.57838,2.47292,0.55211,0.36696,259.87563,0.97148,0.98541,0
49,Proposed Method,6.98797,6.3585,1.844,0.58121,2.44211,0.54928,0.25476,258.70507,0.9712,0.98526,0
50,Proposed Method,6.8713,6.26071,1.82772,0.57053,2.37087,0.53311,0.36131,258.09292,0.97139,0.98537,0
