type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20
Type04, L, 245, 57.998099, 245.000000, 32.484512, 233.078296, 23.420298, 206.657900, 19.518591, 179.104778, 13.941851, 151.396156, 7.517665, 124.113221, 1.537977, 96.802502, 0.000000, 68.732283, 6.131471, 41.446038, 17.795271, 14.870344, 42.006655, 0.000000, 68.181008, 9.388083, 81.141571, 34.758036, 85.463544, 62.062415, 82.277667, 90.224709, 79.473327, 117.576263, 80.305060, 145.592524, 83.011045, 173.953596, 85.336045, 202.326018, 81.420408, 229.526876
Type04, L, 250, 60.772872, 250.000000, 34.853459, 237.213116, 24.588564, 209.697251, 20.467632, 180.075824, 13.965499, 152.059591, 6.985388, 124.456238, 1.092799, 96.436318, 0.000000, 67.551738, 7.221598, 39.503624, 20.952538, 12.919571, 46.306099, 0.000000, 72.593232, 11.029892, 86.059975, 37.337044, 88.993837, 65.499950, 86.339390, 93.431380, 83.042393, 121.832003, 83.405527, 150.625224, 86.548194, 179.378490, 88.854130, 207.008905, 84.802605, 234.940336
Type04, L, 260, 57.840022, 260.000000, 32.329835, 244.993449, 23.948290, 216.327696, 19.431299, 187.139352, 13.584702, 158.119708, 6.862375, 129.073725, 0.840291, 99.969731, 0.000000, 70.691708, 7.142472, 41.935774, 20.486640, 14.315407, 46.468297, 0.000000, 73.050461, 12.059349, 85.437110, 39.571233, 88.393661, 68.436753, 84.869378, 97.509284, 81.508214, 126.787307, 82.348505, 156.761450, 85.429572, 186.387534, 88.441468, 216.374045, 83.188796, 245.523681
Type04, L, 265, 59.090192, 265.000000, 32.585501, 251.734857, 23.413095, 222.263717, 19.510912, 192.069646, 13.936366, 162.337385, 7.386274, 132.547397, 1.533000, 103.046041, 0.000000, 73.486959, 6.550092, 43.927877, 19.255261, 15.376609, 45.258525, 0.000000, 73.165922, 11.826434, 85.325958, 40.171018, 89.602527, 69.481092, 86.747637, 98.954440, 84.030558, 128.835975, 83.948906, 158.717510, 87.102288, 188.488211, 89.337879, 218.725492, 84.470070, 249.096851
Type04, L, 270, 61.271646, 270.000000, 33.476609, 256.720341, 24.213547, 227.498633, 19.121220, 196.937103, 13.398811, 166.595682, 7.009508, 136.399642, 0.558284, 105.565966, 0.000000, 75.513606, 5.807032, 45.096254, 19.713992, 16.365099, 46.618751, 0.000000, 74.724742, 11.429317, 87.231843, 39.960167, 89.883691, 70.301588, 86.115275, 100.758633, 83.385777, 130.646273, 83.742569, 161.036790, 87.345724, 191.256295, 90.159886, 221.990540, 85.696562, 251.771993
Type04, L, 280, 63.556061, 280.000000, 34.859841, 266.276862, 24.501206, 235.637059, 19.741833, 203.721646, 13.774156, 172.265729, 7.247448, 141.662193, 1.544230, 110.758555, 0.000000, 78.282139, 6.846588, 47.227606, 19.996343, 17.280064, 47.495061, 0.000000, 76.718678, 11.519717, 90.561306, 41.180261, 93.346722, 72.152794, 90.712484, 103.399929, 87.492908, 134.677537, 87.072963, 166.419003, 90.175680, 198.133909, 93.232152, 229.670007, 89.592631, 261.469455
Type05, L, 240, 54.538092, 240.000000, 30.664444, 227.170807, 22.200405, 200.686786, 18.781669, 172.893688, 14.916110, 145.218182, 6.351578, 119.334250, 0.000000, 92.688486, 1.828745, 65.193576, 9.820242, 38.426505, 23.942183, 13.398165, 48.246747, 0.000000, 71.022887, 12.954564, 80.216450, 38.840180, 82.549696, 65.235202, 76.605347, 92.164014, 70.414496, 118.950286, 71.923297, 145.698155, 77.446541, 172.343918, 82.563397, 199.003208, 77.674089, 225.837623
Type05, L, 260, 56.731367, 260.000000, 33.187850, 243.671994, 25.103630, 215.622120, 21.435630, 185.701447, 16.915681, 156.645182, 8.084220, 128.006410, 0.141828, 99.427811, 0.000000, 70.320486, 7.510757, 41.874041, 20.712478, 14.063994, 46.207555, 0.000000, 71.401769, 13.989769, 81.409512, 42.376298, 85.682192, 71.811515, 81.834997, 101.237167, 75.420393, 129.550181, 74.743577, 158.746849, 80.133056, 187.560437, 85.380708, 216.080289, 81.663306, 244.570565
Type05, L, 280, 62.967543, 280.000000, 88.428645, 261.243537, 90.430018, 230.285762, 84.822257, 199.337656, 79.052035, 168.653602, 79.766503, 136.675313, 87.149442, 105.936596, 91.458011, 74.928368, 85.976301, 43.049262, 75.867709, 13.044422, 47.649946, 0.000000, 20.810011, 18.355368, 7.174948, 48.291307, 0.000000, 79.307294, 0.865533, 111.305905, 9.088099, 141.213175, 17.919159, 172.344712, 23.225142, 204.134850, 26.768071, 233.991152, 35.938462, 264.222851
Type05, L, 290, 66.806283, 290.000000, 38.753428, 274.529063, 28.138455, 243.089839, 23.391904, 210.791592, 18.509100, 177.929176, 9.423962, 145.856273, 0.723012, 113.589148, 0.000000, 80.850120, 7.519322, 49.249120, 21.445452, 18.392494, 49.400490, 0.000000, 78.519073, 13.318563, 90.376465, 44.200808, 95.993992, 76.733507, 92.232027, 108.692930, 83.842786, 140.652352, 82.712541, 174.737648, 88.785839, 206.937610, 95.292944, 238.957884, 93.268512, 271.397431
Type06, L, 230, 50.956837, 230.000000, 28.456452, 216.246975, 20.410504, 191.333800, 16.939330, 165.405221, 11.524298, 139.706691, 5.093780, 114.158072, 0.277694, 88.597192, 0.000000, 62.266027, 6.109267, 36.394961, 18.529741, 11.947168, 42.110452, 0.000000, 65.119227, 12.582776, 75.015536, 37.040890, 79.142771, 62.657053, 77.943386, 88.187010, 74.977362, 114.399186, 74.005433, 140.327765, 76.643526, 166.486394, 79.003924, 192.069899, 74.321103, 217.882338
Type06, L, 240, 53.520632, 240.000000, 29.796075, 226.108630, 21.352063, 199.763256, 16.716418, 173.428476, 11.659350, 146.802765, 5.338016, 121.049849, 0.000000, 94.075020, 0.033022, 68.092723, 5.591554, 41.818454, 16.820976, 16.120201, 39.382517, 0.000000, 64.876055, 9.178074, 76.883075, 34.670608, 80.853123, 61.397460, 79.814306, 88.453463, 76.558385, 116.386676, 75.599610, 143.799786, 77.963126, 171.150941, 80.913082, 198.765818, 75.942703, 225.584953
Type06, L, 250, 54.393897, 250.000000, 30.255190, 235.609810, 20.344730, 209.049190, 16.530093, 180.624471, 11.161345, 152.258274, 4.944900, 125.179544, 0.141283, 97.047432, 0.000000, 69.442011, 5.808460, 41.450653, 19.075487, 15.185604, 43.525515, 0.000000, 68.341879, 12.888361, 79.305159, 39.443075, 83.498163, 67.866096, 82.789195, 95.862967, 79.400961, 123.720672, 79.261787, 151.951812, 81.237638, 180.160460, 83.803692, 208.909654, 79.028575, 236.083639
Type06, L, 270, 60.063108, 270.000000, 32.998259, 256.424501, 23.570865, 227.841035, 19.100215, 197.652349, 14.156444, 167.580057, 6.619476, 137.466176, 0.141993, 107.660817, 0.000000, 76.718826, 6.284213, 46.750234, 18.620406, 17.800840, 44.550534, 0.000000, 71.848541, 12.349605, 84.592577, 41.142369, 88.403746, 72.545504, 86.757823, 102.940589, 83.207994, 132.706270, 82.072048, 162.295505, 84.921958, 193.333738, 88.177754, 222.591468, 84.485932, 252.298334
Type06, L, 280, 63.048251, 280.000000, 34.387019, 266.636189, 23.878331, 236.541083, 19.977487, 204.980389, 14.965797, 173.587191, 7.577227, 142.833750, 0.358679, 111.512651, 0.000000, 80.037380, 5.993143, 48.977498, 18.018220, 19.510501, 43.985002, 0.000000, 73.321808, 11.917672, 87.062484, 41.384669, 91.355629, 71.999028, 90.783763, 103.486041, 86.780700, 135.091492, 85.494001, 166.163974, 87.894627, 197.764425, 91.212663, 229.256438, 88.310000, 260.885813
Type07, L, 250, 58.670597, 250.000000, 32.540310, 237.956126, 22.944394, 210.718003, 18.200479, 182.838976, 13.494619, 154.359103, 6.564542, 127.416370, 0.673920, 99.962969, 0.000000, 71.561819, 6.838065, 43.974434, 20.339051, 17.407413, 44.036793, 0.000000, 70.424011, 8.334727, 82.347716, 34.755129, 84.878973, 62.313704, 84.138858, 91.114029, 81.920018, 118.900651, 82.193541, 149.207158, 82.740586, 176.228060, 84.907649, 204.753128, 81.705151, 233.393227
Type07, L, 270, 60.556845, 270.000000, 33.828306, 255.980507, 23.944316, 226.374666, 20.185615, 196.768824, 14.360273, 166.266178, 7.463836, 136.442955, 0.696056, 106.625047, 0.000000, 75.750616, 8.441791, 46.198580, 22.441514, 17.720899, 48.257149, 0.000000, 76.795536, 9.904585, 86.857938, 39.197746, 89.863915, 69.469483, 88.399072, 99.698971, 87.424594, 130.112097, 87.842227, 161.217180, 89.095128, 191.976285, 89.930394, 222.216421, 85.662578, 252.690091
Type07, L, 280, 61.359769, 280.000000, 33.519110, 265.422128, 24.393279, 235.205058, 20.388381, 203.440524, 14.516736, 172.037380, 7.603155, 141.096411, 0.689575, 110.155443, 0.000000, 78.361533, 8.308623, 47.805964, 22.123558, 17.578363, 49.030704, 0.000000, 77.773577, 11.404989, 89.155183, 41.389000, 91.977053, 72.622183, 89.849633, 104.067455, 87.207984, 135.492173, 86.345044, 167.536771, 88.590810, 199.658854, 91.694866, 231.476465, 87.885342, 262.884976
