type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34
Type03, L, 255, 55.907327, 256.870273, 50.100011, 256.742774, 36.720383, 254.905973, 22.897519, 238.833766, 19.819722, 220.127150, 16.356770, 201.060608, 14.249853, 183.404205, 11.144575, 164.288746, 8.728301, 146.793806, 5.424093, 127.332672, 2.606432, 110.479818, 0.013725, 90.192214, 0.000000, 72.668354, 2.485621, 53.712942, 8.493934, 35.844997, 16.774699, 18.225921, 30.898246, 3.439786, 50.496337, 0.000000, 68.509738, 9.139646, 77.722775, 27.205072, 81.768355, 45.751132, 84.014591, 65.021594, 83.679390, 83.826442, 82.381093, 102.548782, 80.306898, 121.508125, 79.291837, 140.717675, 79.237981, 158.559006, 80.628654, 178.235529, 82.103973, 196.571123, 84.044470, 214.293686, 83.533847, 233.209913, 75.209827, 251.743015, 61.505561, 256.475542, 55.758873, 256.771354
Type03, L, 260, 54.148300, 261.253586, 47.799288, 260.881268, 34.793656, 256.815430, 22.590041, 239.211941, 21.072832, 219.948198, 19.505328, 201.544449, 16.711893, 182.652699, 13.303923, 163.401250, 9.662815, 144.012589, 6.002366, 124.509430, 2.085107, 104.956247, 0.000000, 85.632830, 0.739411, 66.937104, 5.130620, 48.514108, 12.170608, 31.088711, 21.691052, 12.871238, 38.288313, 1.047251, 58.309825, 0.000000, 74.487098, 13.635571, 81.260578, 32.590227, 84.889628, 50.978300, 85.533129, 70.182702, 84.817654, 88.609319, 83.448580, 107.014483, 82.116221, 125.630341, 81.315178, 145.051664, 81.696318, 163.544237, 82.624488, 182.218331, 84.092101, 200.871701, 85.143670, 219.311686, 85.839976, 238.698504, 73.903332, 255.864566, 60.609329, 261.058506, 54.173406, 260.922586
Type03, L, 265, 51.807133, 265.985272, 45.955532, 265.898450, 31.831995, 261.589981, 20.300831, 244.716756, 18.388839, 224.378242, 16.331127, 205.955501, 14.354163, 185.702582, 11.537475, 167.342001, 8.340664, 147.737822, 5.140908, 128.388155, 2.177632, 109.214217, 0.000000, 90.521293, 0.400998, 71.195815, 3.822392, 51.860563, 11.019219, 34.093200, 19.209943, 15.780833, 34.547842, 0.651248, 55.633179, 0.000000, 73.737376, 10.553880, 79.690859, 31.095418, 84.424679, 49.049834, 86.831073, 69.946990, 87.244293, 89.299341, 86.464296, 108.405874, 84.433339, 128.135772, 82.447506, 147.484330, 81.980717, 166.783915, 82.634700, 185.603885, 83.850035, 205.746664, 83.877607, 224.206790, 83.857387, 243.902368, 72.611360, 261.077680, 57.952510, 266.026234, 52.286685, 265.424345
Type03, L, 270, 59.119553, 271.239686, 53.060358, 271.577663, 37.713595, 267.552585, 27.279861, 248.540914, 23.444956, 228.591104, 20.189432, 208.933148, 17.744797, 189.256709, 13.472293, 169.021485, 9.774529, 149.830816, 5.671850, 130.459850, 2.217111, 112.213430, 0.582388, 91.508811, 0.000000, 73.491675, 3.327985, 52.690647, 10.927426, 34.436228, 20.524335, 15.066995, 36.976256, 1.162847, 57.915864, 0.000000, 75.042285, 13.732277, 80.998701, 34.077466, 86.497686, 52.757336, 88.052975, 72.899919, 88.186766, 90.630382, 86.742569, 110.796131, 85.597069, 130.516175, 84.885871, 151.051263, 84.939172, 167.398960, 85.941760, 188.154196, 87.652476, 207.927676, 87.991600, 227.665239, 88.449711, 245.646806, 81.285267, 267.078415, 65.152343, 270.598182, 60.274592, 271.594090
Type03, L, 275, 58.262987, 276.031608, 52.013493, 276.385592, 36.603140, 271.372362, 26.804665, 253.064879, 22.557841, 231.869981, 19.570518, 211.821739, 17.263675, 191.988471, 13.218908, 171.853452, 8.955375, 150.953672, 5.022949, 133.138997, 1.764971, 112.724260, 0.000000, 94.223886, 0.424757, 73.207399, 3.421148, 54.151163, 9.812920, 34.916090, 17.898950, 15.802550, 34.920236, 0.708044, 55.263637, 0.000000, 73.534538, 13.629726, 80.395014, 33.420473, 85.723130, 53.648026, 88.431639, 71.561601, 89.627628, 92.151489, 88.544653, 112.572998, 85.738473, 131.296236, 83.390124, 152.478151, 84.266319, 171.571425, 86.685673, 192.572049, 87.468638, 212.213842, 89.307224, 232.736281, 89.382504, 252.030594, 79.562994, 271.314950, 64.131357, 276.186372, 59.105270, 275.778394
Type03, L, 280, 65.940108, 281.834207, 72.754437, 281.406956, 85.917864, 271.794659, 91.217653, 251.234530, 89.698078, 231.409634, 89.225321, 210.868891, 87.909793, 190.746096, 86.260448, 169.902827, 85.575254, 149.546217, 87.739957, 128.751356, 90.596345, 109.168736, 90.361094, 88.793930, 88.829067, 67.885210, 84.880717, 47.448939, 81.563963, 27.304751, 69.746254, 7.737002, 48.896870, 0.000000, 28.515404, 6.982802, 14.519089, 25.419567, 7.113916, 44.757479, 1.738314, 65.048447, 0.000000, 84.148111, 0.370218, 104.577175, 3.157086, 125.526792, 7.310429, 147.131169, 11.776648, 165.817780, 15.898052, 185.808079, 19.536832, 204.616880, 21.455965, 226.824716, 23.768624, 244.795623, 29.123076, 265.868542, 45.068399, 282.689626, 59.797916, 282.666614, 65.536095, 282.483854
Type04, L, 230, 54.946147, 230.879852, 50.042791, 230.944894, 36.996597, 229.633910, 24.657974, 214.447294, 22.343745, 196.836767, 19.596619, 180.267849, 16.709247, 163.078650, 13.299118, 146.268708, 9.626857, 129.540764, 6.079740, 112.913687, 2.314735, 96.386348, 0.000000, 79.040551, 0.743145, 62.292993, 4.500535, 44.978387, 10.925128, 28.730454, 19.887834, 12.786574, 35.363002, 1.115981, 52.171375, 0.000000, 69.616641, 7.118987, 79.349213, 23.440610, 82.235812, 40.375376, 82.181036, 57.539680, 80.122819, 74.916830, 78.378294, 91.514153, 77.449081, 108.271341, 76.330026, 125.250383, 78.451313, 142.258997, 80.289195, 158.706607, 81.547271, 175.724246, 82.255986, 192.751289, 81.795091, 209.292024, 73.405954, 226.796219, 60.256860, 229.935440, 55.672640, 230.908165
Type04, L, 235, 55.787590, 236.614621, 50.437518, 236.748229, 37.650223, 234.954216, 26.008643, 218.782539, 21.385504, 203.271450, 18.851106, 185.552596, 16.686922, 169.063093, 13.114942, 151.791544, 9.428117, 134.528330, 5.708425, 117.571614, 2.306889, 100.374450, 0.000000, 83.057356, 0.112524, 65.960106, 3.086433, 49.007607, 8.847435, 32.280392, 17.444098, 15.886745, 32.039229, 3.025745, 49.756656, 0.000000, 67.091755, 8.101802, 76.979319, 24.441075, 81.063931, 40.673765, 82.710750, 57.965846, 82.179855, 75.366155, 80.168562, 92.724536, 77.982447, 110.450097, 76.851578, 128.064340, 77.815119, 145.723693, 79.501579, 162.639503, 81.703932, 179.886093, 82.736036, 197.946647, 81.686160, 214.910737, 73.641481, 232.443220, 60.508736, 236.386077, 56.386421, 236.442531
Type04, L, 240, 58.832627, 242.105409, 53.124924, 241.540061, 40.294055, 238.442172, 28.008938, 223.352450, 23.812298, 205.034570, 20.912905, 187.349573, 18.123249, 170.067466, 14.506668, 152.964704, 11.217512, 135.889481, 7.389190, 117.981676, 4.214173, 100.935877, 0.852037, 83.384499, 0.000000, 66.277505, 3.903025, 48.745080, 10.779126, 32.137834, 18.659281, 14.688804, 34.629262, 3.596571, 52.409225, 0.000000, 69.589645, 9.345276, 79.286111, 26.352121, 83.329653, 43.682233, 84.687080, 61.717149, 84.403282, 78.496245, 82.381098, 96.350605, 79.894403, 113.822462, 78.900149, 131.373151, 79.945686, 148.549218, 82.289938, 166.481763, 83.047997, 182.801593, 84.003686, 201.328569, 85.199532, 217.559677, 75.766139, 234.832301, 65.520790, 241.957586, 58.547668, 241.678591
Type04, L, 245, 58.490552, 246.491040, 52.945163, 246.543620, 39.154930, 243.774877, 27.862665, 227.680068, 24.344722, 210.190048, 21.916776, 192.145846, 19.324577, 174.396722, 15.481743, 156.760729, 11.356394, 138.803753, 7.092509, 121.393996, 3.220180, 104.085118, 0.000000, 85.587537, 0.527669, 67.765447, 4.178943, 50.183278, 10.383975, 32.903902, 17.440580, 14.918699, 33.976408, 2.525909, 51.348658, 0.000000, 69.791893, 9.133711, 78.935098, 26.332556, 84.294222, 43.337656, 87.322202, 61.004063, 84.760213, 79.322303, 81.952643, 97.707462, 79.830120, 114.423980, 80.035479, 133.474467, 81.083308, 150.532947, 82.933332, 169.433635, 84.925028, 187.645769, 86.103545, 205.697380, 86.764923, 223.161844, 76.914201, 241.217140, 63.892724, 245.564867, 59.045177, 246.334554
