type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31
Type03, L, 255, 55.895641, 257.202389, 49.834006, 257.293098, 34.038668, 254.390252, 21.661930, 235.299774, 18.856941, 214.254429, 15.395743, 193.854160, 12.765911, 173.550386, 9.590212, 153.435398, 6.421149, 132.511421, 2.975405, 113.271719, 0.117511, 91.408776, 0.000000, 71.660069, 3.264992, 50.727103, 10.604344, 31.313817, 21.102793, 11.616308, 40.424038, 0.000000, 62.463137, 3.960093, 76.442981, 22.063587, 81.156346, 42.829813, 84.171602, 63.966791, 83.739581, 84.922523, 82.165164, 105.528254, 79.975778, 126.804026, 79.121683, 147.485625, 79.825620, 167.797374, 81.501651, 189.540962, 83.522913, 208.737000, 84.423913, 229.421339, 77.208523, 250.655325, 62.367666, 257.070299, 55.717178, 256.964487
Type03, L, 260, 54.153868, 262.842922, 47.384793, 262.504539, 32.410917, 257.347120, 21.486885, 236.505679, 21.001396, 215.664158, 18.427785, 195.092956, 15.072931, 174.014848, 10.966001, 152.518280, 7.077438, 131.025581, 2.569979, 109.312804, 0.000000, 87.925229, 0.802082, 67.136470, 6.310853, 47.006893, 14.299902, 27.424866, 27.168581, 8.313183, 48.281809, 0.000000, 69.663828, 7.878470, 80.221560, 29.073029, 84.483313, 49.093877, 85.772457, 70.496100, 84.784200, 90.856823, 83.362660, 111.225917, 81.800458, 132.025418, 81.426120, 153.447914, 82.006151, 173.652888, 83.670136, 194.629219, 84.625282, 214.833955, 86.710078, 236.164402, 76.598533, 256.235086, 61.017335, 262.703236, 54.482598, 262.497389
Type03, L, 265, 51.756992, 267.550250, 45.476854, 267.416622, 29.249111, 262.233232, 19.343550, 241.843169, 17.835009, 219.952886, 15.515750, 199.014641, 12.975828, 177.074696, 9.485752, 156.711338, 5.931587, 134.483234, 2.527902, 113.654905, 0.000000, 92.614910, 0.317458, 71.529682, 4.871471, 49.805371, 13.031458, 31.047878, 23.818669, 9.455027, 44.631679, 0.000000, 68.389998, 5.766792, 78.940548, 26.830662, 83.414624, 47.345062, 87.024470, 69.917114, 87.160582, 91.628598, 86.357485, 112.714372, 83.776341, 134.560047, 82.077299, 156.057611, 82.066727, 176.897525, 83.500201, 198.761615, 83.792342, 219.899066, 84.510500, 241.127280, 75.365054, 261.555261, 58.323429, 267.587529, 52.479514, 267.018896
Type03, L, 270, 59.283004, 272.872513, 52.535150, 273.510477, 35.477388, 267.837624, 26.376980, 245.908691, 22.385062, 223.849493, 19.456106, 202.378976, 15.774808, 179.922923, 11.150592, 158.404308, 6.962751, 136.815346, 2.628399, 116.648147, 0.815408, 93.966630, 0.000000, 73.720822, 4.597251, 50.865672, 13.298400, 30.829830, 26.055733, 9.573328, 47.170995, 0.000000, 70.467296, 7.850178, 79.971022, 30.270216, 85.828076, 50.969414, 88.414044, 73.169385, 88.268535, 93.115421, 86.749894, 115.048531, 85.484924, 137.790263, 84.975742, 158.560838, 85.345305, 178.219032, 87.207817, 201.345905, 88.147118, 223.246821, 88.712151, 243.154767, 83.899945, 266.867442, 66.001684, 272.863446, 60.390134, 272.826044
Type03, L, 275, 58.226433, 278.304519, 51.214706, 278.857686, 34.274606, 272.319569, 25.673032, 251.006624, 21.261270, 227.430866, 18.726994, 205.735730, 15.268903, 183.690532, 10.344333, 160.383416, 5.959317, 139.933120, 2.003325, 118.061452, 0.000000, 97.057948, 0.244501, 74.232553, 4.435224, 52.875534, 11.356032, 31.957410, 23.284382, 10.620937, 44.809382, 0.000000, 67.823166, 8.901050, 79.348286, 29.874403, 84.654210, 52.610358, 88.513035, 72.457434, 89.561683, 95.282720, 88.308878, 117.498032, 84.864668, 138.816465, 83.082381, 161.750111, 85.519648, 183.431138, 87.186025, 206.277027, 88.465417, 228.380485, 90.206435, 250.314844, 81.844481, 271.887166, 64.841975, 278.916575, 58.946019, 277.824532
Type03, L, 280, 65.980167, 280.688090, 73.595588, 280.346841, 87.829240, 268.473514, 91.222786, 245.952746, 89.390685, 223.617492, 88.988598, 201.259026, 86.963785, 178.393314, 85.582748, 155.774939, 86.859913, 132.732230, 90.556288, 110.811093, 90.516651, 88.533433, 88.725208, 65.154500, 84.268701, 42.917645, 80.132058, 20.007495, 62.178618, 1.176431, 38.241538, 0.000000, 18.606881, 16.238861, 8.986663, 38.257283, 2.360060, 60.172386, 0.000000, 81.897471, 0.381841, 103.786168, 3.726019, 128.036155, 8.440850, 150.371300, 13.400688, 172.340277, 17.762352, 192.712653, 20.942482, 216.571747, 22.779055, 238.035552, 27.158067, 259.835440, 42.278915, 281.335162, 59.480525, 281.598580, 65.386706, 281.377450
Type04, L, 230, 54.947201, 231.766169, 49.756080, 232.002439, 34.508433, 229.876832, 23.566721, 211.454096, 21.769883, 192.423021, 18.359115, 173.852269, 15.088910, 154.922137, 10.926815, 136.435201, 7.086197, 117.939716, 2.814395, 99.731145, 0.000000, 80.578356, 0.788128, 61.976857, 5.559939, 42.837087, 12.851165, 25.143506, 25.221633, 7.676667, 43.759573, 0.000000, 63.200088, 3.687553, 78.142670, 19.072334, 81.980255, 38.455177, 82.519788, 57.100796, 79.979510, 76.517197, 78.364560, 94.748315, 77.038121, 113.446850, 76.717137, 132.212842, 79.629889, 150.963065, 81.070473, 169.053667, 82.168627, 188.511560, 82.446328, 206.308368, 75.585130, 226.481467, 60.843005, 231.074954, 55.733111, 231.612859
Type04, L, 235, 55.795331, 236.806625, 49.918592, 237.400317, 35.522932, 233.979759, 24.502843, 215.713259, 20.370925, 198.038483, 18.115981, 178.562637, 14.935915, 160.287208, 10.742044, 140.844861, 6.661845, 122.104223, 2.728765, 103.132279, 0.000000, 83.921212, 0.100025, 65.028844, 3.918687, 46.226953, 10.716104, 27.858171, 22.301878, 9.985713, 40.658803, 0.000000, 60.981978, 3.395265, 75.402694, 19.749971, 80.579086, 38.106949, 82.821691, 56.867021, 82.168701, 76.336618, 79.900911, 95.422637, 77.461351, 115.215915, 76.978143, 134.585063, 78.538882, 154.057899, 80.792172, 172.456610, 82.715410, 192.604966, 82.371294, 211.430363, 75.697859, 231.267158, 61.092022, 236.982715, 56.366149, 236.485900
Type04, L, 240, 59.004570, 241.697043, 52.877410, 241.145712, 38.168789, 237.198562, 26.785437, 219.147236, 22.963197, 198.747156, 20.132571, 179.633599, 16.328656, 160.311621, 12.703740, 141.848244, 8.507440, 121.911690, 4.864821, 103.005443, 1.162460, 83.627240, 0.000000, 64.577850, 5.372485, 45.396583, 12.606748, 26.652279, 24.031658, 8.579582, 43.810522, 0.000000, 63.607122, 3.004302, 78.014970, 21.121742, 83.018179, 40.023586, 85.016175, 60.095959, 84.586668, 78.751749, 82.270403, 98.379861, 79.556427, 117.974561, 79.226947, 136.875528, 81.157824, 156.751218, 83.421457, 175.227873, 83.304457, 194.961245, 86.218922, 213.907992, 77.805085, 232.440825, 66.284040, 241.869195, 58.875761, 241.064194
Type04, L, 245, 58.417127, 246.903863, 52.368164, 247.174666, 36.755439, 243.187228, 26.578326, 224.351454, 23.448802, 204.952784, 20.939941, 184.848024, 17.344186, 165.497101, 12.804311, 145.630289, 8.099272, 126.107275, 3.653904, 107.119175, 0.000000, 86.714994, 0.312157, 66.883931, 5.388675, 47.615007, 11.507331, 28.166727, 22.831181, 9.087179, 42.599317, 0.000000, 63.006779, 4.108267, 77.768666, 21.627600, 83.029050, 40.854212, 87.692183, 60.010317, 84.526683, 80.585809, 81.511456, 100.482536, 79.528309, 119.532483, 80.328720, 140.202833, 81.711379, 159.455095, 84.212695, 180.497791, 85.588683, 200.391437, 87.278285, 219.765548, 79.288615, 240.155238, 64.199397, 246.300875, 59.144056, 246.535693
