Type,size,GPR_RMSE,GPR_Hausdorff_max,GPR_Chamfer_mean,GPR_Length_Error,KRR_RMSE,KRR_Hausdorff_max,KRR_Chamfer_mean,KRR_Length_Error,PCA_RMSE,PCA_Hausdorff_max,PCA_Chamfer_mean,PCA_Length_Error,RATIO_CTRL_RMSE,RATIO_CTRL_Hausdorff_max,RATIO_CTRL_Chamfer_mean,RATIO_CTRL_Length_Error,RATIO_OUTLINE_RMSE,RATIO_OUTLINE_Hausdorff_max,RATIO_OUTLINE_Chamfer_mean,RATIO_OUTLINE_Length_Error,SVR_RMSE,SVR_Hausdorff_max,SVR_Chamfer_mean,SVR_Length_Error
Type02,230,5.87365,3.17480,0.47214,1.28327,4.99529,0.89435,0.30432,1.44102,5.34283,1.81631,0.55216,3.17210,0.00000,0.00000,0.00000,0.00000,8.58197,4.75855,0.26794,12.10094,5.20367,0.64487,0.16737,1.41730
Type02,250,63.10282,8.58570,2.63333,0.01736,63.45649,9.46179,3.04898,3.05989,63.16391,5.50469,1.99115,0.40539,63.67482,8.02903,3.02503,7.03369,64.87374,7.86183,3.02394,6.11950,63.16866,8.75054,2.85481,1.66284
Type02,260,6.73956,8.62997,2.35135,2.29056,6.54207,8.68792,2.34862,3.99783,5.64789,3.52896,1.31735,1.44426,4.25755,7.24354,2.85301,8.06601,10.64060,7.07114,2.87312,5.61331,6.34723,8.13737,2.26453,2.97158
Type02,270,7.66828,8.39522,2.47044,2.52321,7.73366,7.92863,2.36267,3.74852,7.06550,3.27502,1.42434,2.71603,4.89684,7.11948,3.35881,8.82973,12.32174,6.95796,3.27174,5.37572,7.41629,8.03888,2.39012,4.32465
Type03,230,4.87681,1.79301,0.26592,0.19589,4.98931,0.63604,0.18746,0.14063,4.97084,1.03372,0.39909,1.98605,0.00000,0.00000,0.00000,0.00000,8.69828,4.79225,0.21726,11.70778,4.82177,0.52503,0.15717,1.19550
Type03,235,5.85633,2.58432,0.68444,2.42027,6.03064,2.95118,0.79125,3.23576,6.18567,2.70118,0.70092,1.57849,2.31960,2.00909,0.52800,0.83791,8.73870,4.88011,0.56637,11.12439,6.17473,3.30942,0.90777,3.73093
Type03,245,5.63323,2.15579,0.88683,5.68559,6.11863,2.22937,0.89579,4.06652,6.10659,1.71836,0.74202,2.36709,1.66920,2.04148,0.63414,0.80620,10.10916,5.16312,0.70625,11.66513,6.13394,2.19612,0.88506,3.59393
Type03,250,6.38101,3.12894,1.09007,3.30129,6.51027,2.80983,1.00998,1.33756,6.83638,3.13958,1.08912,0.04808,2.63446,3.59249,1.47635,3.74311,10.85728,5.19097,1.50468,8.98273,6.29407,2.53403,0.95651,1.17913
Type03,255,6.06526,2.80764,0.96394,6.01596,6.13192,2.27499,0.81906,4.72995,6.44910,2.83015,0.99921,3.27059,3.32976,3.56310,1.75046,1.20445,9.54419,5.23612,1.80985,11.77591,6.00530,2.54468,0.80806,5.23973
Type03,260,6.81109,2.99154,1.06057,3.24664,6.56012,3.06425,0.97381,2.78316,7.05261,3.04904,0.75195,1.07058,2.87525,3.85687,1.49218,4.06017,11.10493,5.35399,1.50044,9.17471,6.12771,2.82929,1.01283,3.95714
Type03,265,7.24090,4.98096,1.64708,2.33591,7.26855,4.81764,1.52365,1.77016,7.51583,5.40527,1.57485,0.49892,3.74221,6.62468,2.39299,5.26108,11.44454,6.38605,2.39419,8.22832,7.04822,4.69068,1.49835,3.07489
Type03,270,6.27613,4.05863,1.33436,3.37678,6.52400,4.49961,1.27681,1.87411,6.65870,4.18969,1.16502,1.37233,2.51104,5.36816,1.65485,4.99202,10.35918,5.69183,1.70297,8.75189,6.64640,4.71325,1.32324,2.34756
Type03,275,6.68833,4.14095,1.27565,2.50173,7.02953,3.79968,1.27968,0.00057,7.24007,3.91280,1.17381,0.41672,3.33802,7.41300,2.26230,7.36199,11.05406,7.23002,2.33110,6.63644,7.20640,3.85225,1.32030,0.03959
Type03,280,70.69262,3.92306,1.33551,7.99968,70.90110,3.16151,1.23809,3.76066,70.89601,3.15599,1.21018,2.47066,71.96433,7.28075,2.23866,5.03347,73.62551,7.23377,2.32151,9.21947,70.92473,3.12697,1.21454,3.41679
Type04,230,5.06102,1.94840,0.29757,1.04959,5.13167,0.58054,0.16317,0.10268,5.33375,1.05888,0.40438,2.09854,0.00000,0.00000,0.00000,0.00000,8.72641,4.92054,0.21437,12.91488,4.98427,0.46545,0.15316,1.24485
Type04,235,5.17256,2.42338,0.72444,0.54555,5.52233,2.60380,0.72102,0.69547,5.71952,2.63553,0.67853,1.06531,2.13197,3.29732,0.97782,3.66749,8.64606,5.16230,0.99859,9.52815,5.51077,2.57998,0.75297,1.17251
Type04,240,4.51476,2.18785,1.11626,0.14429,5.14206,2.22204,1.11415,0.67293,5.17196,2.51682,1.05276,2.73984,1.88063,3.43163,1.20763,6.16506,8.37559,5.29021,1.19399,7.31134,5.27406,2.43888,1.16454,0.92010
Type04,245,4.99851,2.92407,1.26182,2.06057,5.59084,3.13882,1.29285,0.06571,5.64327,2.91356,1.10368,1.19214,2.20656,4.60745,1.35917,5.44257,8.82311,5.26677,1.35059,8.31459,5.61181,3.06076,1.29640,0.39689
Type04,250,6.20722,4.77153,2.26169,5.14978,6.32410,4.71941,2.19658,2.94386,6.67987,4.29983,2.06047,2.18196,1.97774,3.59584,1.12068,2.86608,9.73690,5.46619,1.15356,11.17183,6.10930,4.67003,2.13526,2.75957
Type04,260,6.74956,3.00657,1.38514,1.26198,6.37314,3.22139,1.35425,1.70823,7.08896,2.98836,1.09533,2.78916,3.35276,6.04532,2.08462,9.35640,10.73025,5.82838,2.09208,5.24303,6.05779,3.47715,1.39261,0.60543
Type04,265,6.45227,3.74486,1.45754,0.63015,6.26118,3.59730,1.34807,1.03550,6.85731,3.96435,0.97886,1.59771,3.70744,7.63995,2.40469,8.88957,10.53231,7.49765,2.47915,5.99062,6.13322,3.45726,1.34905,0.23551
Type04,270,6.13972,3.32928,1.39707,1.20222,6.28583,2.95176,1.23711,2.72083,6.76764,2.77152,0.85961,2.10586,3.79216,6.83059,2.56170,10.10086,10.42586,6.65367,2.59609,5.06008,6.39920,2.86178,1.20725,2.10013
Type04,280,5.70655,3.71813,1.27884,3.16908,6.10656,3.45491,1.27783,1.12608,6.93841,2.81012,0.80441,1.29800,4.47322,7.80147,2.93016,10.63984,10.69966,7.61112,3.01331,5.08263,6.14730,3.63846,1.29044,2.01342
Type05,240,7.59304,4.43468,0.54182,3.21718,5.65117,1.00159,0.37214,0.07902,5.50613,1.61429,0.65133,1.09254,0.00000,0.00000,0.00000,0.00000,9.01982,5.06238,0.24467,12.15295,5.41320,0.78785,0.23091,0.56604
Type05,260,7.75602,5.79048,1.85774,2.18336,6.59147,6.53649,1.84036,4.95288,5.83723,3.29011,1.44030,1.13375,3.04315,4.64518,2.10313,5.26194,10.00110,5.35361,2.09037,7.90376,6.26626,7.08662,1.77565,6.49247
Type05,280,68.19282,10.29047,2.47828,3.47980,68.29932,10.31100,2.51805,0.46189,67.35476,3.11957,1.10847,0.97354,68.45809,6.45185,2.56413,5.98000,69.73058,6.27864,2.55958,8.19844,68.20879,10.29558,2.47277,3.33849
Type06,230,4.96407,3.08572,0.44125,1.64400,4.97606,0.89837,0.24359,0.23525,4.89600,1.16319,0.41647,0.22212,0.00000,0.00000,0.00000,0.00000,8.61128,4.74842,0.24375,11.23368,4.72247,0.65605,0.15816,0.38091
Type06,240,4.14545,2.62451,0.84409,1.58949,4.33981,2.86178,0.99892,1.01921,4.50710,2.74942,0.82672,0.30727,3.27923,2.70941,1.00580,2.31905,7.60543,4.97742,0.97470,9.40305,4.70421,2.67689,0.95110,0.25381
Type06,250,4.83680,2.13793,0.74459,2.18462,5.18629,2.10430,0.71030,0.25531,5.16875,1.90690,0.65923,2.13322,2.02326,2.68274,1.35112,2.81828,9.23032,5.13107,1.30288,9.39225,5.31290,1.89970,0.66081,0.27236
Type06,270,6.64841,4.45265,1.24106,1.93497,6.43736,4.59504,1.25015,0.49507,6.44966,4.11824,1.14971,5.21932,4.30359,5.17506,2.21839,4.17729,9.72326,5.60094,2.19860,9.01007,6.63939,4.87615,1.10370,1.37481
Type06,280,6.76725,4.98932,1.34759,14.39994,8.28888,4.10944,1.24077,9.10837,6.87100,3.92034,1.23120,7.87798,5.43621,5.04324,2.27200,3.65192,9.03669,5.73993,2.27440,10.02387,9.11903,3.67944,1.20612,9.67244
Type07,250,5.91702,10.63809,0.91297,11.69618,5.80462,9.74498,0.98990,12.33355,5.66152,10.17973,0.92188,12.67775,0.00000,0.00000,0.00000,0.00000,9.45308,5.29390,0.27063,12.74958,5.83149,10.13063,0.96974,13.08383
Type07,270,5.50220,9.18368,1.50980,11.17409,6.43704,10.52799,1.56540,14.09075,6.12980,10.13753,1.27380,12.30464,1.74820,2.54315,0.81350,2.60021,10.95058,5.67837,0.81872,11.16933,6.37696,10.56777,1.56941,15.55414
Type07,280,8.14215,10.16970,1.76525,10.86337,8.78012,10.35590,1.73052,10.05359,6.29116,9.80266,1.43023,10.39439,3.14953,5.47660,1.90438,2.09334,11.67554,6.05516,1.89329,12.18619,8.43465,10.19074,1.73582,12.56015
