type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36
Type03, L, 255, 56.209220, 256.658776, 50.564190, 256.513477, 38.484568, 254.990432, 24.205421, 240.880089, 20.605048, 223.241720, 17.364414, 205.536043, 15.183411, 188.411180, 12.551711, 171.148134, 10.004614, 153.934987, 7.353430, 136.581668, 4.358877, 119.384451, 1.738594, 102.541665, 0.000000, 83.788338, 0.735848, 67.554596, 3.785115, 49.487725, 9.932360, 33.045946, 18.109967, 16.461053, 31.826575, 3.154306, 50.158826, 0.000000, 67.178081, 7.753130, 77.103048, 24.137615, 81.155256, 41.620887, 84.001640, 59.448597, 84.102605, 77.534840, 83.331047, 94.767132, 81.438849, 112.808361, 79.992577, 130.520620, 79.378532, 148.256794, 79.934024, 165.180896, 81.331970, 183.961568, 82.831791, 200.448681, 84.480147, 217.558938, 83.164945, 235.283539, 74.306845, 252.289990, 61.359656, 256.125288, 56.060796, 256.680675
Type03, L, 260, 54.277949, 261.149156, 48.168611, 260.804770, 36.254852, 257.192929, 23.623043, 241.527605, 21.269180, 223.180897, 20.116274, 206.021042, 17.703523, 188.214655, 14.725219, 170.407299, 11.244411, 152.084628, 7.985323, 133.917270, 4.198040, 115.479260, 1.164459, 97.234944, 0.000000, 79.200616, 1.786434, 61.832135, 6.579103, 44.613071, 13.549769, 28.298232, 23.085646, 11.355479, 39.114817, 1.018756, 57.669083, 0.000000, 73.385174, 11.974604, 80.548279, 29.693542, 84.414292, 46.863882, 85.627247, 64.912821, 85.237700, 82.392159, 84.108903, 99.632873, 82.807696, 117.044954, 81.706338, 134.856774, 81.496754, 152.987695, 82.059361, 170.074629, 83.195848, 187.890519, 84.402930, 205.156992, 85.596141, 222.732486, 85.104520, 240.838346, 72.597145, 256.419944, 60.468801, 260.912077, 54.148772, 260.852558
Type03, L, 265, 52.069225, 265.744935, 46.417161, 265.612642, 33.566777, 261.906827, 21.281083, 246.729958, 18.979453, 227.816187, 16.950841, 210.086377, 15.333012, 191.791961, 12.779467, 173.392951, 9.983196, 156.280046, 6.905630, 137.107700, 3.952385, 119.680376, 1.460937, 101.374378, 0.000000, 84.051676, 1.372571, 65.519815, 5.318790, 47.774228, 12.493146, 31.147678, 20.510795, 13.919284, 35.589346, 0.373325, 55.062452, 0.000000, 72.636926, 8.774743, 79.267919, 27.967054, 83.668870, 44.741401, 86.659156, 64.057496, 87.420373, 82.675468, 87.164281, 100.616030, 85.641465, 118.849281, 83.631112, 137.341703, 82.270243, 155.440933, 82.413871, 173.335087, 83.200347, 191.426876, 84.201138, 210.071742, 84.149238, 227.448916, 83.424963, 245.945789, 71.265892, 261.447898, 58.003956, 265.717813, 52.365045, 265.198005
Type03, L, 270, 58.916926, 271.133157, 53.195761, 271.306185, 38.932095, 268.124522, 27.843300, 250.787530, 23.927200, 232.150130, 20.611909, 213.419611, 18.421382, 195.311636, 14.845597, 176.002126, 11.096621, 158.004882, 7.492483, 139.453207, 3.705089, 122.262368, 1.236010, 103.894493, 0.000000, 85.251677, 0.296528, 67.911714, 4.512323, 48.405160, 12.092222, 31.540024, 21.513840, 13.310364, 37.606898, 1.093454, 56.804700, 0.000000, 73.745402, 11.978950, 79.870457, 30.944100, 85.390061, 48.626814, 87.560876, 67.245562, 88.099129, 84.808026, 87.154184, 102.315047, 85.832032, 121.555550, 84.998861, 140.524239, 84.583602, 157.922350, 85.012984, 174.452640, 86.219680, 194.165713, 87.682225, 212.644317, 87.782184, 230.762222, 88.010360, 248.100704, 79.541269, 267.694865, 64.662183, 270.299005, 60.010986, 271.622384
Type03, L, 275, 58.397375, 275.991752, 52.487569, 276.131058, 38.154756, 272.136544, 27.629343, 255.209805, 23.491246, 235.866151, 20.182554, 216.285389, 18.274472, 198.129449, 14.883721, 179.117920, 10.841736, 159.518751, 7.051078, 141.777877, 3.495965, 123.717427, 1.058260, 105.492755, 0.000000, 87.111745, 1.152422, 67.887696, 4.692857, 49.931438, 11.060856, 32.010863, 19.236573, 14.050831, 35.861789, 0.701855, 54.550972, 0.000000, 72.375565, 12.048273, 79.599933, 30.227509, 84.914918, 49.445071, 87.878159, 66.562663, 89.614304, 84.939630, 89.233732, 104.760183, 87.302976, 122.564882, 84.451559, 141.398189, 83.540254, 160.691385, 85.329670, 178.888757, 87.138678, 198.649150, 87.900079, 216.976493, 89.747805, 236.301130, 88.782105, 254.279337, 78.314108, 272.066281, 63.868364, 275.911586, 59.272683, 275.836405
Type03, L, 280, 65.862503, 281.451093, 72.211695, 280.940176, 84.757497, 272.605857, 90.906600, 253.171987, 89.948955, 234.791271, 89.162788, 215.246918, 88.404003, 196.664157, 86.644825, 176.892226, 85.679461, 157.939434, 86.186533, 138.265911, 89.254333, 119.460220, 90.626274, 100.794235, 89.897339, 81.476399, 87.840898, 61.799395, 84.018431, 42.817600, 80.429522, 23.773198, 67.694976, 6.173902, 48.231489, 0.000000, 29.112859, 6.272565, 15.457605, 23.358434, 8.086794, 41.205132, 2.541834, 60.655962, 0.177042, 78.104742, 0.000000, 97.859953, 1.667113, 115.963857, 5.407774, 138.041438, 9.214150, 154.876697, 13.691552, 174.813152, 17.011612, 191.371305, 20.375735, 211.389174, 21.623277, 230.745321, 24.516115, 248.083687, 30.361492, 267.900391, 46.627685, 282.469772, 59.858571, 282.158640, 65.624965, 282.137417
Type04, L, 230, 55.066692, 230.737694, 50.306670, 230.725698, 38.520100, 229.778039, 25.643049, 216.404168, 22.792522, 199.783843, 20.366007, 184.192431, 17.709354, 168.090733, 14.681851, 152.234535, 11.248582, 136.480368, 7.925583, 120.735351, 4.407893, 105.428830, 1.270108, 89.237515, 0.000000, 73.484014, 1.669825, 57.245064, 5.766595, 41.449167, 12.229850, 26.033566, 21.202990, 11.444830, 36.033108, 0.913767, 51.727258, 0.000000, 68.150350, 6.002776, 78.449479, 20.683136, 81.873863, 36.629588, 82.578682, 52.680487, 80.890854, 68.996853, 79.098349, 84.888878, 77.927994, 100.421458, 76.898693, 116.407863, 76.964017, 132.212976, 79.449407, 148.299988, 80.689842, 163.422297, 81.919741, 179.953618, 82.351989, 195.406598, 81.360212, 211.444152, 72.228974, 227.127209, 60.098736, 229.756717, 55.714553, 230.810156
Type04, L, 235, 56.015906, 236.450049, 50.929568, 236.410073, 39.120987, 235.278887, 27.229652, 220.559807, 22.319658, 206.032198, 19.512214, 189.602911, 17.726597, 173.894943, 14.641807, 157.896442, 11.250693, 141.674979, 7.675799, 125.537010, 4.352682, 109.651398, 1.415177, 93.317721, 0.000000, 77.162259, 0.914748, 61.124293, 4.343429, 45.264079, 10.209768, 29.558241, 18.812710, 14.372490, 32.868207, 2.756670, 49.378947, 0.000000, 65.834298, 6.867419, 76.045748, 21.677901, 80.646684, 37.050546, 82.600189, 52.971760, 82.810818, 69.382065, 81.198958, 85.747226, 79.194552, 102.037095, 77.420755, 118.995324, 77.313144, 135.203432, 78.617648, 151.902788, 80.340624, 167.469874, 82.354370, 184.149528, 82.853668, 200.838332, 81.387455, 216.893630, 72.608972, 232.921148, 60.483034, 236.057492, 56.568955, 236.361739
Type04, L, 240, 58.645920, 241.893268, 53.128314, 241.343803, 41.454444, 238.647711, 28.741779, 225.179100, 24.348486, 208.233564, 21.163222, 191.233393, 19.035265, 175.288799, 15.395965, 158.676309, 12.595639, 143.298258, 8.881138, 126.158611, 5.792103, 110.198355, 2.575863, 93.724608, 0.000000, 77.471975, 0.446121, 61.332186, 5.091154, 44.904977, 11.604740, 29.354375, 19.668446, 13.159799, 35.046041, 3.362581, 51.595984, 0.000000, 67.899396, 7.904579, 77.976716, 23.607348, 82.445291, 39.593131, 84.276665, 56.836647, 84.416153, 72.484393, 83.098669, 89.256333, 80.769984, 105.503714, 78.910154, 122.337435, 79.024840, 138.232218, 80.422246, 155.042624, 82.685168, 171.163765, 82.662349, 186.983660, 84.456309, 204.266757, 84.093831, 219.296179, 74.719788, 235.621076, 64.828272, 241.599142, 58.387552, 241.579788
Type04, L, 245, 58.727607, 246.378622, 53.397309, 246.343361, 40.779064, 244.123639, 28.910519, 229.667123, 25.152756, 213.239123, 22.587418, 196.443360, 20.506224, 179.569441, 17.079995, 163.100990, 13.409587, 146.292941, 9.277153, 129.604547, 5.575214, 113.520843, 1.932443, 96.697935, 0.000000, 79.461264, 1.523319, 62.808631, 5.609241, 46.416929, 11.514073, 30.037911, 18.909606, 13.412498, 34.777842, 2.398072, 51.064834, 0.000000, 68.247820, 7.918736, 78.467054, 23.446776, 82.941139, 39.724367, 87.647042, 55.839464, 85.651188, 73.207939, 83.521302, 90.297204, 80.615715, 106.834854, 80.064357, 123.263733, 80.567298, 140.881120, 81.935087, 156.964499, 83.751500, 175.018233, 85.489977, 191.864431, 86.534492, 208.759036, 86.395643, 225.265496, 75.742139, 241.792364, 63.930020, 245.331967, 59.142665, 246.326487
