Type,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,IoU,Dice,,,,,,,,,
Type03,260,PURE_SVR,16.42138,15.15468,6.09385,1.65098,12.2049,0.37175,0.9321,0.96486,,,,,,,,,
Type03,260,RATIO_CTRL,2.39358,2.1809,3.68467,1.4056,4.18153,2.40064,0.94645,0.97249,,,,,,,,,
Type03,265,PCA_GPR,13.48234,12.43941,12.11823,4.2781,39.90275,5.9255,0.8616,0.92566,,,,,,,,,
Type03,265,PCA_KRR,17.00095,15.89826,6.26857,2.47987,8.03543,2.0271,0.91153,0.95372,,,,,,,,,
Type03,265,PCA_LINEAR,16.31659,15.3143,5.34842,2.31759,9.59872,3.0464,0.91877,0.95766,,,,,,,,,
Type03,265,PCA_SVR,16.13215,14.75865,6.37474,2.49318,13.84931,1.85134,0.90614,0.95076,,,,,,,,,
Type03,265,PURE_GPR,15.65958,14.69898,5.55671,2.56967,8.92335,3.0842,0.91087,0.95336,,,,,,,,,
Type03,265,PURE_KRR,16.88098,15.71505,5.95968,2.59777,9.09755,1.83726,0.90691,0.95118,,,,,,,,,
Type03,265,PURE_SVR,17.21862,15.9847,5.60611,2.50498,8.44726,1.46993,0.9118,0.95386,,,,,,,,,
Type03,265,RATIO_CTRL,3.44679,3.37304,3.18177,1.57949,6.49079,0.65347,0.94198,0.97013,,,,,,,,,
Type03,270,PCA_GPR,13.55743,12.53038,15.10989,5.204,58.494,7.23879,0.83936,0.91266,,,,,,,,,
Type03,270,PCA_KRR,18.94281,17.21082,6.89012,2.32051,8.0213,1.24597,0.91885,0.95771,,,,,,,,,
Type03,270,PCA_LINEAR,17.60939,16.28952,6.49334,2.11543,12.55537,2.92139,0.92839,0.96287,,,,,,,,,
Type03,270,PCA_SVR,17.71508,15.60796,5.30471,2.54368,17.55696,1.18425,0.90679,0.95112,,,,,,,,,
Type03,270,PURE_GPR,16.73077,15.39198,6.59817,2.36953,11.58102,2.90091,0.91833,0.95742,,,,,,,,,
Type03,270,PURE_KRR,18.85477,16.98133,6.39352,2.41131,9.24683,0.9438,0.91622,0.95628,,,,,,,,,
Type03,270,PURE_SVR,19.78633,17.84125,6.05658,2.35339,7.31401,0.29192,0.9206,0.95866,,,,,,,,,
Type03,270,RATIO_CTRL,1.53755,1.41914,2.63529,1.05713,4.44644,1.02822,0.96168,0.98046,,,,,,,,,
Type03,275,PCA_GPR,13.90118,12.83242,20.75601,6.91415,71.38831,8.21885,0.79422,0.88531,,,,,,,,,
Type03,275,PCA_KRR,18.4939,17.51125,5.57352,2.40068,2.24678,0.32397,0.9177,0.95708,,,,,,,,,
Type03,275,PCA_LINEAR,17.51544,16.48402,5.72275,2.62702,9.79711,2.4051,0.9142,0.95518,,,,,,,,,
Type03,275,PCA_SVR,16.89472,15.5895,4.92681,2.41696,11.87163,0.48461,0.91293,0.95448,,,,,,,,,
Type03,275,PURE_GPR,15.81849,14.90085,5.77564,2.9142,10.06767,2.49347,0.89997,0.94735,,,,,,,,,
Type03,275,PURE_KRR,18.35254,17.28843,5.00279,2.5213,3.33047,0.00339,0.91374,0.95493,,,,,,,,,
Type03,275,PURE_SVR,19.60019,18.49194,5.10709,2.49881,0.35115,0.81334,0.91772,0.95709,,,,,,,,,
Type03,275,RATIO_CTRL,4.60677,4.56054,3.10743,1.69326,8.09902,1.89805,0.94249,0.97039,,,,,,,,,
Type03,280,PCA_GPR,14.16672,12.84303,25.21364,7.39914,85.84535,7.14252,0.77865,0.87555,,,,,,,,,
Type03,280,PCA_KRR,18.75385,17.4884,6.01604,1.85763,0.71172,2.13009,0.93197,0.96479,,,,,,,,,
Type03,280,PCA_LINEAR,17.50684,16.29943,6.43824,1.8955,8.47523,0.12365,0.93412,0.96594,,,,,,,,,
Type03,280,PCA_SVR,17.56903,16.0744,5.0704,1.72984,6.44305,1.80346,0.93436,0.96607,,,,,,,,,
Type03,280,PURE_GPR,14.93526,13.82786,6.30547,2.29821,12.7062,0.27953,0.91247,0.95423,,,,,,,,,
Type03,280,PURE_KRR,18.72794,17.37932,5.50414,2.04792,0.22046,2.41881,0.92354,0.96025,,,,,,,,,
Type03,280,PURE_SVR,20.00893,18.67111,5.5342,2.19115,3.17942,3.17434,0.92369,0.96033,,,,,,,,,
Type03,280,RATIO_CTRL,3.989,3.76475,5.82788,2.88012,9.62042,4.7232,0.90601,0.95069,,,,,,,,,
