type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24
Type03, L, 255, 56.552664, 258.717820, 48.384814, 259.787846, 26.780415, 251.707132, 20.063084, 222.556968, 16.321809, 195.593452, 12.323975, 168.578791, 8.284357, 141.197268, 3.545548, 114.643098, 0.000000, 86.515652, 1.937416, 59.387166, 10.764625, 32.856259, 25.834244, 6.697799, 57.239936, 0.000000, 78.223733, 23.425761, 83.177862, 51.574289, 85.364864, 79.760177, 82.679596, 107.104231, 80.045819, 135.728048, 79.937636, 162.357068, 82.115412, 191.428299, 85.064573, 216.649905, 83.714716, 246.212405, 66.008355, 259.388533, 56.044836, 258.302431
Type03, L, 260, 55.017217, 261.510193, 46.248963, 261.916410, 25.654138, 250.557240, 21.783970, 220.879527, 19.922775, 194.216579, 14.488721, 165.600209, 9.459015, 137.100187, 3.455078, 108.105239, 0.000000, 79.641184, 4.687470, 52.425179, 14.712019, 26.142971, 33.018770, 0.928764, 65.757181, 0.000000, 82.208868, 27.738639, 86.332494, 54.952570, 86.449879, 83.231325, 84.201804, 109.737935, 82.302332, 138.208329, 82.653358, 165.783492, 84.257964, 193.378124, 86.816189, 220.466172, 85.586433, 249.586371, 63.984709, 261.811124, 55.618201, 261.190885
Type03, L, 265, 52.625326, 267.679785, 43.677825, 268.144955, 22.879261, 257.225537, 18.991412, 227.211025, 16.521626, 199.109003, 12.728554, 170.594976, 7.881260, 142.359215, 3.253537, 113.511584, 0.000000, 86.268276, 3.107626, 56.843765, 13.577104, 31.092101, 28.447522, 3.105490, 63.797774, 0.000000, 80.829775, 26.554192, 85.549748, 55.004777, 88.756127, 84.998182, 87.038928, 112.786276, 83.778150, 142.281460, 82.397534, 170.019026, 84.268587, 199.071751, 85.065777, 227.022489, 83.647730, 256.081288, 61.839644, 268.440638, 52.979955, 267.025570
Type03, L, 270, 59.704925, 271.936562, 49.273683, 273.525709, 29.626238, 260.973554, 23.752927, 229.936235, 19.639791, 201.752770, 14.575274, 171.710687, 8.366576, 143.291598, 2.868855, 115.436636, 0.000000, 86.649897, 1.799858, 57.751019, 13.270725, 29.646370, 30.567925, 2.035811, 65.432470, 0.000000, 81.354182, 29.238321, 87.252309, 57.733509, 89.219878, 85.939026, 86.714857, 113.622949, 85.462837, 145.134839, 84.894989, 169.843743, 87.602516, 200.988725, 88.296457, 228.753550, 89.374205, 258.089838, 70.276394, 273.832707, 59.455098, 271.036758
Type03, L, 275, 59.327134, 276.918451, 48.386554, 277.683486, 29.552180, 265.628721, 23.345015, 233.338015, 19.499519, 204.599609, 14.772137, 174.356011, 7.920285, 144.941826, 2.841871, 117.223494, 0.000000, 88.052316, 3.129367, 58.200610, 11.614185, 30.882588, 28.691717, 1.716552, 63.295821, 0.000000, 81.205157, 29.009257, 86.936610, 57.750753, 90.817867, 85.880773, 89.444381, 116.275915, 84.055849, 144.943399, 85.197457, 174.956598, 88.172914, 204.786334, 90.009843, 234.313256, 90.048275, 264.011161, 68.456595, 278.310401, 59.414525, 276.176771
Type03, L, 280, 66.239011, 285.368673, 77.305610, 284.477327, 92.766953, 265.518881, 89.939210, 235.767905, 89.597268, 205.783010, 86.515269, 175.645155, 86.081487, 144.805995, 91.068579, 115.562559, 91.229846, 85.316989, 85.925787, 54.949189, 81.885124, 24.325728, 55.437643, 0.000000, 22.927647, 13.013448, 8.772569, 43.095656, 1.159136, 72.040391, 0.000000, 100.809990, 3.871399, 132.402677, 10.602888, 162.982867, 16.905792, 189.967235, 21.648703, 221.334658, 23.396157, 249.308080, 34.024118, 280.839448, 57.579194, 288.444013, 65.889607, 284.864793
Type04, L, 230, 55.885062, 232.201291, 48.676970, 233.736261, 27.891207, 226.141174, 23.119280, 198.848140, 19.636384, 174.730699, 14.570025, 149.217646, 9.340886, 124.855004, 3.685750, 100.283569, 0.000000, 75.102849, 4.339530, 49.845545, 13.089343, 25.397026, 31.004571, 3.177223, 58.455375, 0.000000, 80.093905, 19.229323, 83.936417, 45.502400, 81.860975, 70.644635, 79.253577, 95.565171, 77.188382, 120.299042, 79.343739, 145.375755, 82.363066, 170.019018, 83.308521, 194.803850, 82.314941, 220.758367, 64.477597, 233.092534, 56.195089, 231.416187
Type04, L, 235, 56.789303, 238.099198, 48.381994, 240.072832, 30.108378, 230.283769, 21.903560, 205.297067, 19.188784, 180.452621, 14.583104, 155.273698, 8.842542, 129.804347, 3.580550, 104.725185, 0.000000, 79.054386, 2.842549, 54.004326, 11.029662, 29.263344, 27.634511, 5.673646, 56.042160, 0.000000, 77.454393, 20.957471, 82.693482, 45.813018, 84.010830, 71.294953, 80.704998, 97.029689, 77.669011, 123.198797, 78.538579, 149.169148, 81.882895, 174.173696, 84.013957, 200.285830, 81.822812, 226.612644, 64.962181, 239.500511, 56.589390, 237.519323
Type04, L, 240, 59.691418, 243.263522, 51.234839, 243.166801, 31.982602, 234.685944, 24.400555, 206.930434, 20.820824, 181.123852, 15.916887, 155.994023, 10.432305, 130.331628, 5.747068, 104.524957, 0.000000, 78.942670, 3.375607, 53.585882, 12.750355, 27.904436, 29.503596, 5.009079, 58.988471, 0.000000, 79.586033, 21.973280, 84.907562, 48.816637, 85.937408, 74.102833, 83.045342, 100.101098, 79.204616, 125.894541, 81.193476, 151.824232, 83.745944, 177.040701, 85.190535, 203.084713, 85.353497, 228.070511, 68.262131, 243.241156, 60.209517, 242.988388
Type04, L, 245, 59.904342, 247.749086, 51.087585, 249.020493, 31.531010, 239.174498, 25.515314, 212.229913, 22.457812, 186.046858, 17.411631, 159.909472, 10.931105, 133.444718, 5.069096, 108.279548, 0.000000, 80.836221, 4.708269, 55.184327, 12.273130, 28.946987, 28.824150, 4.274875, 59.115828, 0.000000, 79.524307, 22.375033, 87.012363, 48.106398, 88.288641, 74.713203, 82.053544, 101.428351, 80.960561, 127.491161, 82.432288, 153.980218, 85.460830, 181.518595, 87.890111, 207.728930, 87.465139, 234.802851, 67.888912, 248.190677, 60.286197, 247.000338
Type04, L, 250, 63.052316, 251.884035, 54.693409, 253.014398, 34.248574, 242.284263, 26.411072, 214.497680, 24.289572, 185.866871, 17.813177, 159.456904, 10.801732, 133.157250, 4.473143, 107.087978, 0.000000, 78.816888, 5.629187, 52.307932, 14.324896, 25.296673, 33.768947, 2.042454, 63.780546, 0.000000, 84.599458, 22.970025, 91.509224, 50.153656, 91.441814, 77.025389, 87.416816, 103.617622, 83.878325, 130.686039, 86.107122, 158.660498, 89.385471, 185.450301, 91.429188, 210.961541, 91.202181, 239.921993, 71.772127, 252.669041, 62.991597, 251.341422
Type04, L, 260, 60.511252, 262.224063, 50.766744, 263.111336, 31.791584, 250.309124, 26.936364, 221.437176, 22.815824, 194.070779, 17.658572, 165.879388, 10.905992, 138.684671, 4.742148, 110.787907, 0.000000, 83.082519, 5.888268, 55.549101, 14.372113, 27.804437, 32.997836, 2.675026, 65.115892, 0.000000, 84.440664, 25.646880, 91.209074, 52.968251, 91.232229, 80.911031, 85.583665, 108.462064, 83.247706, 135.973632, 85.144503, 165.176961, 88.497948, 192.978442, 92.016768, 221.584110, 89.648517, 250.873874, 69.081853, 264.111006, 60.649419, 261.516927
Type04, L, 265, 61.292487, 267.436669, 51.994400, 269.103756, 31.808070, 257.869769, 25.772057, 227.669105, 22.406810, 199.395222, 17.596142, 170.334831, 10.980441, 142.504492, 5.226340, 114.413552, 0.000000, 86.140900, 4.975545, 57.704795, 13.495505, 30.078702, 30.578201, 3.087943, 64.433389, 0.000000, 84.558874, 26.008238, 90.561030, 54.324590, 92.438351, 82.188218, 87.256236, 110.122922, 85.488409, 138.978615, 85.987882, 166.938533, 90.072113, 195.547486, 92.224745, 224.002213, 90.143480, 254.580492, 71.685323, 269.203224, 60.953016, 266.639851
Type04, L, 270, 63.840014, 273.227877, 54.046373, 275.013356, 32.715459, 263.362011, 27.174565, 233.643719, 22.682563, 204.968367, 17.323653, 175.844360, 11.447114, 147.434559, 4.360742, 117.807736, 0.000000, 89.071744, 5.691517, 60.394083, 12.614984, 31.390285, 32.905974, 4.983320, 66.105469, 0.000000, 86.504764, 26.256548, 93.054792, 55.013901, 92.433528, 84.137635, 86.941491, 113.340568, 85.407251, 140.952561, 86.172522, 170.830097, 90.942436, 198.867121, 93.356623, 228.550943, 91.480451, 256.802278, 74.786518, 274.644097, 63.215206, 272.367630
Type04, L, 280, 65.696150, 283.626300, 55.038057, 285.331000, 33.989474, 273.924406, 26.629614, 242.151790, 22.719237, 212.494055, 17.433498, 182.191376, 10.621733, 152.988586, 5.248449, 124.432528, 0.000000, 93.187085, 4.734642, 63.175989, 14.025298, 33.913553, 31.784938, 5.643869, 67.033391, 0.000000, 88.959746, 27.738876, 95.640031, 56.690536, 95.475737, 86.997342, 91.639285, 116.522983, 88.429830, 146.516210, 88.962546, 176.495732, 93.002604, 206.914736, 95.852711, 236.245370, 95.069117, 268.700808, 77.238972, 283.784411, 65.160503, 283.437312
Type05, L, 240, 55.337698, 242.631006, 46.323230, 243.822347, 28.704066, 232.661967, 23.066006, 206.140086, 19.509540, 180.075211, 17.893449, 152.622286, 9.469910, 128.420001, 0.056205, 103.801278, 0.000000, 76.751208, 6.097925, 51.565476, 16.566443, 26.129914, 33.384287, 3.800804, 65.562078, 0.000000, 76.855013, 28.011954, 84.171962, 51.199473, 83.217308, 77.403454, 74.215991, 102.611754, 69.331829, 128.573330, 73.023840, 153.753412, 79.046853, 179.182414, 85.057959, 204.054254, 81.280348, 231.178654, 63.954456, 243.589851, 55.102116, 242.117017
Type05, L, 260, 59.601131, 261.701930, 49.715431, 262.808198, 33.481052, 247.774492, 27.923984, 220.433022, 24.142142, 191.728689, 21.829863, 164.416136, 12.847717, 136.266222, 3.515204, 110.279586, 0.000000, 81.186998, 5.970463, 55.029747, 15.689421, 27.363995, 32.250661, 1.423886, 65.615169, 0.000000, 80.466902, 28.119915, 87.156331, 55.014268, 89.490365, 84.216900, 82.225870, 111.553288, 75.631182, 137.886639, 77.152592, 166.483716, 83.782942, 194.070954, 89.310972, 220.459486, 87.811707, 248.907325, 69.534490, 263.393613, 59.018324, 260.998439
Type05, L, 280, 65.129441, 284.051334, 75.364970, 284.633505, 95.367295, 267.708528, 93.454798, 237.382165, 88.323937, 207.839320, 81.199384, 178.948271, 79.537238, 148.482199, 86.362789, 118.789694, 96.104507, 90.139442, 90.650385, 58.531343, 85.718173, 30.727345, 68.689414, 0.000000, 31.553061, 6.149513, 15.340533, 35.494498, 4.983205, 64.157606, 0.000000, 94.546234, 3.785017, 124.805963, 14.029470, 152.730462, 22.237439, 182.673971, 26.081237, 213.385921, 28.952167, 240.551554, 35.156105, 271.244132, 54.987102, 285.970569, 65.569322, 283.476582
Type05, L, 290, 69.333802, 293.084857, 59.150340, 295.317621, 38.100156, 280.877510, 30.913047, 249.387430, 25.768864, 219.087898, 23.246297, 187.301362, 14.697894, 157.353286, 3.797333, 126.250329, 0.000000, 96.195150, 5.747538, 64.154698, 15.374670, 35.221844, 33.480966, 4.834460, 69.737089, 0.000000, 90.129727, 29.783344, 94.958687, 59.903127, 101.146381, 91.033954, 91.698642, 121.471664, 83.328151, 150.963336, 84.657035, 185.295233, 92.542980, 214.559812, 98.673944, 245.552070, 100.001243, 277.622891, 80.201343, 293.937780, 68.444676, 292.584354
Type06, L, 230, 52.945558, 230.789869, 44.568530, 230.977696, 27.944336, 219.566794, 22.036503, 194.691470, 19.889038, 170.053963, 14.695539, 145.822175, 8.297866, 121.194279, 2.712354, 97.178595, 0.000000, 71.863181, 4.401844, 47.117014, 12.314221, 22.689709, 29.537796, 0.000000, 58.857367, 0.149007, 73.992313, 24.097523, 79.638086, 47.081663, 81.911403, 72.630887, 79.066478, 96.421703, 75.965615, 121.457059, 75.309486, 146.194908, 79.153512, 171.609432, 81.677829, 194.860993, 79.929214, 221.816780, 60.664869, 231.876658, 52.997244, 230.224964
Type06, L, 240, 54.950144, 243.701844, 45.560419, 244.064983, 29.031294, 232.844681, 22.992167, 206.028534, 18.739069, 181.956244, 14.412203, 155.079567, 8.611133, 132.079895, 1.676278, 105.775113, 0.000000, 80.653031, 3.628087, 56.423733, 11.386236, 31.172787, 25.952597, 6.656169, 55.713680, 0.000000, 74.992146, 23.926370, 80.953190, 48.485580, 82.966628, 74.670983, 80.440433, 100.402390, 76.597060, 126.967835, 76.606284, 152.976589, 79.668957, 179.112317, 83.294483, 205.321986, 80.367092, 231.523994, 63.137623, 244.972521, 54.823022, 242.933552
Type06, L, 250, 56.010483, 251.919094, 46.812982, 252.702501, 29.717429, 240.287871, 21.300718, 213.450620, 19.094858, 187.209933, 13.870027, 159.161136, 7.809488, 134.243338, 2.050447, 107.035779, 0.000000, 81.151004, 3.340883, 53.711379, 12.615460, 28.639968, 29.440833, 2.387364, 60.769633, 0.000000, 77.747046, 26.085378, 83.216741, 52.400438, 86.688838, 79.418236, 83.117537, 105.932587, 79.753033, 132.312718, 80.830756, 159.775002, 82.737782, 186.200523, 86.311868, 213.650272, 84.124452, 240.461218, 64.765402, 253.379254, 55.833816, 251.096709
Type06, L, 270, 62.220283, 273.254412, 52.841049, 275.161154, 31.735334, 262.793939, 26.005203, 234.237849, 21.493243, 205.665987, 17.998810, 177.017629, 10.749250, 148.115431, 2.846404, 120.252846, 0.000000, 90.263171, 4.859776, 61.625904, 12.893922, 33.976041, 29.678960, 5.478077, 63.607966, 0.000000, 82.997830, 28.243957, 89.680834, 55.734841, 91.263333, 87.066015, 87.881302, 115.121194, 83.945130, 143.419202, 83.630219, 171.991801, 87.544938, 201.628127, 90.991894, 228.716155, 90.308418, 258.171794, 72.001733, 274.111431, 61.944882, 272.688075
Type06, L, 280, 65.311090, 284.103821, 56.283253, 285.792863, 33.287904, 274.411559, 26.249121, 243.811542, 23.056235, 214.399703, 18.944942, 184.111213, 12.305287, 155.494445, 3.614132, 124.945185, 0.000000, 95.817854, 5.730369, 64.995035, 12.158844, 37.511156, 29.442691, 7.983838, 63.612138, 0.000000, 86.107423, 29.671779, 91.883094, 57.173499, 94.941537, 87.698585, 92.404103, 116.776351, 87.418457, 147.797266, 87.488151, 176.485475, 90.610527, 206.977781, 94.154265, 236.793125, 94.373162, 267.618750, 76.551348, 284.825175, 65.099806, 283.799000
