type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29
Type03, L, 255, 56.265849, 257.759581, 49.921595, 258.043702, 32.353617, 254.164802, 21.344145, 232.637490, 18.484422, 210.032262, 15.003885, 188.262144, 11.966157, 166.373162, 8.608481, 144.380999, 4.975917, 122.693789, 1.389541, 100.644058, 0.000000, 78.040766, 2.467501, 56.309977, 9.615452, 34.728197, 20.295031, 13.584794, 40.599916, 0.000000, 64.791508, 5.271587, 78.033676, 25.831637, 82.547388, 48.214690, 84.799073, 71.129910, 83.699050, 93.384443, 81.499670, 115.838652, 79.690479, 138.832936, 79.745416, 160.218821, 81.377252, 183.707569, 83.419601, 204.967066, 85.178051, 226.544844, 79.106954, 250.073035, 63.431157, 257.763320, 56.056432, 257.487905
Type03, L, 260, 54.151905, 263.468347, 47.040549, 263.236562, 30.501645, 256.939362, 21.024193, 233.754133, 20.805255, 211.637429, 17.475795, 189.321609, 13.577614, 166.415178, 9.253780, 143.267790, 4.655127, 119.991467, 0.590246, 96.707253, 0.000000, 74.111675, 4.660135, 52.192845, 12.896579, 31.137640, 25.609567, 10.043198, 48.335979, 0.000000, 71.276686, 9.711991, 81.248990, 32.920684, 85.198712, 54.561049, 85.662124, 77.567791, 84.335272, 99.302414, 82.598664, 121.302834, 81.458262, 144.351493, 81.632487, 166.524706, 83.266082, 188.821682, 84.282565, 210.837356, 86.917421, 233.394653, 78.743431, 255.851420, 61.350443, 263.356031, 54.689611, 263.152113
Type03, L, 265, 52.027688, 268.290564, 45.306450, 268.122078, 27.618067, 262.139913, 19.141649, 238.925714, 17.699670, 216.101777, 15.081806, 192.721894, 12.047090, 170.188225, 8.083214, 147.119335, 4.370581, 123.960391, 0.980423, 101.373208, 0.000000, 78.973212, 3.568725, 55.211724, 11.956595, 34.809300, 22.722267, 11.589409, 44.761561, 0.000000, 70.551863, 7.547370, 79.952280, 30.882372, 84.909246, 52.960227, 87.615640, 77.683903, 87.358198, 100.317461, 85.582249, 123.525669, 82.883107, 146.963320, 82.074851, 169.623433, 83.399868, 192.622371, 84.029713, 215.973232, 84.978955, 238.397637, 77.721729, 261.272333, 59.020954, 268.358775, 52.835846, 267.757363
Type03, L, 270, 59.442732, 273.657618, 52.016833, 274.484356, 33.910373, 267.483748, 25.794091, 243.141989, 21.675593, 219.800439, 18.789950, 196.277653, 13.999209, 172.442147, 9.496982, 149.006538, 4.470073, 127.028903, 1.452680, 103.399323, 0.000000, 80.826760, 2.914235, 56.946266, 11.971710, 34.626294, 24.582083, 11.808442, 47.353054, 0.000000, 72.183276, 9.971168, 81.092527, 34.390031, 87.062047, 56.845702, 88.737074, 80.344088, 87.958940, 101.965657, 86.146659, 126.343383, 85.284957, 150.485056, 85.099104, 170.844710, 86.728459, 195.012373, 88.251840, 219.343024, 88.759412, 240.665907, 85.701465, 266.029989, 66.863282, 274.126210, 60.375626, 273.338043
Type03, L, 275, 58.505409, 278.894737, 50.738237, 279.553795, 32.943439, 271.792721, 25.126016, 247.993557, 20.697756, 222.787385, 18.257850, 199.831964, 13.625815, 175.207924, 8.514018, 151.282770, 3.895906, 128.975750, 0.702658, 105.726016, 0.000000, 81.989548, 3.258930, 58.136150, 10.334776, 35.974096, 21.938493, 12.459658, 45.010610, 0.000000, 69.821591, 10.560264, 80.620059, 34.093101, 86.049219, 58.035771, 89.423285, 79.456318, 89.686590, 105.072574, 87.154264, 127.458035, 83.462220, 152.053270, 84.531574, 175.499683, 87.278272, 199.946620, 88.110287, 223.895670, 90.725364, 247.556864, 83.893380, 271.115652, 65.706914, 279.752431, 59.101934, 278.321063
Type03, L, 280, 66.174326, 281.196946, 74.446823, 280.811360, 89.409182, 267.272098, 91.109326, 243.045691, 89.508547, 218.970044, 88.711166, 194.792636, 86.476530, 170.189850, 85.665554, 145.657859, 89.360378, 121.240871, 91.133937, 97.889174, 89.871345, 72.780828, 85.373488, 48.502945, 81.760595, 24.094818, 64.650568, 2.140583, 38.064582, 0.000000, 17.651645, 18.283224, 7.893923, 42.202586, 1.544804, 65.674111, 0.000000, 89.105070, 1.448983, 113.213725, 6.060882, 139.517378, 11.318808, 162.513331, 16.416841, 185.526878, 20.420362, 209.265859, 22.511303, 234.251668, 25.996904, 256.364705, 40.352210, 281.389520, 59.263124, 282.265357, 65.537597, 281.827349
Type04, L, 230, 54.946527, 232.110951, 49.468639, 232.545083, 32.563053, 229.537766, 23.036031, 208.680814, 21.202122, 188.625411, 17.381640, 168.332367, 13.607561, 148.210021, 9.148183, 128.170118, 4.852943, 108.671862, 0.671455, 88.246657, 0.000000, 68.187551, 4.179494, 47.462257, 11.411838, 28.291665, 23.902303, 8.980420, 43.651609, 0.000000, 64.963970, 4.554391, 79.556798, 22.398066, 82.432950, 43.108655, 82.045611, 63.472552, 79.070325, 84.017109, 77.977911, 103.659446, 76.271939, 123.906788, 78.523347, 144.281422, 80.856852, 163.670947, 81.909782, 184.553306, 82.779588, 203.795457, 77.117647, 225.562315, 61.428800, 231.773289, 55.683556, 231.752357
Type04, L, 235, 56.226601, 237.179123, 49.853378, 238.179580, 34.348804, 233.267129, 23.888961, 213.521856, 20.186735, 193.996976, 17.809638, 173.362060, 13.775587, 153.359585, 9.272827, 132.493464, 4.908529, 112.473848, 1.170808, 91.685217, 0.000000, 71.288186, 3.101286, 50.950716, 9.767785, 31.149197, 21.404914, 11.502792, 40.970999, 0.000000, 63.101699, 4.422882, 77.297435, 23.104286, 81.739829, 42.691740, 83.461165, 63.364686, 81.823380, 84.061760, 79.119177, 104.988572, 77.189295, 126.076210, 78.236163, 147.185492, 80.459241, 167.095590, 82.908870, 188.401711, 83.167626, 208.998357, 77.558874, 230.351027, 62.091247, 237.740042, 56.684045, 236.738124
Type04, L, 240, 59.492780, 242.240831, 52.916071, 241.700933, 36.959936, 237.023762, 26.287242, 216.476641, 22.859736, 194.847432, 19.552069, 174.153743, 15.426485, 153.841710, 11.314840, 133.248198, 6.950256, 112.191724, 3.099160, 91.683859, 0.000000, 70.953124, 4.162213, 50.361122, 11.895670, 30.078642, 23.062512, 10.188182, 44.237962, 0.000000, 65.771811, 4.342315, 79.961682, 24.555933, 84.216455, 45.223019, 85.682599, 66.460603, 84.460912, 86.707189, 81.308319, 108.083499, 79.501365, 128.685524, 80.571804, 149.615641, 83.709264, 170.251756, 83.461073, 190.716184, 86.728800, 211.830307, 79.999740, 231.415151, 67.032435, 242.572833, 59.587023, 241.526953
Type04, L, 245, 58.957236, 247.330076, 52.391100, 247.825043, 35.577240, 242.654541, 26.316210, 221.810898, 23.448948, 200.824817, 20.558969, 179.259426, 16.224874, 158.465922, 11.129448, 136.858482, 6.241983, 116.519854, 1.607966, 95.104301, 0.000000, 73.314297, 4.523142, 52.502083, 10.891254, 31.729940, 21.940792, 10.592184, 42.940673, 0.000000, 65.494621, 5.244486, 79.352795, 25.158608, 85.231920, 45.625975, 87.908376, 66.633510, 83.750436, 89.065266, 80.763621, 109.421965, 80.275071, 131.322730, 81.570634, 152.355054, 84.034940, 174.458053, 85.811974, 196.465231, 87.886673, 217.084005, 81.690834, 239.364266, 65.081396, 246.943525, 59.747202, 246.865096
