type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30
Type03, R, 260, 34.265428, 261.327237, 27.611772, 261.596860, 10.985931, 257.723107, 0.000000, 235.920998, 1.083978, 213.853129, 3.705042, 192.244800, 5.442323, 170.626375, 6.489581, 148.662173, 5.473065, 127.675851, 2.442000, 105.248131, 0.245019, 84.175018, 1.543451, 62.341130, 4.340539, 41.006538, 10.143744, 19.330412, 26.902279, 1.200368, 50.703105, 0.000000, 68.970985, 16.267126, 77.937057, 37.351613, 83.883649, 59.443709, 86.294704, 81.247380, 84.510530, 102.906964, 81.392807, 123.894998, 77.502200, 145.864618, 73.122088, 167.185218, 69.854871, 189.250639, 67.569878, 209.878306, 63.110577, 231.352956, 56.376177, 252.581847, 41.699295, 261.890581, 34.262801, 260.721387
Type03, R, 265, 33.819443, 265.985766, 27.641864, 266.223409, 10.207594, 261.429772, 0.000000, 238.548114, 2.004946, 216.717531, 3.640667, 194.729985, 5.540655, 171.983992, 6.452624, 150.645441, 5.376319, 127.787338, 2.625942, 105.821882, 0.495487, 83.795683, 2.947300, 61.292019, 7.719739, 40.283459, 13.800447, 18.032548, 31.866837, 0.000000, 55.411356, 0.506644, 73.197164, 16.593340, 82.067750, 38.368643, 86.757337, 60.237428, 88.771975, 82.569008, 88.084183, 105.311205, 84.511874, 127.231812, 79.947278, 148.844053, 74.875385, 171.207927, 71.085661, 192.638408, 67.322534, 214.964436, 64.458289, 236.036222, 56.699194, 258.397660, 40.413517, 265.831025, 34.345195, 265.573433
Type03, R, 270, 37.348729, 271.378158, 30.111164, 271.709015, 14.100582, 267.986062, 0.000000, 246.742834, 1.185840, 224.031981, 3.732225, 201.026348, 6.448012, 179.195909, 7.515967, 155.710906, 6.104799, 134.904971, 3.189536, 111.067212, 0.825781, 89.558297, 0.905462, 67.134088, 4.861365, 43.372076, 13.279356, 23.389726, 27.954042, 1.520174, 52.541693, 0.000000, 71.698265, 17.161635, 81.825473, 38.134536, 87.559807, 60.075196, 91.473276, 83.211789, 90.804555, 106.226834, 86.925275, 128.395234, 82.701311, 150.815044, 78.783176, 173.591784, 74.713135, 196.007788, 70.757231, 218.455727, 67.634980, 240.373534, 60.452837, 262.752824, 44.592184, 271.557578, 37.512779, 270.868977
Type03, R, 275, 32.912378, 276.500022, 26.592501, 276.628784, 8.317413, 271.102767, 0.000000, 247.016457, 2.103376, 224.255368, 3.583164, 201.047663, 5.930365, 177.951356, 6.929703, 155.272873, 5.953146, 132.439289, 2.524427, 109.884074, 0.689880, 86.820765, 3.065568, 63.739490, 7.174607, 41.779450, 14.043950, 19.928899, 31.958826, 0.000000, 57.255405, 1.433669, 75.311563, 20.465840, 83.363824, 42.863387, 88.454291, 65.939681, 91.311038, 88.801095, 89.184085, 112.010050, 86.080554, 135.323389, 82.932081, 156.949622, 77.935689, 179.709235, 73.915671, 201.397624, 70.076957, 224.954400, 67.360349, 247.023414, 56.865420, 269.159455, 40.286819, 276.579284, 33.468331, 276.320237
Type03, R, 280, 36.113142, 281.133479, 43.740865, 281.304619, 60.176767, 271.848274, 66.172428, 248.260447, 70.169988, 226.165353, 73.702991, 202.173558, 77.014254, 179.312915, 81.244150, 155.982566, 85.183336, 133.015477, 88.823241, 110.247962, 89.906903, 86.676188, 88.090735, 63.546960, 82.450701, 40.332288, 73.682673, 17.477454, 54.423237, 0.000000, 28.705796, 0.887089, 12.534145, 21.897137, 8.119678, 44.492111, 1.701155, 67.198021, 1.840249, 90.322381, 3.656424, 113.293640, 7.003287, 135.877246, 8.897069, 159.025776, 6.975784, 182.521585, 4.834295, 206.237625, 3.394411, 229.778446, 0.000000, 253.230431, 10.784829, 277.017920, 28.984523, 281.742874, 35.587713, 280.915968
Type04, R, 230, 29.563017, 231.890013, 23.063805, 232.323903, 9.975436, 227.047970, 0.000000, 208.066549, 1.167598, 189.245534, 3.534221, 169.646709, 4.949942, 149.814166, 5.599488, 130.377757, 4.537081, 111.139600, 2.284319, 91.539162, 0.613809, 72.661889, 0.755165, 53.401514, 4.352770, 34.765255, 11.055203, 16.553177, 26.127630, 0.000000, 46.620333, 2.777451, 62.321439, 16.588134, 71.237050, 34.904306, 76.812460, 53.997788, 79.357125, 73.007769, 78.898047, 92.778699, 75.526258, 112.351707, 70.471631, 130.838052, 66.016830, 149.227042, 62.943148, 168.296427, 59.881064, 187.177044, 57.711267, 206.449887, 49.985534, 225.196823, 35.877114, 231.835776, 29.776680, 231.533426
Type04, R, 240, 31.487123, 240.906866, 37.923150, 240.968882, 51.857290, 233.660293, 58.594897, 212.864507, 62.648274, 193.946440, 65.002071, 173.517301, 68.830352, 153.142994, 73.903430, 133.616179, 78.595488, 115.035446, 82.011318, 93.662409, 82.315435, 73.694769, 79.555370, 54.173657, 73.047707, 34.110519, 64.367721, 15.071466, 46.874458, 0.068106, 25.945224, 0.000000, 9.835847, 17.459350, 4.744512, 36.567630, 0.970990, 57.218452, 0.945541, 76.808917, 3.734222, 96.751218, 7.791628, 117.363489, 8.100267, 136.669927, 6.526770, 156.911955, 4.786776, 177.167159, 1.380503, 197.301060, 0.000000, 217.197675, 10.269023, 236.870120, 25.690789, 241.947113, 31.318037, 240.547820
Type04, R, 250, 33.102015, 251.726923, 26.626146, 251.587506, 11.393005, 247.080435, 0.000000, 226.939829, 1.248798, 205.869113, 3.262435, 185.058185, 4.937511, 164.329711, 6.240829, 143.376359, 5.225369, 122.097606, 2.628075, 100.843338, 0.582881, 80.188201, 1.505588, 58.188321, 4.789347, 37.538264, 10.860922, 18.050451, 27.342613, 0.000000, 49.578381, 2.313515, 66.780124, 17.825838, 76.426184, 37.413078, 82.425592, 57.941210, 84.996370, 79.484301, 84.522143, 100.028641, 81.055141, 120.813740, 75.454647, 140.690197, 70.416632, 161.232583, 67.712654, 182.044040, 65.294295, 202.753983, 62.061730, 223.036535, 53.823464, 243.549907, 40.094436, 252.360612, 33.186016, 251.089701
Type04, R, 270, 32.639239, 272.274269, 26.162364, 272.591659, 9.736630, 267.879563, 0.000000, 244.388155, 1.026367, 222.784678, 3.211863, 199.373732, 6.052421, 177.209559, 7.252532, 154.827091, 6.367829, 132.281723, 3.073958, 109.650746, 0.588372, 87.563160, 1.036450, 64.385298, 6.093753, 41.506311, 14.099911, 21.049691, 29.677543, 0.000000, 54.883533, 3.072411, 72.438269, 20.302965, 81.519186, 42.264157, 87.843230, 64.374074, 90.588287, 86.985371, 89.832373, 109.467801, 85.485865, 131.778287, 78.450401, 152.552954, 74.141540, 174.884011, 70.689900, 196.944911, 66.697855, 219.778721, 64.849000, 241.861756, 55.527767, 264.249220, 40.424108, 272.398052, 32.551227, 271.789217
Type04, R, 280, 32.194997, 282.292721, 25.052137, 282.191527, 7.765552, 275.215014, 0.000000, 250.684935, 2.781861, 228.166785, 5.453388, 204.709496, 7.557745, 181.608533, 8.989405, 157.991149, 8.006433, 134.584663, 4.043266, 110.932701, 0.804297, 87.103638, 2.331611, 64.615902, 6.306908, 41.032967, 13.458156, 19.092638, 33.033903, 0.000000, 57.811131, 3.605588, 75.146362, 22.449382, 83.466993, 45.080462, 89.970362, 67.722988, 92.978619, 91.388055, 92.294759, 114.529396, 87.885083, 138.030103, 81.963131, 160.340852, 76.904010, 183.716194, 74.871275, 206.509012, 69.595420, 229.972350, 66.760095, 252.726000, 57.001147, 275.022632, 39.663725, 282.859847, 32.683882, 281.702009
Type05, R, 250, 29.492566, 252.159201, 23.230951, 252.533658, 7.237585, 247.407905, 0.000000, 224.887036, 0.618862, 203.878659, 3.300677, 182.841236, 4.407062, 161.796267, 4.183006, 140.140864, 2.692509, 119.793726, 1.386358, 98.857630, 0.325882, 77.962549, 0.551195, 57.227218, 3.955939, 36.893042, 12.165247, 17.028531, 28.637117, 0.000000, 52.115509, 3.635121, 68.197371, 19.775893, 76.345647, 40.535420, 82.404211, 60.680311, 85.448587, 81.773425, 84.155810, 102.497734, 79.161633, 123.167811, 74.294626, 143.231253, 69.713561, 163.928533, 66.791511, 184.216043, 64.141931, 205.656449, 59.727593, 225.563523, 51.922137, 246.155107, 36.453578, 253.138205, 29.653839, 251.486206
Type05, R, 270, 33.078810, 272.591884, 26.089980, 272.948649, 9.344874, 266.739592, 0.167219, 243.944505, 0.000000, 221.460632, 3.499405, 198.000224, 5.782713, 176.023427, 6.391469, 152.894849, 4.774997, 130.497207, 1.940882, 107.257652, 0.032809, 84.856328, 0.583481, 62.346511, 5.469411, 40.337567, 13.668118, 18.710554, 31.436818, 0.000000, 56.466315, 3.489083, 73.596244, 20.624698, 82.783716, 42.701944, 88.954088, 64.350665, 91.633187, 87.778971, 89.975303, 110.204855, 84.938877, 132.255435, 79.973636, 154.150121, 75.403497, 175.669625, 72.249340, 197.901993, 69.801429, 220.801601, 64.852625, 242.192816, 56.508231, 264.841181, 40.851987, 273.385242, 33.143005, 271.934311
Type05, R, 280, 35.242343, 281.806219, 43.151644, 282.506574, 59.088223, 272.427626, 67.169992, 248.918156, 70.431962, 226.610372, 74.025047, 203.121574, 76.918113, 180.085758, 81.583836, 156.936809, 87.800610, 135.320801, 92.679761, 111.302117, 93.499244, 89.057773, 90.696586, 66.935266, 83.563290, 43.364395, 73.935497, 21.070729, 56.035071, 1.793337, 29.807300, 0.000000, 12.117009, 19.823393, 5.091842, 42.679198, 0.942298, 65.423228, 0.952910, 89.210104, 3.274562, 114.540155, 6.035369, 136.698573, 7.720185, 161.127146, 5.710627, 183.711268, 3.137210, 207.106653, 1.684287, 231.079656, 0.000000, 253.529055, 10.263683, 278.076556, 28.402898, 282.470292, 34.935625, 281.583781
