type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30
Type03, L, 255, 56.182593, 257.394431, 49.999208, 257.581319, 33.321550, 254.211670, 21.597750, 233.964985, 18.780519, 212.115515, 15.327938, 191.124784, 12.480347, 169.958540, 9.250101, 149.093662, 5.834788, 127.565053, 2.280950, 107.338873, 0.000000, 84.653404, 0.979756, 64.385923, 6.199580, 42.720769, 14.782278, 22.750779, 29.542472, 4.241057, 52.541268, 0.000000, 72.323199, 13.025171, 79.901561, 34.750449, 83.797862, 56.160749, 84.421946, 78.339703, 83.085603, 99.513023, 80.755885, 121.482797, 79.479320, 143.272205, 79.866275, 164.015859, 81.559714, 186.715705, 83.582090, 206.813856, 84.934098, 227.973190, 78.238772, 250.303270, 62.991273, 257.335083, 55.990153, 257.134754
Type03, L, 260, 54.366052, 261.449480, 47.435527, 261.154271, 31.702040, 255.476773, 21.436600, 233.480431, 21.139062, 212.029062, 18.192513, 190.623280, 14.578859, 168.668835, 10.347721, 146.361293, 6.154271, 124.040618, 1.704272, 101.494606, 0.000000, 79.600270, 2.494722, 58.076426, 9.611640, 37.869285, 19.094156, 16.803778, 36.714998, 1.079909, 60.523391, 0.000000, 77.337044, 17.903237, 83.237551, 39.607693, 86.028979, 61.116375, 85.395623, 82.818809, 84.091390, 103.754720, 82.346746, 125.135387, 81.628686, 147.413895, 82.022333, 168.502925, 83.695071, 190.152072, 84.664882, 211.201002, 87.067411, 233.141599, 77.851777, 254.365143, 61.384617, 261.321297, 54.802472, 261.116328
Type03, L, 265, 52.047294, 266.670001, 45.566638, 266.508419, 28.609857, 260.976558, 19.382326, 239.191171, 17.935964, 216.872959, 15.472954, 194.727784, 12.712437, 172.533870, 8.963142, 150.852017, 5.350696, 128.183912, 1.871588, 106.442633, 0.000000, 84.920282, 1.622488, 62.313460, 8.356535, 41.263588, 17.225009, 20.531542, 32.716885, 1.479677, 58.120937, 0.000000, 76.648630, 15.411497, 81.575034, 38.562976, 86.659836, 60.170744, 87.482578, 83.968629, 87.162628, 105.331695, 84.759892, 128.094113, 82.590189, 150.413733, 82.199428, 172.170426, 83.629616, 194.549898, 84.065142, 216.788600, 84.930036, 238.561987, 76.680043, 260.208064, 58.807452, 266.709073, 52.823535, 266.143318
Type03, L, 270, 58.972976, 271.519712, 51.916060, 272.249717, 34.311320, 265.949769, 25.707582, 242.851402, 21.637192, 220.158600, 18.782108, 197.727412, 14.531107, 174.577878, 9.979465, 152.124128, 5.364624, 130.379048, 1.551460, 108.578148, 0.000000, 85.870821, 0.472174, 63.955968, 7.594542, 41.251221, 17.694619, 19.713944, 34.709109, 1.344892, 60.036139, 0.000000, 77.116684, 18.455195, 82.999193, 41.374249, 87.864887, 63.564425, 88.075317, 85.293420, 87.026931, 106.873910, 85.345820, 130.605364, 84.746107, 153.054970, 84.797756, 172.790394, 86.612176, 196.639655, 87.814205, 219.614786, 88.366465, 240.232737, 84.414574, 264.738539, 66.014991, 271.751246, 60.009477, 271.330592
Type03, L, 275, 58.435570, 276.163805, 51.075598, 276.771137, 33.685372, 269.651167, 25.481750, 247.142213, 21.047439, 222.760700, 18.595699, 200.457373, 14.586020, 177.240857, 9.512014, 153.448371, 5.045929, 132.335203, 1.315279, 109.647007, 0.000000, 87.473858, 1.333687, 63.927404, 7.369809, 42.323679, 15.460332, 20.091196, 32.935995, 0.820588, 57.612363, 0.000000, 76.345608, 17.665380, 82.586879, 41.508597, 87.789577, 63.072342, 89.608531, 85.030301, 89.233681, 109.333635, 85.991707, 130.719999, 83.218088, 154.796464, 85.130077, 177.088439, 87.326795, 200.868887, 88.352328, 223.760835, 90.582824, 246.589368, 82.910589, 269.082530, 65.337025, 276.912574, 59.096532, 275.625555
Type03, L, 280, 65.974401, 282.861391, 73.897620, 282.509162, 88.510571, 269.823555, 91.083606, 246.490659, 89.339567, 223.300670, 88.763029, 200.091847, 86.644140, 176.360415, 85.391591, 152.853081, 87.952681, 129.076722, 90.883516, 106.551775, 90.287094, 82.968513, 87.009085, 58.870097, 83.264591, 36.072116, 74.279211, 12.177852, 50.508857, 0.000000, 26.808186, 8.821193, 12.328654, 30.681439, 4.758654, 53.398037, 0.292455, 76.036330, 0.000000, 98.585288, 2.382715, 122.731398, 7.224935, 147.274147, 12.287656, 169.450112, 17.043150, 191.206950, 20.612355, 214.953449, 22.524965, 238.183391, 26.468024, 260.061576, 41.239800, 283.351892, 59.286260, 283.816523, 65.350258, 283.545786
Type04, L, 230, 55.147547, 231.240868, 49.826873, 231.562536, 33.765372, 229.045552, 23.479942, 209.421575, 21.713190, 189.904976, 18.085822, 170.496211, 14.601375, 151.002721, 10.249170, 131.739439, 6.254403, 112.816460, 1.860879, 93.491654, 0.000000, 73.966522, 2.271264, 54.226725, 8.529873, 35.110964, 17.382576, 16.440926, 34.117194, 1.588308, 53.880001, 0.000000, 73.395187, 10.245102, 81.416028, 30.344964, 82.949622, 49.472426, 81.165973, 69.675688, 78.848981, 88.851099, 77.719220, 108.041802, 76.562362, 127.516768, 79.359775, 147.072776, 81.154786, 165.742431, 82.261083, 185.934664, 82.826149, 204.386247, 76.546327, 225.374752, 61.313790, 230.707593, 55.919479, 230.990835
Type04, L, 235, 56.172595, 237.051556, 50.065392, 237.841525, 35.116603, 233.714074, 24.360764, 214.726634, 20.433625, 196.163520, 18.159140, 176.114535, 14.565001, 157.039748, 10.195704, 136.860895, 5.995281, 117.557105, 2.062257, 97.682869, 0.000000, 77.892807, 1.396866, 58.290788, 6.743213, 39.036057, 15.231269, 19.837492, 30.877656, 3.810372, 51.678882, 0.000000, 70.879232, 11.653555, 79.526524, 31.170199, 82.658786, 49.887703, 83.110878, 70.267752, 81.006089, 89.945721, 78.383201, 110.384228, 77.173779, 130.541068, 78.564253, 150.846893, 80.796936, 169.909556, 83.002497, 190.662369, 82.939953, 210.316736, 76.786878, 230.909625, 61.730844, 237.410681, 56.698084, 236.671680
Type04, L, 240, 58.815343, 242.567324, 52.483115, 242.018271, 37.149817, 237.733925, 26.105600, 218.481263, 22.475152, 197.463526, 19.454268, 177.607212, 15.461263, 157.793426, 11.629105, 138.341642, 7.319173, 117.825307, 3.585467, 98.140165, 0.000000, 78.195525, 0.963144, 58.193113, 8.325643, 38.880563, 16.071401, 18.635153, 32.956388, 4.101703, 54.050882, 0.000000, 72.912642, 13.078166, 81.479424, 33.190791, 84.400860, 53.602635, 84.801096, 73.407635, 82.967800, 93.363966, 79.889872, 113.832988, 78.868893, 133.533957, 80.441086, 153.927375, 83.181342, 173.445508, 82.916546, 193.512056, 86.101288, 213.532750, 78.423214, 232.542828, 66.235056, 242.833548, 58.789331, 241.881558
Type04, L, 245, 58.862325, 246.842288, 52.574943, 247.215910, 36.360911, 242.681623, 26.617533, 222.858740, 23.630492, 202.706831, 20.956909, 181.871860, 17.018500, 161.868201, 12.165082, 141.106754, 7.423806, 121.232813, 2.741340, 101.113105, 0.000000, 79.976396, 2.023093, 59.576502, 8.558411, 39.910412, 15.273581, 18.964538, 32.618156, 2.966655, 53.361311, 0.000000, 73.728749, 12.692680, 81.158758, 33.300450, 87.486301, 52.581658, 86.300843, 73.657744, 82.808588, 94.786951, 80.151839, 114.296665, 80.503508, 135.743535, 81.792708, 155.693520, 84.336940, 177.366181, 85.874908, 198.217534, 87.794248, 218.214030, 80.643634, 239.512286, 64.802244, 246.348259, 59.628382, 246.420183
