Type,size,GPR_RMSE,GPR_Hausdorff_max,GPR_Length_Error,GPR_Chamfer_mean,GPR_A_to_B_mean,GPR_A_to_B_median,GPR_A_to_B_p90,GPR_A_to_B_p95,GPR_A_to_B_max,GPR_B_to_A_mean,GPR_B_to_A_median,GPR_B_to_A_p90,GPR_B_to_A_p95,GPR_B_to_A_max,PCA_RMSE,PCA_Hausdorff_max,PCA_Length_Error,PCA_Chamfer_mean,PCA_A_to_B_mean,PCA_A_to_B_median,PCA_A_to_B_p90,PCA_A_to_B_p95,PCA_A_to_B_max,PCA_B_to_A_mean,PCA_B_to_A_median,PCA_B_to_A_p90,PCA_B_to_A_p95,PCA_B_to_A_max,RATIO_RMSE,RATIO_Hausdorff_max,RATIO_Length_Error,RATIO_Chamfer_mean,RATIO_A_to_B_mean,RATIO_A_to_B_median,RATIO_A_to_B_p90,RATIO_A_to_B_p95,RATIO_A_to_B_max,RATIO_B_to_A_mean,RATIO_B_to_A_median,RATIO_B_to_A_p90,RATIO_B_to_A_p95,RATIO_B_to_A_max
Type03,270,8.035102,4.049201,3.667211,1.446506,1.427082,1.478378,2.867536,3.374517,4.048972,1.465931,1.554872,2.934458,3.388626,4.049201,8.446403,4.158987,2.422682,1.270835,1.264076,1.086770,2.433725,3.515685,4.158987,1.277594,1.131933,2.440281,3.516343,4.158987,8.446403,4.158987,2.422682,1.270835,1.264076,1.086770,2.433725,3.515685,4.158987,1.277594,1.131933,2.440281,3.516343,4.158987
Type03,275,8.412812,4.801014,2.238835,1.247177,1.235061,0.847094,2.784470,3.605931,4.801014,1.259293,0.859170,2.814672,3.601608,4.801014,8.990624,3.935549,0.932242,1.196118,1.181845,0.752980,2.911792,3.508451,3.935549,1.210391,0.782996,2.999750,3.531351,3.935549,8.990624,3.935549,0.932242,1.196118,1.181845,0.752980,2.911792,3.508451,3.935549,1.210391,0.782996,2.999750,3.531351,3.935549
Type03,280,70.990498,4.516801,6.487730,1.299429,1.284320,0.991569,2.508112,3.585994,4.516801,1.314538,1.017594,2.517822,3.610365,4.516801,71.113372,3.608174,4.825462,1.232658,1.219986,1.001465,2.767929,2.969983,3.608174,1.245331,1.026946,2.788886,3.034564,3.608174,71.113372,3.608174,4.825462,1.232658,1.219986,1.001465,2.767929,2.969983,3.608174,1.245331,1.026946,2.788886,3.034564,3.608174
Type04,230,7.357004,1.216802,3.097227,0.405699,0.403807,0.363827,0.771540,0.926942,1.216802,0.407590,0.363867,0.782252,0.930164,1.216802,7.610950,1.369469,3.070083,0.525509,0.525066,0.550775,0.911945,0.965862,1.369469,0.525953,0.566030,0.909214,0.965106,1.369469,7.610950,1.369469,3.070083,0.525509,0.525066,0.550775,0.911945,0.965862,1.369469,0.525953,0.566030,0.909214,0.965106,1.369469
Type04,235,7.453873,2.054672,1.574005,0.719799,0.707904,0.481589,1.747067,1.918291,2.052917,0.731693,0.527512,1.778009,1.929150,2.054672,7.942549,2.250134,0.519186,0.657397,0.645322,0.470488,1.373310,1.896452,2.248446,0.669473,0.492385,1.404082,1.992850,2.250134,7.942549,2.250134,0.519186,0.657397,0.645322,0.470488,1.373310,1.896452,2.248446,0.669473,0.492385,1.404082,1.992850,2.250134
Type04,240,6.724008,2.202690,1.205898,1.210651,1.197728,1.162510,2.122899,2.149277,2.202690,1.223573,1.191252,2.126188,2.151256,2.202690,7.294837,2.804194,0.182956,1.120797,1.113311,1.041619,1.994235,2.081811,2.804194,1.128284,1.072687,1.997618,2.081811,2.804194,7.294837,2.804194,0.182956,1.120797,1.113311,1.041619,1.994235,2.081811,2.804194,1.128284,1.072687,1.997618,2.081811,2.804194
Type04,245,7.313715,3.140267,2.142138,1.278658,1.259542,1.167809,2.585640,2.864124,3.140267,1.297774,1.237454,2.604397,2.870189,3.140267,7.882168,2.760157,0.796915,1.107021,1.090854,1.059341,2.234188,2.392343,2.759976,1.123188,1.115346,2.262266,2.403489,2.760157,7.882168,2.760157,0.796915,1.107021,1.090854,1.059341,2.234188,2.392343,2.759976,1.123188,1.115346,2.262266,2.403489,2.760157
Type04,250,7.971839,4.797448,5.536541,2.477247,2.453015,2.471608,4.280257,4.533535,4.797405,2.501480,2.546457,4.291390,4.537270,4.797448,8.399883,4.247307,4.528081,2.182027,2.179754,2.197427,3.930836,4.020434,4.247307,2.184300,2.212028,3.930561,4.016676,4.247307,8.399883,4.247307,4.528081,2.182027,2.179754,2.197427,3.930836,4.020434,4.247307,2.184300,2.212028,3.930561,4.016676,4.247307
Type04,260,8.629605,3.130798,0.875594,1.406008,1.392322,1.256264,2.661091,2.973190,3.130798,1.419693,1.328636,2.685996,2.982038,3.130798,9.050119,2.519962,0.691577,1.122150,1.110006,1.055724,2.054148,2.274380,2.517563,1.134294,1.072929,2.070827,2.286377,2.519962,9.050119,2.519962,0.691577,1.122150,1.110006,1.055724,2.054148,2.274380,2.517563,1.134294,1.072929,2.070827,2.286377,2.519962
Type04,265,8.362829,4.410001,1.311711,1.447817,1.447851,1.337139,2.716809,3.378316,4.410001,1.447783,1.330262,2.753097,3.406692,4.410001,8.847468,3.601645,0.422588,0.991591,0.970933,0.717745,2.380607,2.999244,3.600548,1.012248,0.748453,2.508122,3.038476,3.601645,8.847468,3.601645,0.422588,0.991591,0.970933,0.717745,2.380607,2.999244,3.600548,1.012248,0.748453,2.508122,3.038476,3.601645
Type04,270,8.101862,2.921673,1.658963,1.404318,1.402446,1.456683,2.431090,2.706198,2.921673,1.406191,1.455546,2.448604,2.726134,2.921673,8.770903,1.935286,0.084778,0.924202,0.914597,0.833452,1.733858,1.821689,1.933137,0.933807,0.871481,1.741149,1.831337,1.935286,8.770903,1.935286,0.084778,0.924202,0.914597,0.833452,1.733858,1.821689,1.933137,0.933807,0.871481,1.741149,1.831337,1.935286
Type04,280,7.785641,4.419101,1.671030,1.369524,1.379163,1.034678,2.991947,3.444839,4.419101,1.359886,0.997210,2.993265,3.457187,4.419101,8.827815,2.985751,1.047646,0.877711,0.866942,0.573879,1.923946,2.403541,2.985751,0.888479,0.598254,1.995340,2.418547,2.985751,8.827815,2.985751,1.047646,0.877711,0.866942,0.573879,1.923946,2.403541,2.985751,0.888479,0.598254,1.995340,2.418547,2.985751
