Type,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Area_Error,IoU,Dice,EMD
Type02,270,PCA_GPR,13.44389,12.16718,15.87042,4.25197,62.35899,5.61232,2201.95259,0.85643,0.92267,12.11096
Type02,270,PCA_KRR,17.77077,16.53596,5.91641,1.56792,10.81021,2.37724,430.70299,0.94160,0.96992,16.11996
Type02,270,PCA_LINEAR,17.71732,16.45403,5.76117,1.58798,11.28558,1.86816,407.42425,0.93432,0.96604,16.02664
Type02,270,PCA_SVR,18.56094,17.46933,6.48358,1.87976,5.86760,1.79138,261.99856,0.93025,0.96387,17.07945
Type02,270,PURE_GPR,17.78346,16.60328,5.35073,2.09973,11.45740,2.16251,1250.25219,0.88864,0.94103,16.14013
Type02,270,PURE_KRR,17.98206,16.75736,4.74922,2.03418,12.31706,2.74436,1386.22960,0.88801,0.94068,16.29846
Type02,270,PURE_SVR,17.81762,16.65285,4.42839,1.97802,12.17893,3.09099,1463.13794,0.88947,0.94150,16.17017
Type02,270,RATIO_CTRL,4.21605,3.65515,6.19481,2.89066,9.52497,5.48423,1321.82993,0.89811,0.94632,3.64501
Type03,230,PCA_GPR,27.37117,26.92922,27.09132,5.71164,73.80999,4.94521,2253.64172,0.81908,0.90054,26.64658
Type03,230,PCA_KRR,14.32417,13.41170,3.76307,0.81941,5.33956,0.97114,364.50334,0.96371,0.98152,12.93737
Type03,230,PCA_LINEAR,14.18971,13.22848,3.74279,0.99896,7.20077,1.28103,431.36128,0.95658,0.97781,12.77800
Type03,230,PCA_SVR,14.85319,14.04419,3.83749,0.84747,1.34127,0.61596,198.74051,0.96306,0.98118,13.53851
Type03,230,PURE_GPR,15.51899,14.73840,4.18379,0.93362,1.17395,0.56083,220.14778,0.95472,0.97683,14.20858
Type03,230,PURE_KRR,14.25979,13.33787,3.76741,0.80897,5.80885,0.98826,369.86666,0.96364,0.98149,12.86003
Type03,230,PURE_SVR,14.01303,13.03750,3.68088,0.79701,7.50836,1.08363,381.98916,0.96410,0.98172,12.56201
Type03,230,RATIO_CTRL,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
Type03,235,PCA_GPR,25.27781,24.91806,22.02543,4.49536,57.18205,3.83815,1592.06423,0.85415,0.92134,24.56069
Type03,235,PCA_KRR,15.12510,13.99068,3.97913,1.30095,8.29576,1.23074,640.54830,0.94500,0.97172,13.51016
Type03,235,PCA_LINEAR,15.29327,14.15348,3.91042,1.23713,7.71421,1.15531,577.40639,0.94876,0.97371,13.62782
Type03,235,PCA_SVR,14.63498,13.41323,4.35652,1.61242,12.69716,1.63765,856.80410,0.93436,0.96607,13.05853
Type03,235,PURE_GPR,15.77896,14.70981,4.05838,1.17641,4.70966,0.92908,518.78477,0.94556,0.97202,14.14841
Type03,235,PURE_KRR,15.09766,13.96966,4.02989,1.36447,8.61619,1.30360,686.62077,0.94129,0.96976,13.50727
Type03,235,PURE_SVR,15.35726,14.12614,4.04034,1.44626,9.92472,1.34504,692.72702,0.94146,0.96985,13.65568
Type03,235,RATIO_CTRL,2.28940,2.17465,1.72108,0.59118,0.02760,0.60178,36.74241,0.97637,0.98804,1.14949
Type03,245,PCA_GPR,20.07640,19.48413,14.19474,2.19750,27.36767,1.17512,404.94742,0.92300,0.95996,19.14189
Type03,245,PCA_KRR,15.32001,14.21361,4.60902,1.51008,5.66050,1.54191,731.07548,0.94022,0.96919,13.95174
Type03,245,PCA_LINEAR,15.31403,14.19533,4.52631,1.32628,5.21020,1.33576,702.82620,0.94556,0.97202,13.91143
Type03,245,PCA_SVR,15.53794,14.42387,4.74099,1.56027,4.49394,1.50153,730.53124,0.93913,0.96861,14.16602
Type03,245,PURE_GPR,15.17146,14.05440,4.24325,1.42494,6.55781,1.55784,777.50940,0.93926,0.96868,13.78044
Type03,245,PURE_KRR,15.30448,14.21245,4.28780,1.52324,5.42165,1.61930,761.61379,0.93304,0.96536,13.93945
Type03,245,PURE_SVR,15.48885,14.43242,4.21953,1.50483,5.84916,1.56229,710.38773,0.93595,0.96692,14.12365
Type03,245,RATIO_CTRL,1.64606,1.41477,2.40633,0.59039,3.52622,1.36261,66.33864,0.97731,0.98852,1.40518
Type03,250,PCA_GPR,18.27953,17.39240,9.28732,1.57418,13.45491,0.26071,132.67005,0.94259,0.97045,17.00727
Type03,250,PCA_KRR,15.97021,14.86792,4.87246,1.57734,3.27381,1.16084,668.77400,0.94064,0.96941,14.60598
Type03,250,PCA_LINEAR,15.98739,14.81409,4.82275,1.48958,2.92318,0.99821,694.30605,0.94490,0.97167,14.53290
Type03,250,PCA_SVR,16.69481,15.76887,5.44537,1.31536,3.11657,0.54913,354.93247,0.94880,0.97373,15.39748
Type03,250,PURE_GPR,15.83905,14.68602,5.23492,1.61387,4.21455,1.26588,773.50454,0.93524,0.96654,14.39850
Type03,250,PURE_KRR,15.87769,14.80529,5.26553,1.57946,3.50452,1.26446,691.13002,0.93517,0.96650,14.51652
Type03,250,PURE_SVR,15.80606,14.76365,5.21095,1.49403,3.90780,1.22069,628.88963,0.93811,0.96806,14.45289
Type03,250,RATIO_CTRL,2.42874,2.22023,3.09550,1.21923,6.27016,2.15907,194.05685,0.95783,0.97846,2.01290
Type03,255,PCA_GPR,16.39633,15.22338,4.59937,1.39991,8.88561,0.38816,817.31404,0.94726,0.97291,14.78196
Type03,255,PCA_KRR,16.55099,15.36096,4.68566,1.35989,9.58717,0.50164,766.83901,0.94144,0.96983,14.86148
Type03,255,PCA_LINEAR,16.37709,15.20042,4.59560,1.40435,9.03945,0.39998,822.63390,0.94716,0.97286,14.76143
Type03,255,PCA_SVR,17.64912,16.63436,4.79828,1.03047,1.09849,0.38897,298.05788,0.95987,0.97952,15.97891
Type03,255,PURE_GPR,16.35644,15.18286,5.14387,1.45919,9.59284,0.63807,886.27301,0.93359,0.96565,14.73059
Type03,255,PURE_KRR,16.36306,15.14655,5.13870,1.31108,10.69838,0.65822,807.45145,0.94623,0.97237,14.62343
Type03,255,PURE_SVR,16.12455,14.89501,5.11893,1.20163,11.35613,0.65693,761.59201,0.95180,0.97530,14.34981
Type03,255,RATIO_CTRL,2.96169,2.77303,2.68225,1.33414,0.58594,3.21898,188.22551,0.95016,0.97444,1.92024
Type03,260,PCA_GPR,14.43330,13.05548,5.49590,2.37452,19.22112,1.85603,1100.24372,0.91776,0.95712,12.76203
Type03,260,PCA_KRR,16.28060,14.97483,5.06540,1.36423,3.70734,0.65546,479.17498,0.94926,0.97397,14.61390
Type03,260,PCA_LINEAR,16.30463,14.89567,5.00914,1.37133,3.12702,0.62035,539.05252,0.94895,0.97380,14.50999
Type03,260,PCA_SVR,17.17161,16.15841,5.38676,1.17261,3.92424,0.14171,70.27390,0.95675,0.97790,15.72452
Type03,260,PURE_GPR,16.29411,14.91607,5.60475,1.46137,2.93447,0.82119,586.27059,0.93867,0.96837,14.53282
Type03,260,PURE_KRR,15.93494,14.64558,5.57321,1.38223,5.65541,0.88786,561.90885,0.94213,0.97020,14.26153
Type03,260,PURE_SVR,15.60666,14.28706,5.56253,1.31290,6.56840,0.94641,551.93086,0.94462,0.97152,13.91529
Type03,260,RATIO_CTRL,2.81971,2.61568,3.59908,1.45858,6.90693,3.45704,597.60162,0.95169,0.97525,2.23162
Type03,265,PCA_GPR,13.75346,12.41870,9.92795,3.55995,36.99082,3.34180,1997.26389,0.88149,0.93701,12.28578
