type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20
Type03, R, 270, 38.010730, 272.312956, 26.680375, 274.604798, 0.091963, 258.798357, 1.833390, 220.586660, 7.042511, 185.574332, 8.628233, 149.502841, 4.148535, 114.737669, 0.000000, 77.929069, 5.723154, 44.370823, 20.398478, 4.479211, 62.025158, 0.000000, 83.075967, 38.382839, 90.946765, 71.027546, 92.670225, 109.562479, 84.247633, 143.624655, 79.091268, 180.450553, 71.332439, 215.538176, 68.571717, 251.217439, 52.202725, 272.873185, 37.032131, 272.236312
Type03, R, 275, 35.989409, 276.095095, 22.781964, 278.275691, 0.000000, 257.863289, 5.515466, 219.528573, 7.361886, 183.738149, 10.850535, 146.638439, 4.469379, 111.941585, 3.502427, 73.267167, 9.346039, 41.024959, 24.356454, 0.000000, 69.815272, 1.281161, 85.878110, 41.752857, 93.795336, 75.702655, 92.140409, 113.982774, 86.565299, 149.408840, 79.818700, 184.512859, 72.584166, 220.378905, 69.926250, 257.081801, 48.847792, 276.947508, 35.137494, 276.154847
Type03, R, 280, 37.703611, 282.303567, 53.340520, 282.398589, 68.615882, 259.307298, 72.453787, 222.914360, 78.732240, 185.792799, 84.548849, 148.834459, 91.574628, 113.092954, 92.235457, 74.868049, 85.307452, 40.022100, 66.595165, 0.000000, 20.805803, 2.902067, 9.791562, 44.742260, 2.507896, 78.224319, 5.869689, 116.419332, 11.866133, 151.334473, 8.469043, 189.682724, 6.302127, 226.261320, 0.000000, 265.333942, 25.281071, 285.230827, 38.678369, 281.195797
Type04, R, 230, 30.546469, 231.702936, 20.235340, 233.299228, 0.000000, 216.603838, 2.574209, 185.675794, 6.008544, 154.607701, 6.888431, 123.293428, 3.344268, 93.231245, 0.786569, 61.559822, 4.602774, 34.047010, 19.496332, 0.000000, 55.084232, 2.467337, 72.476265, 33.420637, 79.952659, 62.310890, 80.784127, 94.255565, 73.110211, 124.444978, 66.116394, 153.611515, 61.092613, 183.766743, 58.697964, 214.698667, 42.602603, 232.222749, 29.840916, 231.373566
Type04, R, 240, 32.977645, 241.329765, 45.570539, 242.235634, 60.403167, 221.754880, 64.575036, 191.264065, 69.411144, 157.981245, 77.634932, 128.045232, 84.559238, 96.018207, 83.908381, 63.207464, 75.269375, 33.570112, 57.401716, 0.000000, 18.927053, 0.994548, 5.861353, 36.404026, 1.602086, 66.287872, 5.934752, 99.050566, 11.278082, 130.357654, 8.029811, 162.269906, 4.327218, 194.231309, 0.000000, 226.642234, 23.229992, 244.066452, 33.589311, 240.769468
Type04, R, 250, 34.425388, 251.281826, 23.619861, 252.504007, 0.000000, 236.685212, 2.994233, 201.349057, 5.804265, 169.541612, 8.306058, 135.255190, 3.586064, 102.649715, 1.584521, 67.434681, 5.200761, 36.411196, 19.835495, 0.000000, 59.197171, 1.932323, 77.913119, 35.631795, 85.947953, 67.251487, 86.650260, 101.783709, 78.766409, 133.269416, 70.361842, 165.903485, 67.136448, 198.998093, 62.673034, 231.373743, 47.063747, 252.066815, 33.708279, 251.240477
Type04, R, 270, 34.405194, 271.139100, 22.219507, 273.714630, 0.000000, 254.404390, 2.761374, 217.208146, 6.868807, 181.874454, 9.613833, 145.790420, 4.759202, 110.950668, 0.519802, 73.515428, 7.533624, 40.249200, 22.478817, 0.000000, 65.096443, 1.698865, 83.361152, 40.161533, 91.473581, 73.322366, 92.669567, 110.854587, 81.832851, 144.267376, 74.634729, 179.126953, 68.580965, 214.826093, 65.999930, 250.832587, 47.979034, 271.998318, 33.317276, 270.987697
Type04, R, 280, 35.419466, 282.722450, 21.838942, 284.088911, 0.000000, 261.995207, 6.925993, 224.314554, 9.533951, 188.006436, 13.288286, 150.287375, 6.482971, 113.369107, 3.361289, 74.884268, 8.213627, 41.019166, 25.692914, 0.000000, 70.355053, 4.777498, 86.230378, 44.237928, 95.421498, 78.705960, 96.297256, 117.357143, 86.204814, 153.018455, 79.505037, 189.766150, 73.569589, 226.353829, 68.845957, 263.440768, 49.834498, 284.053412, 34.050971, 282.464265
Type05, R, 250, 31.830880, 252.369430, 19.314639, 254.856124, 0.000000, 235.428021, 3.253252, 200.193402, 6.665049, 167.693488, 5.752218, 133.007882, 3.218966, 101.387196, 1.621607, 66.499789, 5.091410, 36.646724, 22.177844, 0.000000, 62.493024, 4.355934, 78.129269, 39.418295, 87.138976, 70.590498, 86.774959, 104.757988, 77.344199, 136.650584, 70.779545, 169.117205, 66.371375, 202.274310, 61.153627, 235.083791, 45.010143, 254.464093, 30.362990, 252.116384
Type05, R, 270, 34.656722, 272.914079, 21.519864, 274.454006, 0.000000, 255.071128, 1.680183, 217.177618, 7.143003, 181.787752, 7.865191, 145.380260, 3.162207, 109.680578, 0.318253, 72.421254, 6.026929, 39.926764, 23.524663, 0.000000, 66.721998, 4.121522, 83.858202, 41.236316, 93.068632, 75.240859, 91.766954, 112.594592, 82.538514, 146.798302, 75.603624, 181.263624, 71.438089, 217.211323, 65.377617, 252.139178, 48.879252, 274.357327, 33.368912, 272.562089
Type05, R, 280, 36.386970, 282.237167, 51.491349, 282.853456, 68.507724, 258.693217, 72.531691, 223.079552, 77.720422, 185.418026, 84.823983, 149.915498, 95.263417, 113.536328, 95.030986, 77.081963, 85.160645, 42.674509, 66.997947, 2.324459, 21.816893, 0.000000, 5.786271, 42.156183, 1.602160, 75.596354, 4.595895, 116.643231, 10.164736, 152.323243, 6.540945, 190.055517, 3.597376, 226.562022, 0.000000, 264.918188, 23.670534, 285.571200, 37.635209, 280.926411
